[00:00.000 --> 00:01.800]  Welcome back, Podcast World.
[00:01.800 --> 00:05.600]  It is time for episode 446 of the Grow From Your Heart podcast.
[00:05.600 --> 00:08.720]  This episode of the show is brought to you by my friends at Seeds Here Now.
[00:08.720 --> 00:13.520]  If you need new seeds in your garden, I highly recommend Seeds Here Now, and you can find
[00:13.520 --> 00:16.160]  them at seedsherenow.com.
[00:16.160 --> 00:21.560]  Don't forget that for the month of July, you can use coupon code IRY10 for 10% off any
[00:21.560 --> 00:22.880]  Iry Genetics purchase.
[00:22.880 --> 00:24.980]  That is only good for one purchase.
[00:24.980 --> 00:26.480]  Get it while you can.
[00:26.480 --> 00:30.120]  Ladies and gentlemen, sitting across the table from me is my good friend, White Mike.
[00:30.120 --> 00:31.120]  Welcome to the show, bro.
[00:31.120 --> 00:32.120]  Thanks, man.
[00:32.120 --> 00:33.120]  What's up, everybody?
[00:33.120 --> 00:34.120]  Thanks for coming and hanging out.
[00:34.120 --> 00:35.120]  Sorry I cut you off there.
[00:35.120 --> 00:36.120]  No, it's cool.
[00:36.120 --> 00:37.120]  They're not going to respond.
[00:37.120 --> 00:38.480]  I bet a lot of people in our car did say, what's up, Mike?
[00:38.480 --> 00:41.240]  I said that the first time and now it's like my little high.
[00:41.240 --> 00:42.240]  Nice, nice.
[00:42.240 --> 00:43.240]  Well, thanks for being here, bro.
[00:43.240 --> 00:44.240]  Yeah, man.
[00:44.240 --> 00:45.240]  Dude, let's...
[00:45.240 --> 00:47.720]  So usually we'd start by talking about what we're dabbing on.
[00:47.720 --> 00:48.720]  I've been dabbing...
[00:48.720 --> 00:49.720]  We've been dabbing on some of everything.
[00:49.720 --> 00:51.400]  I've been dabbing minimally today.
[00:51.400 --> 00:55.880]  After the event that we're going to talk about, dude, my lungs, they were through the marathon.
[00:56.280 --> 00:57.840]  I've been taking it a little easy as well.
[00:57.840 --> 00:59.240]  I had some fun at the event.
[00:59.240 --> 01:02.040]  We're going to talk about this watermelon gelato briefly.
[01:02.040 --> 01:05.880]  Today we're dabbing on some watermelon gelato ambrosia from our friends at Apothecary Farms.
[01:05.880 --> 01:12.640]  The potency label says 64.6% THC, 76.7% total cannabinoids.
[01:12.640 --> 01:14.160]  I really like the watermelon gelato.
[01:14.160 --> 01:18.640]  When you take a dab of it, this watermelon candy flavor coats your mouth.
[01:18.640 --> 01:21.600]  And then as you breathe through your mouth a little bit, as the flavor dries out, it
[01:21.600 --> 01:24.040]  turns into a sour apple sort of a flavor.
[01:24.040 --> 01:25.400]  It's so good.
[01:25.920 --> 01:29.920]  When I first hit it, I was like, huh, I didn't really get super high from that.
