[00:16.440 --> 00:33.040]  Welcome back, Podcast World.
[00:33.040 --> 00:36.920]  It is time for Episode 447 of the Grow From Your Heart Podcast.
[00:36.920 --> 00:40.360]  This episode of the show is brought to you by my friends at Seeds Here Now.
[00:40.360 --> 00:44.760]  If you need new seeds in your garden, I highly recommend Seeds Here Now, and you can find
[00:44.760 --> 00:50.160]  them at www.seedsherenow.com.
[00:50.160 --> 00:53.320]  You know I like to start this podcast off by talking about what I'm smoking.
[00:53.320 --> 00:58.080]  Today, I've been taking dabs of Lemon Gee batter from our friends at Apothecary Farms.
[00:58.080 --> 01:05.940]  The potency label says this product contains 68.5% THC and 79.1% total cannabinoids.
[01:05.940 --> 01:07.280]  I really love the Lemon Gee.
[01:07.280 --> 01:09.840]  I'm cracking it open to get a nice smell right now.
[01:09.840 --> 01:13.680]  It is very lemon dominant, but it is a disgusting lemon flavor.
[01:13.680 --> 01:17.840]  There is an armpit and a garlicky sort of a thing going on with this Lemon Gee.
[01:17.840 --> 01:20.880]  I really enjoy the flavor and the aroma.
[01:20.880 --> 01:24.940]  The texture and consistency of this batter were beautiful, but my favorite part is the
[01:24.940 --> 01:27.160]  high from the Lemon Gee.
[01:27.160 --> 01:29.880]  Something about the Lemon Gee puts me in a really good mood.
[01:29.880 --> 01:31.560]  It makes my brain go really fast.
[01:31.560 --> 01:33.520]  It kind of makes me feel like I time travel.
[01:33.520 --> 01:35.080]  It is a really great concentrate.
[01:35.080 --> 01:39.960]  So, big shout out to my friends at Apothecary Farms for the delicious and tremendous Lemon
[01:39.960 --> 01:40.960]  Gee batter.
[01:40.960 --> 01:42.880]  All right, Podcast World.
[01:42.880 --> 01:45.120]  In this episode, I'm going to read a couple of emails.
[01:45.120 --> 01:48.000]  We are going to follow up on some Grow Room mistakes.
[01:48.000 --> 01:52.880]  Before we get there, let's do some shout outs to a couple of our friends from Patreon.
[01:52.880 --> 01:56.640]  As always, I want to give a big Giant Grow From Your Heart Podcast shout out to my friend
[01:56.640 --> 01:57.640]  Miss Mel.
[01:57.640 --> 02:01.600]  I want to give a huge Grow From Your Heart Podcast shout out to my buddy Stabby McStabwood.
[02:01.600 --> 02:05.040]  I always want to send a Viking handshake and a Grow From Your Heart Podcast shout out to
[02:05.040 --> 02:06.820]  my buddy Grimboldedruid.
[02:06.820 --> 02:09.840]  Of course, a Giant Podcast shout out to Hogan's Farms.
[02:09.840 --> 02:14.040]  Of course, a Giant Grow From Your Heart Podcast shout out to my buddy Tanner M. And last but
[02:14.040 --> 02:18.320]  not least, I want to give a big shout out to my friend JustBaz.
[02:18.320 --> 02:21.120]  I want to thank all of you for the continued Patreon support.
[02:21.120 --> 02:24.120]  If anyone out there would like to learn how to become a patron and support the show on
[02:24.120 --> 02:31.560]  Patreon, you can do so by visiting www.patreon.com slash growfromyourheart.
[02:31.560 --> 02:35.960]  All of the information you need to become a patron will be right there on the screen.
[02:35.960 --> 02:39.720]  I've got one more thing I want to talk about before we get to the emails in this episode,
[02:39.720 --> 02:43.300]  and that is a photo contest that I am hosting on Cannabuzz.
[02:43.300 --> 02:46.400]  If you're not already on Cannabuzz, please join me over there.
[02:46.400 --> 02:49.840]  Cannabuzz is a cannabis-friendly social media application.
[02:49.840 --> 02:54.120]  You cannot sell or buy or trade cannabis there, but they do encourage you and invite you to
[02:54.120 --> 02:56.080]  post your cannabis-related content.
[02:56.080 --> 02:59.040]  You can post your cannabis photos, you can post pictures of your plants, you can post
[02:59.040 --> 03:03.200]  pictures of your buds, you can post your fancy dab videos, you can post pictures of your
[03:03.200 --> 03:07.200]  rosin and your dabs and your diamonds, and you will not have to worry about your account
[03:07.200 --> 03:10.800]  being taken down for posting sacred plants.
[03:10.800 --> 03:12.200]  So join me over on Cannabuzz.
[03:12.200 --> 03:14.480]  I'm irie underscore genetics on Cannabuzz.
[03:14.480 --> 03:15.480]  Give me a follow.
[03:15.480 --> 03:19.600]  Also, I encourage you to participate in my photo contest.
[03:19.600 --> 03:24.160]  If you have grown any Irie Genetics plants, I would like you to take a photo of any Irie
[03:24.160 --> 03:29.680]  Genetics plants and post them to Cannabuzz and tag them Irie Photo Contest.
[03:29.680 --> 03:35.640]  On July 31st, I will choose my favorite photo that is tagged hashtag Irie Photo Contest,
[03:35.640 --> 03:39.040]  and my favorite photo out of the group will win a prize pack.
[03:39.040 --> 03:42.560]  I haven't talked about what the prize pack will contain, but I promise it will be worth
[03:42.560 --> 03:44.320]  your time and your energy.
[03:44.320 --> 03:48.520]  So please participate in the Irie Genetics photo contest on Cannabuzz.
[03:48.520 --> 03:49.520]  It is free.
[03:49.520 --> 03:52.960]  All you have to do is post a photo of an Irie Genetics plant that you grew.
[03:52.960 --> 03:56.400]  I would appreciate it if you label the plant, tell me what strain you're growing, and then
[03:56.400 --> 03:59.240]  tag it with hashtag Irie Photo Contest.
[03:59.240 --> 04:01.400]  You are automatically entered into the contest.
[04:01.400 --> 04:05.840]  I scroll every day through hashtag Irie Photo Contest to look and see what the entries are.
[04:05.840 --> 04:08.580]  So far, there is some great competition out there.
[04:08.580 --> 04:13.380]  So support Cannabuzz and come find the Irie Genetics photo contest and get your chance
[04:13.380 --> 04:17.320]  to win a fresh Irie Genetics prize package.
[04:17.320 --> 04:22.000]  And now I think it is time to start reading some emails from our listeners.
[04:22.000 --> 04:25.220]  If you have been following the show, you know I've done a couple of episodes about mistakes
[04:25.220 --> 04:26.600]  that people make in the grow room.
[04:26.600 --> 04:28.360]  I admitted a bunch of mistakes I have made.
[04:28.600 --> 04:32.360]  Then I talked about common mistakes that I have seen in commercial environments.
[04:32.360 --> 04:36.880]  Since that episode, I have received several emails from listeners who wanted to confess
[04:36.880 --> 04:39.020]  to some of their grow room sins.
[04:39.020 --> 04:40.520]  So I've got a few emails in front of me.
[04:40.520 --> 04:41.960]  Let's jump into the first one.
[04:41.960 --> 04:43.720]  It goes a lot like this.
[04:43.720 --> 04:45.440]  It says, hey Ross to Jeff.
