[00:00.000 --> 00:05.380]  Hey, what's up podcast world? Welcome to a very special episode of the grow from your heart podcast
[00:05.380 --> 00:10.480]  I don't know what episode number this will be or if it will even have an episode number
[00:10.480 --> 00:17.840]  If you have been listening to my show for a while, you know that I am friends with another podcast known as the dude grows show
[00:17.840 --> 00:24.580]  I was recently invited by Scotty real of the dude grow show to go to his studio known as the bakery to record a podcast
[00:24.820 --> 00:29.300]  I feel like the podcast came out very well. We had a very good conversation
[00:29.300 --> 00:33.580]  We had a very good time and it was a very good episode. So with Scotty's permission
[00:33.580 --> 00:40.180]  I'm going to repost the episode of the dude grow show right here on the grow from your heart podcast feed so that all of my
[00:40.180 --> 00:46.900]  Friends and listeners can hear the podcast interview that I did with Scotty real if you're not already following the dude grow show
[00:46.980 --> 00:49.700]  Please give them a subscribe on YouTube or iTunes
[00:49.700 --> 00:55.540]  I highly recommend their YouTube channel because they put out very high quality video content
[00:55.860 --> 00:59.700]  Ladies and gentlemen boys and girls smokers and growers with no further ado
[00:59.820 --> 01:05.040]  Let's jump right into the dude grow show featuring Rasta Jeff of iRegenetics
[01:05.860 --> 01:10.340]  What is up? DGC Scotty real hanging out with one of my good friends Rasta Jeff
[01:10.940 --> 01:16.300]  iRegenetics came to visit for our trip. You're a badass brother. Thank you, brother. Thank you for having me. Thank you
[01:17.580 --> 01:20.420]  Yeah, man. Hell yeah, first off. Thanks a bunch man
[01:20.420 --> 01:27.220]  Everything we do you support and I called you up for the concentration celebration the 710 and you said I'm in there brother
[01:27.220 --> 01:31.780]  It was my honor to to help get it going. I was involved behind the scenes. That was an honor
[01:32.180 --> 01:37.700]  When you say you're gonna do something I want it to be a success. I feel no competition in podcasting. It's one community
[01:37.700 --> 01:41.180]  We're trying to do the same thing for everybody. We want everybody to grow the dank
[01:41.180 --> 01:47.180]  Absolutely want to legalize and we want everyone out there smoking the best. So I think we're a team. We're on the same team
[01:47.700 --> 01:51.940]  Nothing but love and respect for the DGC crew and the show so thank you
[01:51.940 --> 01:57.100]  I can't even imagine if somebody would just listen, you know, how burnt out they would get of just listening to me
[01:57.100 --> 01:59.100]  They would hate me or just me
[02:00.940 --> 02:06.100]  Varieties of spicy life. Oh, it's truth. Yeah, man go from your heart podcast freaking awesome show
[02:06.100 --> 02:10.780]  I do dig it, but dude, let's talk about Bri and let's just talk. Let's just hang man
[02:10.780 --> 02:16.180]  I mean, I'm coming anything and everything you want to talk about bro. Yeah, we've been telling pretty good friends lately, man
[02:16.180 --> 02:19.700]  So getting to know each other a bit more with definitely kindred spirits
[02:19.700 --> 02:24.020]  So I agree, but we got different skill sets brothers from other mothers. I love it
[02:24.020 --> 02:30.960]  I love it, but way different skill sets like remember I said, I want your nose because you you can actually smell absolutely terpene
[02:30.960 --> 02:36.060]  Yeah, a lot of people tell me that lately. They want my turf nose. That's awesome. That's awesome
[02:36.060 --> 02:41.340]  All right, so I wanted to ask you first off. I did want to start off with breeding because I have a feeling it relates to
[02:41.860 --> 02:43.540]  Your
[02:43.540 --> 02:45.820]  Sensories your sensory perceptions. Yes
[02:46.500 --> 02:51.020]  Yeah, what may first off if I'm just looking at breeders what makes a legit breeder?
[02:51.020 --> 02:57.080]  What what makes a legit breeder? Yeah, I may frustrate some people here. What do they call pollen chuckers?
[02:57.080 --> 03:02.020]  There are a lot of pollen. I call myself a pollen chucker just because I'm humble. Excuse that. Um a
[03:02.460 --> 03:06.420]  Legit breeder somebody with a goal somebody that when you start off breeding you have a goal
[03:06.740 --> 03:13.580]  Which not as which is not money right a goal which is to create a line that is improving something or maybe you're growing
[03:13.700 --> 03:18.340]  Strain a and strain B and you want the flavor of strain a and the vigor of strain B, right?
