[00:00.000 --> 00:02.040]  Welcome back podcast world.
[00:02.040 --> 00:05.880]  It is time for episode 453 of the Grow From Your Heart podcast.
[00:06.040 --> 00:09.160]  Sitting across the table from me is White Mike. Welcome to the show, bro.
[00:09.320 --> 00:10.880]  Thanks man. What's up everybody.
[00:11.240 --> 00:14.240]  What's up everybody. Hope everybody's having a wonderful evening, daytime,
[00:14.240 --> 00:17.640]  nighttime, afternoon, whatever time it is, wherever the fuck you are.
[00:17.640 --> 00:20.040]  Hope you're having a great one. Hope you're smoking something delicious.
[00:20.040 --> 00:21.520]  Hope you're hanging out with somebody beautiful.
[00:21.720 --> 00:24.480]  Hope you got a nice buzz on if you're in your cubicle and you can't smoke,
[00:24.480 --> 00:26.560]  if you're at work and you can't smoke, don't worry.
[00:26.680 --> 00:29.920]  Mike and I have got you covered. We are plenty medicated here today.
[00:29.960 --> 00:33.320]  Did a dab for you, bro. Did a dab for you, bro.
[00:33.320 --> 00:36.440]  As always this podcast is brought to you by our friends at Seeds Here Now.
[00:36.440 --> 00:39.640]  If you need new regular feminized or auto flower seeds,
[00:39.640 --> 00:42.160]  auto was the one I almost forgot. They even got auto flowers, bro.
[00:42.560 --> 00:44.040]  If you need new seeds in your garden,
[00:44.200 --> 00:49.200]  I highly recommend seeds here now and you can find them at seedsherenow.com.
[00:52.880 --> 00:56.280]  We do like to start the podcast off by talking about what we are smoking,
[00:56.520 --> 00:59.880]  Mike and I said we took a dab for you just in case you're curious.
[00:59.880 --> 01:04.880]  That dab was banana Rama Ambrosia from our friends at Apothecary Farms.
[01:05.240 --> 01:09.240]  The potency label says 70.1% THC,
[01:09.400 --> 01:11.640]  which is not a high number, but I got lit from smoking it.
[01:11.800 --> 01:16.800]  It says total cannabinoids, 81% total cannabinoids.
[01:16.840 --> 01:21.480]  So there's gotta be some CBD or some THC V or some something different in there.
[01:21.800 --> 01:24.520]  Something, something. Yeah, I lost the thread.
[01:24.760 --> 01:28.520]  Mike lost his train of thought. It's working. That's what's up. Uh,
[01:28.560 --> 01:32.160]  banana Rama. It's got a really interesting aroma. It does have the banana.
[01:32.480 --> 01:35.920]  It's got the more you're you're jumping right on it. It's got a,
[01:35.920 --> 01:38.960]  I said it tastes like Jello shots and I haven't had a Jello shot in a hundred
[01:38.960 --> 01:43.640]  years, but it's got that, uh, the green Jello, not the band, but the snack.
[01:43.880 --> 01:47.840]  It's got the green Jello sort of a flavor to it. Aroma a little bit.
[01:48.120 --> 01:50.440]  I think so. That lemon lime Jello sort of a thing.
[01:50.680 --> 01:55.680]  Big shout out to our friends at apothecary farms for the banana Rama Ambrosia.
[01:56.600 --> 01:57.600]  All right. Podcast world.
[01:57.600 --> 02:02.520]  I recently discovered a new website that provides a lot of information for me.
[02:02.520 --> 02:03.760]  I'm not going to tell you the name of the website.
[02:03.760 --> 02:06.280]  Mike looked at me as if I may do my advertising voice.
[02:06.280 --> 02:09.120]  We were joking about it earlier. Not going to happen. Not going to do it.
[02:09.440 --> 02:13.440]  I did find a website where I can find a lot of podcast reviews,
[02:13.480 --> 02:17.280]  a lot of statistics. Uh, they want me to give them money for some more stuff,
[02:17.640 --> 02:20.400]  but the free stuff is very useful. There are a lot of useful stats on there.
[02:20.400 --> 02:25.280]  I can see my rankings on stitcher and iTunes. I can see my favorite part.
[02:25.280 --> 02:28.720]  What I'm getting at is all of the iTunes customer reviews,
[02:28.720 --> 02:32.240]  all of the stitcher reviews, they are all compiled into one place.
[02:32.480 --> 02:36.080]  One hopeful place. I did not realize, I think I knew it,
[02:36.080 --> 02:37.640]  but I don't think I ever thought about it.
[02:38.160 --> 02:42.680]  That iTunes is broken down by country and there are folks in other countries
[02:42.680 --> 02:44.760]  that have been leaving reviews on the podcast,
[02:44.760 --> 02:47.320]  which we are not able to discover through.
[02:47.360 --> 02:50.240]  We don't see through the platform we access. Exactly.
[02:50.240 --> 02:52.360]  Because they've got a different library and a different,
[02:52.360 --> 02:54.960]  I don't just a different algorithm and they're probably different things.
[02:55.400 --> 02:57.040]  Yeah. Different, different stuff.
[02:57.320 --> 02:59.280]  I don't need to worry about what all the technical stuff is.
[02:59.280 --> 03:02.920]  But my point is there are other reviews which we have been missing.
[03:04.640 --> 03:06.080]  When you do that, it's really creepy by the way.
[03:07.640 --> 03:10.360]  Your mic is so low that it comes weird. Yeah, that is creepy.
[03:12.080 --> 03:16.000]  So there are more reviews and I think that we need to take a minute and read
[03:16.000 --> 03:19.880]  some of the reviews from some of our friends from other places.
[03:19.960 --> 03:22.960]  I think we should. It may be discriminatory if we didn't do so.
[03:24.040 --> 03:26.320]  I'm going to leave out, speaking of discriminatory,
[03:26.320 --> 03:30.480]  I'm going to leave out the US iTunes customer reviews because they're easily
[03:30.480 --> 03:32.880]  accessible on the iTunes, which I normally find.
[03:33.440 --> 03:37.360]  We're going to focus on our foreign friends for these next couple of reviews.
[03:37.360 --> 03:39.920]  International. And then after we do a couple of reviews,
[03:39.920 --> 03:44.280]  we are going to jump into some listener emails. A couple of them.
[03:44.560 --> 03:46.840]  All right, let's jump right into it. All right.
[03:46.880 --> 03:51.760]  This review was left on May 9th and it goes a lot like
[03:51.800 --> 03:54.840]  this. They gave us a five star rating. It says it is the best.
[03:54.840 --> 03:59.800]  I should mention that this one was left by Big Baz on Apple Podcasts
[03:59.880 --> 04:03.080]  from Great Britain. So the comment goes,
[04:03.280 --> 04:05.680]  I would highly recommend listening to this podcast,
[04:05.720 --> 04:09.160]  even if you are just remotely interested about cannabis.
[04:09.600 --> 04:13.920]  It is the best source of comication. And then he said comedy and education.
[04:14.120 --> 04:17.720]  This is my review. I can write like that if I want. And I appreciate that.
[04:17.720 --> 04:21.080]  I like your creative writing. He goes on to say for cannabis,
[04:21.240 --> 04:24.440]  I could easily sit and listen to Rasta Jeff and the, and of course,
[04:24.440 --> 04:27.280]  White Mike for hours, which I have done.
[04:27.640 --> 04:30.040]  They should be proud of what they've achieved. You hear that, Mike?
[04:30.040 --> 04:31.760]  We should be a proud of what we have achieved.
[04:32.080 --> 04:35.160]  And if this listener could only help with the progression of cannabis,
[04:35.160 --> 04:39.360]  as much as we have, he would be a happy man. Hey, that's cool, man. Thank you.
[04:39.360 --> 04:41.520]  I appreciate hearing that. Then it says,
[04:41.520 --> 04:45.160]  I think you need to take a tour to the UK and spread your love around here.
[04:45.520 --> 04:49.440]  Thank for all of your help from Just Baz. What up Just Baz.
[04:49.440 --> 04:52.440]  Thanks for all the love and support. Uh, they help us out on Patreon also.
[04:52.440 --> 04:56.720]  I appreciate that. So that is a great review from our friends in Great Britain.
[04:56.880 --> 04:59.960]  Appreciate it. Yeah. So far so good, dude. All right.
[05:00.000 --> 05:02.880]  This next one I believe comes from our friends in Canada.
[05:02.880 --> 05:06.240]  Big shout out to our friends up North. They gave us five out of five.
[05:06.440 --> 05:11.000]  This one is from Presley, Presley Boo from Apple Podcasts in Canada.
[05:11.280 --> 05:13.480]  This was left on August 6th. It says,
[05:13.720 --> 05:18.720]  one of my favorite podcasts top tier sound quality and information.
[05:19.000 --> 05:21.360]  That is a great review. I could stop there. Uh,
[05:21.360 --> 05:25.400]  they like the top tier sound quality and they like the information.
[05:25.640 --> 05:28.320]  They go on to say they've been listening to all the grow lessons and they're
[05:28.340 --> 05:33.040]  extremely helpful. So I appreciate that. They wrap it up with Irie gang,
[05:33.040 --> 05:37.240]  gang, gang, gang, gang, buzz, buzz. Thanks for the great review.
[05:37.440 --> 05:38.240]  I appreciate it.
[05:38.240 --> 05:41.560]  The people appreciate the top tier sound quality because I put a little effort
[05:41.560 --> 05:45.760]  into that. Uh, I was an audio kind of a guy before I really got into the podcast
[05:45.760 --> 05:49.320]  thing. So I'm glad people notice. I'm glad they liked the top tier information.
[05:49.680 --> 05:51.720]  And those grow lessons took a lot of work.
[05:51.720 --> 05:55.520]  So I'm glad they found those helpful and big shout out for the gang gang. Uh,
[05:56.040 --> 05:58.720]  it's good to know my friends are listening to the same podcast that I'm
[05:58.720 --> 06:02.400]  listening to. All right. This next review comes from our friends up North,
[06:02.400 --> 06:06.560]  big shout out to our friends in Canada. This one says Rasta, Jeff, my dude,
[06:06.560 --> 06:08.760]  they gave us five stars and it says Rasta.
[06:08.760 --> 06:13.200]  Jeff is the most effective cannabis cultivation
[06:13.280 --> 06:17.440]  educator around these parts. That's a huge compliment, dude.
[06:17.880 --> 06:20.440]  The most effective, uh, that means a lot.
[06:20.460 --> 06:24.120]  Like that means the effort we're putting in is doing the most work.
[06:24.160 --> 06:28.520]  Is that a comment on you or a comment on those parts around those? Well,
[06:28.600 --> 06:31.800]  there you go. Maybe, maybe I'm the only, if I'm the only one.
[06:31.800 --> 06:35.320]  Well, Jesse, you go to just go out of control folks every now and then we've got
[06:35.320 --> 06:36.720]  to give it a little poke. That's the truth.
[06:36.720 --> 06:40.080]  Maybe I'm the only one around those parts, which still damn means I'm the best.
[06:40.080 --> 06:43.360]  Damn it. Then they said the Willie Nelson Snoop dog over here.
[06:43.360 --> 06:45.720]  So I guess that's another huge compliment. Uh,
[06:45.720 --> 06:49.680]  I started this podcast on a two to three hour commute to a job.
[06:49.680 --> 06:53.840]  I hated the podcast inspired me to become a novice homegrower.
[06:53.840 --> 06:58.960]  So we got them growing. That's the goal. Then it says I have perfected my craft.
[06:59.080 --> 07:03.240]  I've entered the Canadian cannabis industry and worked my way from the trimmer
[07:03.280 --> 07:07.800]  room into the room to a grow lead manager.
[07:07.840 --> 07:11.400]  How many of those coworkers did you introduce to the podcast? Yeah.
[07:11.480 --> 07:13.680]  Well congrats bro. No, I'm proud of you for,
[07:14.120 --> 07:17.520]  went from listening to the show, being inspired thinking, Hey,
[07:17.520 --> 07:21.920]  I want to grow a little bit and then became a home grower. Perfected the craft.
[07:22.120 --> 07:24.960]  Got good. The craft got good enough. Yeah. Right.
[07:24.960 --> 07:27.720]  Get out of the rat race and into something we'd like to do.
[07:27.920 --> 07:30.520]  Entered the industry about away from the trim room.
[07:30.520 --> 07:34.000]  I always talk about the first step is go trim. You got to trim the trim room.
[07:34.160 --> 07:38.400]  Yep. Went from the trim room. Now they are lead grow lead manager.
[07:38.400 --> 07:41.720]  And then they say much respect my dude. And then it says, when these,
[07:41.760 --> 07:44.560]  I don't know if there's more to this review that this application cut off,
[07:45.000 --> 07:48.320]  but uh, dude, that is a great review. Even without the, when these,
[07:48.320 --> 07:51.520]  if that's how it ends, then when these bro, uh, when these,
[07:52.400 --> 07:54.840]  much respect my dude. So big respect back at you.
[07:54.840 --> 07:58.960]  That's from our friend loud music, two zero one four at Apple podcasts in Canada.
[07:59.160 --> 08:01.920]  So big shout out to our friends from Canada, our big friends up North.
[08:02.160 --> 08:04.120]  I hope you guys are having a great grow season up there.
