[00:00.000 --> 00:01.000]  Here we go.
[00:01.000 --> 00:02.320]  Welcome to the show, Podcast World.
[00:02.320 --> 00:06.160]  It is time for episode 455 of the Grow From Your Heart Podcast.
[00:06.160 --> 00:09.560]  This episode of the show is brought to you by our friends at Seeds Here Now.
[00:09.560 --> 00:14.080]  If you need new seeds in your garden, I highly recommend Seeds Here Now, and you can find
[00:14.080 --> 00:19.960]  them at www.seedsherenow.com.
[00:19.960 --> 00:23.440]  You know I like to start the podcast off by talking about what I'm smoking.
[00:23.440 --> 00:29.200]  Today, I've been taking dabs of Stardog Ambrosia SHO Premium Rosin from our friends at Apothecary
[00:29.200 --> 00:30.200]  Farms.
[00:30.200 --> 00:39.200]  The label says that this product contains 73.2% THC and 85.5% total cannabinoids.
[00:39.200 --> 00:43.880]  Apothecary has recently started releasing the Premium Rosin, the SHO Rosin.
[00:43.880 --> 00:47.940]  I was reluctant to buy it because it is at a higher price point, and I did not want to
[00:47.940 --> 00:51.720]  fall in love with it, but I think I might be in love.
[00:51.720 --> 00:54.240]  The aroma is ridiculous.
[00:54.240 --> 00:58.320]  I always say that there is a strong aroma coming from these concentrates.
[00:58.440 --> 01:01.960]  There's something different about the Rosin concentrate.
[01:01.960 --> 01:04.480]  The aroma is more like the plant.
[01:04.480 --> 01:09.360]  It is more similar to the essence of the way that plant smelled while it was growing, and
[01:09.360 --> 01:13.080]  it's got a hint of that dried and cured plant smell as well.
[01:13.080 --> 01:16.960]  The ambrosias and the batters get the essence of the terps of what the plant smells like
[01:16.960 --> 01:19.520]  when it was alive, when it was growing, when it was fresh.
[01:19.520 --> 01:24.360]  I think the Rosin gets a fuller, more of a cannabis-flavored profile, something that
[01:24.360 --> 01:26.560]  a cannabis smoker is more familiar with.
[01:26.560 --> 01:30.680]  If you've never smoked BHO and you smoke the Rosin, you may say, what is the flavor
[01:30.680 --> 01:31.880]  coming out of that BHO?
[01:31.880 --> 01:34.260]  You may think it's fake because it is so terpy.
[01:34.260 --> 01:37.000]  The terps are so prevalent in a different way.
[01:37.000 --> 01:41.640]  This Rosin has a cannabis-based flavor to it.
[01:41.640 --> 01:45.160]  Unless you've smoked a lot of concentrates, that may sound weird, but there is much more
[01:45.160 --> 01:48.440]  of a cannabis-dominant, familiar flavor to this Rosin.
[01:48.440 --> 01:49.440]  I really like it.
[01:49.440 --> 01:51.100]  Of course, it's gotten me fucking rambly.
[01:51.100 --> 01:53.400]  It's got my eyes nice and heavy.
[01:53.400 --> 01:59.160]  Thinking about a BHO or a Diamond or a Sauce or an Ambrosia or a Shatterdab even, when
[01:59.160 --> 02:02.840]  I smoke that, it makes me feel like I'm kind of bug-eyed, like almost caffeinated off of
[02:02.840 --> 02:07.120]  the amount of THC that has entered my body so quickly.
[02:07.120 --> 02:12.320]  When I smoke the SHO, the Rosin, it makes my eyes go droopy.
[02:12.320 --> 02:13.320]  My eyes are heavy.
[02:13.320 --> 02:14.520]  My eyes feel red.
[02:14.520 --> 02:21.080]  I feel like I get really high from the BHO and I got really stoned from the SHO.
[02:21.080 --> 02:25.000]  I'm not sure if that's a good description for people that don't get to smoke every day,
[02:25.000 --> 02:26.360]  but the buzz is different.
[02:26.360 --> 02:30.560]  The feeling in my lungs are absolutely noticeably different.
[02:30.560 --> 02:33.720]  It feels a little bit thicker, a little bit heavier, which that makes sense because I
[02:33.720 --> 02:37.280]  can see the consistency of these products.
[02:37.280 --> 02:43.480]  This is almost like a heavier, thicker version of the batter that I smoke on a regular basis,
[02:43.480 --> 02:48.440]  but it is just thicker and it feels like I get ... I just need a little bit smaller of
[02:48.440 --> 02:52.440]  a dab of this and I get as much smoke and it really punches me.
[02:52.440 --> 02:53.440]  Big shout out to our friends at Apothecary.
[02:53.440 --> 02:57.480]  I didn't mean to talk about the new concentrate for two minutes, but I really appreciate the
[02:57.480 --> 02:59.920]  flavor, the aromas, the buzz.
[02:59.920 --> 03:01.040]  The flavor is crazy.
[03:01.040 --> 03:02.040]  It's intense.
[03:02.040 --> 03:03.040]  It just lingers on your mouth.
[03:03.040 --> 03:04.280]  It leaves that weed flavor.
[03:04.280 --> 03:06.880]  That's what I miss from the BHO.
[03:06.880 --> 03:11.740]  It leaves that cannabis that, when you used to smoke a joint, there was a flavor to it.
[03:11.740 --> 03:13.240]  That is back with the Rosin.
[03:13.240 --> 03:20.840]  Shout out to our friends at Apothecary Farms for the Stardog Ambrosia SHO Premium Rosin.
[03:20.840 --> 03:24.560]  In this episode, I am going to answer a couple of grow questions, but before we get there,
[03:24.560 --> 03:28.520]  I would like to give some shout outs to some friends from Patreon.
[03:28.520 --> 03:30.360]  Let's start out with a big Grow From Your Heart podcast.
[03:30.360 --> 03:31.360]  Shout out to Miss Mel.
[03:31.360 --> 03:34.160]  I need to send a big thank you shout out to Todd K.
[03:34.160 --> 03:36.800]  I also want to send a big thank you Grow From Your Heart podcast.
[03:36.800 --> 03:41.880]  Shout out to Richard M. I also want to send a giant shout out to our buddy Steve F. Also,
[03:41.880 --> 03:46.420]  a big giant Grow From Your Heart podcast shout out and a thank you to my buddy Bafsta.
[03:46.420 --> 03:50.880]  As always, a shout out to our buddy Brian B. And last, but certainly not least, I want
[03:50.880 --> 03:55.160]  to send a giant Grow From Your Heart podcast shout out and a thank you to my good friend
[03:55.160 --> 03:56.480]  Aldridge.
[03:56.480 --> 03:59.960]  I want to thank all of you for your continued Patreon support.
[03:59.960 --> 04:02.560]  If you're not already supporting the show and you would like to learn how to become
[04:02.560 --> 04:07.700]  a patron, all you have to do is go to patreon.com slash growfromyourheart.
[04:07.700 --> 04:11.160]  All of the information that you need will be right there on the screen.
[04:11.800 --> 04:12.880]  All right, podcast world.
[04:12.880 --> 04:16.480]  At the start of the show, I said that I was going to answer a few grow questions.
[04:16.480 --> 04:18.400]  Recently, I was asked a question by a friend.
[04:18.400 --> 04:20.120]  He sent me a picture via email.
[04:20.120 --> 04:24.300]  I did not print out the message because I can cover it without printing that paper.
[04:24.300 --> 04:25.780]  So let's talk about his question.
[04:25.780 --> 04:26.780]  He sent me a picture.
[04:26.780 --> 04:28.360]  He is using a root pot.
[04:28.360 --> 04:29.760]  He's got a fabric pot.
[04:29.760 --> 04:31.520]  His plants look beautiful and healthy.
[04:31.520 --> 04:33.100]  The room looks nice and clean.
[04:33.100 --> 04:34.340]  Everything looks stellar.
[04:34.340 --> 04:37.760]  He's got his plants worked into a nice trellis, so he's developing a nice canopy.
[04:37.760 --> 04:39.640]  Everything looks real sexy in there.
[04:39.640 --> 04:44.880]  My friend's one major concern was, hey, Rasta Jeff, why do I have roots growing out of the
[04:44.880 --> 04:47.120]  bottom of my pots?
[04:47.120 --> 04:50.640]  My friend is using a root pot, like a fabric pot.
[04:50.640 --> 04:52.680]  There are many different types of them available now.
[04:52.680 --> 04:56.520]  It's just a giant fabric bag, basically, in the shape of a root pot.
[04:56.520 --> 04:58.600]  So it's got a lot of breathing room for your root zone.
[04:58.600 --> 05:02.320]  It's basically a big potato sack that you fill with soil or soilless mix.
[05:02.320 --> 05:07.000]  You put your plant in there and it grows really happily because the plastic doesn't allow
[05:07.000 --> 05:08.000]  as much airflow.
[05:08.000 --> 05:12.200]  If you're using a plastic pot, you restrict a lot of airflow to your root zone.
[05:12.200 --> 05:13.680]  So your roots are growing through the medium.
[05:13.680 --> 05:15.640]  They're like, hey, there's oxygen this way.
[05:15.640 --> 05:16.680]  They go that way.
[05:16.680 --> 05:19.800]  They get to the edge of that root pot and they say, ooh, there's more air out there.
[05:19.800 --> 05:21.960]  And they grow right through that root pot.
[05:21.960 --> 05:24.080]  Those roots are looking for oxygen.
[05:24.080 --> 05:26.400]  While they're doing that, they're also looking for more food.
[05:26.400 --> 05:29.980]  Hopefully they find water and food at the end of their voyage.
[05:29.980 --> 05:35.560]  Those plants that have got the roots growing out of that bag are simply so happy that the
[05:35.560 --> 05:39.460]  roots have just grown right out of the bottom of that bag.
[05:39.460 --> 05:44.940]  You do have the possibility of those plants becoming root bound in the near future, but
[05:44.940 --> 05:49.240]  with the size of the plants that I saw and the size of the container that I saw, I don't
[05:49.240 --> 05:53.560]  think that is going to be a problem until late in flower, if not all the way to the
[05:53.560 --> 05:54.560]  end.
