[00:00.000 --> 00:01.160]  Here we go.
[00:01.160 --> 00:04.520]  Welcome to episode 458 of the Grow From Your Heart podcast.
[00:04.520 --> 00:07.440]  This episode of the show is brought to you by Seeds Here Now.
[00:07.440 --> 00:12.140]  If you need new regular, feminized, or auto flower seeds in your garden, I highly recommend
[00:12.140 --> 00:19.520]  Seeds Here Now, and you can find them at www.seedsherenow.com.
[00:19.520 --> 00:22.760]  You know, it has become a tradition that we start this podcast off by talking about what
[00:22.760 --> 00:23.760]  I'm dabbing.
[00:23.760 --> 00:28.280]  Today, I've been taking dabs of Infinity OG Live Batter from our friends at Green Dot
[00:28.280 --> 00:29.280]  Labs.
[00:29.280 --> 00:32.200]  It's a blend of Underdog OG and I-95.
[00:32.200 --> 00:37.320]  The package says, the aroma and flavor should be like gas, earth, and bitter skunk.
[00:37.320 --> 00:39.080]  I completely agree with that.
[00:39.080 --> 00:43.000]  It is gassy, it is earthy, and it is absolutely skunky.
[00:43.000 --> 00:50.400]  The potency label says that this product contains 67.26% THC and zero CBD.
[00:50.400 --> 00:55.560]  I really enjoy the aroma and flavor of the Infinity OG, and I think you can tell that
[00:55.560 --> 00:59.360]  it has a perfect buzz for podcasting.
[00:59.360 --> 01:03.940]  So big shout out to my friends at Green Dot Labs for the Infinity OG Live Batter.
[01:03.940 --> 01:06.080]  This stuff is delicious.
[01:06.080 --> 01:09.820]  In this episode of the podcast, I'm going to read a couple of listener emails.
[01:09.820 --> 01:13.280]  Before we get there, I would like to do a couple of shout outs to some of our friends
[01:13.280 --> 01:15.160]  from Patreon.
[01:15.160 --> 01:18.240]  Let me start with a giant shout out to our new friend, St. Stephen.
[01:18.240 --> 01:22.840]  I want to send a giant Grow From Your Heart podcast shout out to our friend Baked PWN.
[01:22.840 --> 01:25.440]  Of course, a giant shout out to our friend Victor.
[01:25.520 --> 01:29.320]  Grow From Your Heart podcast shout out and a fist bump to our friend Eric Ross.
[01:29.320 --> 01:33.960]  And last but certainly not least, I want to send a giant Grow From Your Heart podcast
[01:33.960 --> 01:37.600]  shout out and a thank you to our friend Sam.
[01:37.600 --> 01:41.280]  If you would like to learn how to become a patron and support the show on Patreon, you
[01:41.280 --> 01:48.560]  can do so by visiting www.patreon.com slash growfromyourheart.
[01:48.560 --> 01:51.720]  All of the information you need will be right there on the screen.
[01:51.720 --> 01:56.160]  Once again, big shout out to all of my friends who have continued to help out on Patreon.
[01:56.160 --> 01:59.440]  All right, I said I've got some emails I would like to read.
[01:59.440 --> 02:02.360]  Let's jump right into that portion of the podcast.
[02:02.360 --> 02:05.700]  If you'd like to send me an email, if you've got a cannabis growing question, if you've
[02:05.700 --> 02:09.840]  got a cannabis culture question, maybe you've just got something you'd like to say, my email
[02:09.840 --> 02:13.600]  address is growfromyourheartathotmail.com.
