[00:00.000 --> 00:02.240]  Welcome back, podcast world.
[00:02.240 --> 00:06.200]  It is time for episode 460 of the Grow From Your Heart podcast.
[00:06.200 --> 00:08.760]  This episode of the show is brought to you by Seeds Here Now.
[00:08.760 --> 00:13.520]  If you need new regular, feminized, or auto flower seeds in your garden, I highly recommend
[00:13.520 --> 00:21.400]  Seeds Here Now, and you can find them at www.seedsherenow.com.
[00:21.400 --> 00:24.800]  You know I like to start the podcast off by talking about what I'm smoking.
[00:24.800 --> 00:30.120]  Today I've been taking dabs of Downshift Live Batter from our friends at Green Dot Labs.
[00:30.120 --> 00:36.020]  This is a blend of Southbound and HSB, which is Han Solo Burger.
[00:36.020 --> 00:39.300]  The label describes the flavor as gas, earth, and hazelnut.
[00:39.300 --> 00:40.640]  I definitely get the gas.
[00:40.640 --> 00:42.340]  I absolutely get the earth.
[00:42.340 --> 00:46.740]  I am not sure that I tasted hazelnut, although it was extremely delicious.
[00:46.740 --> 00:54.240]  The potency label says that this concentrate contains 67.99% THC and zero CBD.
[00:54.240 --> 00:58.800]  I really enjoy the flavor, and I really like the great eye buzz and the face buzz from
[00:58.800 --> 01:01.000]  the Downshift Live Batter.
[01:01.000 --> 01:03.220]  I'm going to crack this open so we can take a look.
[01:03.220 --> 01:05.000]  The consistency is beautiful.
[01:05.000 --> 01:10.880]  It looks like I've got a piece of really soft cheese or maybe a nice golden colored chunk
[01:10.880 --> 01:11.880]  of cheesecake.
[01:11.880 --> 01:14.080]  I'm giving it a fresh smell.
[01:14.080 --> 01:16.060]  You know, I still don't get the hazelnut.
[01:16.060 --> 01:19.320]  There may be a hint of lavender or something in there, but I'm not getting hazelnut out
[01:19.320 --> 01:20.320]  of that.
[01:20.320 --> 01:21.320]  I'm not complaining.
[01:21.320 --> 01:22.320]  I love the aroma.
[01:22.320 --> 01:24.160]  I love the flavor, and I love the buzz.
[01:24.200 --> 01:29.200]  Big shout out to our friends at Green Dot Labs for the delicious and amazing Downshift
[01:29.200 --> 01:30.200]  Live Batter.
[01:30.200 --> 01:32.440]  All right, podcast world.
[01:32.440 --> 01:36.120]  In this Thursday episode of the show, I'm going to talk about a couple of great events
[01:36.120 --> 01:37.400]  I got to attend recently.
[01:37.400 --> 01:38.560]  I got to see Joe Rogan.
[01:38.560 --> 01:40.760]  I also got to go see Phish for three days.
[01:40.760 --> 01:42.200]  I'm going to talk about that.
[01:42.200 --> 01:43.400]  I may get to an email.
[01:43.400 --> 01:44.760]  We may get to a couple of questions.
[01:44.760 --> 01:48.260]  It depends on how my voice does and how long this show goes.
[01:48.260 --> 01:53.400]  Before we get to that part, let's do some shout outs to our friends from Patreon.
[01:53.760 --> 01:55.840]  I want to start off with a giant thank you shout out to my friend St. Stephen.
[01:55.840 --> 01:59.720]  I want to give a giant thank you shout out to my friend Jacob W.
[01:59.720 --> 02:01.580]  Also a giant shout out to Keith K.
[02:01.580 --> 02:05.160]  I want to send a big grow from your heart podcast shoutout to Brett G.
[02:05.160 --> 02:06.800]  I want to send a big thank you to Tommy!
[02:06.800 --> 02:11.000]  How about a giant grow from your heart podcast fist bump and a thank you to Glenn G.
[02:11.000 --> 02:12.760]  Also a giant thank you to Victor!
[02:12.760 --> 02:16.400]  I want to send a giant grow from your heart podcast thank you and a shout out to Steve
[02:16.400 --> 02:17.400]  F.
[02:17.400 --> 02:19.360]  As always, a giant thank you to Sour Dee.
[02:19.360 --> 02:23.280]  And last, but certainly not least, I want to give a shout out and a Grow From Your Heart
[02:23.280 --> 02:28.160]  podcast shout out and a thank you to our friend Baz. I want to thank each and every one of you
[02:28.160 --> 02:33.280]  for your continued Patreon support. If anybody out there would like to learn how to become a patron,
[02:33.280 --> 02:39.920]  you can do so by visiting patreon.com slash growfromyourheart. All of the information you
[02:39.920 --> 02:44.960]  need to support the show will be right there on the screen. All right, podcast world, let's talk
[02:44.960 --> 02:49.840]  about some of the fun stuff I've gotten to do recently. A couple of weeks ago, my friend Clint
