[00:00.000 --> 00:01.000]  Take three.
[00:01.000 --> 00:02.000]  What's up, ladies and gentlemen?
[00:02.000 --> 00:05.920]  It is time for episode 463 of the Grow From Your Heart podcast.
[00:05.920 --> 00:09.640]  This episode of the show is brought to you by our friends at Seeds Here Now.
[00:09.640 --> 00:14.240]  If you need new regular, feminized, or auto flower seeds in your garden, I highly recommend
[00:14.240 --> 00:21.960]  Seeds Here Now, and you can find them at www.seedsherenow.com.
[00:21.960 --> 00:25.520]  You know we like to start the podcast off by talking about what I'm smoking.
[00:25.520 --> 00:30.760]  Today I've been taking dabs of Downshift Live Batter from Green Dot Labs.
[00:30.760 --> 00:35.440]  This is a blend of Southbound and HSB, which is the Han Solo Burger.
[00:35.440 --> 00:37.800]  On the package, they describe the flavor as gath.
[00:37.800 --> 00:38.800]  Gath?
[00:38.800 --> 00:39.800]  Did I just say gath?
[00:39.800 --> 00:40.800]  All right.
[00:40.800 --> 00:41.800]  This is the Mike Tyson podcast.
[00:41.800 --> 00:43.240]  Welcome to Hot Boxing with Mike.
[00:43.240 --> 00:46.720]  This flavor is described as gath, earth, and hazelnut.
[00:46.720 --> 00:48.880]  It really says gas, earth, and hazelnut.
[00:48.880 --> 00:53.400]  I absolutely taste the gas, the earth, but the hazelnut eludes me.
[00:53.400 --> 00:55.760]  I do not catch the hazelnut flavor.
[00:55.760 --> 00:57.080]  Most of the time I agree.
[00:57.080 --> 00:58.760]  This time, that one is missing me.
[00:58.760 --> 00:59.920]  No offense, not a big deal.
[00:59.920 --> 01:02.560]  It is a fucking tremendous and delicious concentrate.
[01:02.560 --> 01:10.320]  The potency label says this product contains 67.99% THC and zero CBD.
[01:10.320 --> 01:15.840]  I really enjoy the flavor and aromas, but mostly I enjoy the excellent high from the
[01:15.840 --> 01:18.000]  Downshift Live Batter.
[01:18.000 --> 01:22.440]  Big shout out to my friends at Green Dot Labs for always keeping me laced up with the delicious
[01:22.480 --> 01:25.720]  and tremendous Top Shelf concentrates.
[01:25.720 --> 01:29.560]  All right, ladies and jelly spoons, in this episode I am going to talk about a subject
[01:29.560 --> 01:32.880]  that Mike and I were discussing on a recent car ride.
[01:32.880 --> 01:37.480]  Before we get there, I would like to give a shout out to some of my friends from Patreon.
[01:37.480 --> 01:40.480]  Let's start off with a big thank you shout out to my friend, Miss Mel.
