[00:00.000 --> 00:01.520]  Yeah, here we go.
[00:01.520 --> 00:02.520]  What's up, podcast world?
[00:02.520 --> 00:07.320]  It is time for episode 467 of the Grow From Your Heart podcast.
[00:07.320 --> 00:11.460]  This episode of the show is brought to you by Seeds Here Now.
[00:11.460 --> 00:16.180]  If you need new regular, feminized, or auto flower seeds in your garden, I highly recommend
[00:16.180 --> 00:24.520]  Seeds Here Now, and you can find them at www.seedsherenow.com.
[00:24.520 --> 00:28.080]  You know, I like to start the podcast off by talking about what I'm smoking.
[00:28.080 --> 00:33.160]  Today, I've been taking dabs of Secret Kush Mints Live Batter from our friends at Green
[00:33.160 --> 00:34.560]  Dot Labs.
[00:34.560 --> 00:37.400]  This is a blend of secret cookie and kush mints.
[00:37.400 --> 00:42.200]  The label says the flavor should taste like oatmeal, raisin, and sugar cookies.
[00:42.200 --> 00:47.640]  You know, when I dab this, it absolutely tastes like a Little Debbie oatmeal cream pie, and
[00:47.640 --> 00:49.580]  I fucking love it.
[00:49.580 --> 00:51.600]  This concentrate tastes delicious.
[00:51.600 --> 00:53.840]  It's got a really nice, heavy buzz to it.
[00:53.840 --> 00:55.400]  It sits me back in my chair.
[00:55.400 --> 00:56.560]  It makes me want to chill out.
[00:56.680 --> 00:59.480]  It kind of makes me feel heavy and lazy, and I really enjoy it.
[00:59.480 --> 01:03.320]  It slows me down, and most of the time, I'm going a little bit too fast.
[01:03.320 --> 01:08.220]  So I really dig the Secret Kush Mints Live Batter from Green Dot Labs.
[01:08.220 --> 01:14.640]  The potency label says 68.83% THC and zero CBD.
[01:14.640 --> 01:18.200]  The flavor and the buzz are where it's at with this concentrate.
[01:18.200 --> 01:20.840]  Big shout out to my friends at Green Dot Labs.
[01:20.840 --> 01:22.120]  All right, podcast world.
[01:22.120 --> 01:25.080]  In this episode, I'm going to read a couple of listener emails.
[01:25.080 --> 01:29.000]  I'm going to give you an update on the PL Grow Minder unit that we sent to our friend
[01:29.000 --> 01:30.400]  up in Canada.
[01:30.400 --> 01:35.800]  Before we get there, let's do some shout outs to a few of our friends on Patreon.
[01:35.800 --> 01:37.120]  Let's start off with ladies first.
[01:37.120 --> 01:40.880]  How about a big giant Grow From Your Heart podcast shout out to my friend, Miss Mel.
[01:40.880 --> 01:44.400]  I want to send a big Grow From Your Heart podcast shout out and a thank you to our friends
[01:44.400 --> 01:45.960]  at Hogan's Farms.
[01:45.960 --> 01:48.440]  Also a big shout out and a thank you to BAFSTA.
[01:48.440 --> 01:53.400]  And last, but certainly not least, I want to send a giant Grow From Your Heart podcast
[01:53.680 --> 01:55.840]  thank you shout out to my friend Aldridge.
[01:55.840 --> 01:59.080]  Thank you to each and every one of you for supporting the show.
[01:59.080 --> 02:03.080]  And if anybody out there would like to learn how to become a patron and support the show
[02:03.080 --> 02:11.460]  on Patreon, you can do so by visiting www.patreon.com slash growfromyourheart.
[02:11.460 --> 02:14.680]  All of the information you need will be right there on the screen.
[02:14.680 --> 02:18.120]  All right, I feel like I've gotten all of the business handled here at the start of
[02:18.120 --> 02:19.120]  the show.
[02:19.120 --> 02:20.400]  Let's get to the fun part.
[02:20.400 --> 02:24.120]  Let's jump into the email portion of this podcast.
[02:24.120 --> 02:27.760]  Before I read the email, let me give you a short update.
[02:27.760 --> 02:32.520]  Several episodes back, I read an email from a listener who was having technical difficulties
[02:32.520 --> 02:34.640]  with his monitoring equipment.
