[00:00.000 --> 00:01.560]  Hi, le ho, neighbors.
[00:01.560 --> 00:05.520]  It is time for episode 471 of the Grow From Your Heart podcast.
[00:05.520 --> 00:09.260]  This episode of the show is brought to you by our friends at Seeds Here Now.
[00:09.260 --> 00:13.880]  If you need new regular, feminized, or auto flower seeds in your garden, I highly recommend
[00:13.880 --> 00:22.640]  Seeds Here Now, and you can find them at www.seedsherenow.com.
[00:22.640 --> 00:25.920]  You know, I like to start the podcast off by talking about when I'm smoking.
[00:25.920 --> 00:31.560]  Today I've been taking dabs of Halo Live Batter from our friends at Green Dot Labs.
[00:31.560 --> 00:34.520]  This is the Headbanger and Infinity OG.
[00:34.520 --> 00:37.920]  On the container, the flavor is described as deconstructed sour diesel.
[00:37.920 --> 00:40.320]  I think we've talked about this on the show before.
[00:40.320 --> 00:44.360]  I don't know what the hell deconstructed sour diesel is supposed to taste like.
[00:44.360 --> 00:49.680]  I do know that this concentrate smells deliciously disgusting, and it makes me stupid when I
[00:49.680 --> 00:53.160]  smoke it, so I am completely enjoying this.
[00:53.160 --> 00:59.160]  Big shout out to our friends at Green Dot Labs for the delicious Halo Live Batter.
[00:59.160 --> 01:03.320]  In this episode, I'm going to do a strain review or a strain report on one of my favorite
[01:03.320 --> 01:04.320]  crosses.
[01:04.320 --> 01:09.800]  Before I get there, I would like to do some shout outs to a couple of my friends on Patreon.
[01:09.800 --> 01:12.780]  Let's start off with a big Giant Grow From Your Heart podcast shout out to my friend
[01:12.780 --> 01:13.780]  Miss Mel.
[01:13.780 --> 01:16.440]  I also want to send a shout out to our buddy Steve F.
[01:16.440 --> 01:20.200]  How about a Giant Grow From Your Heart podcast shout out and thank you to Brian B.
[01:20.200 --> 01:22.440]  I want to send a giant thank you to Ethan G.
[01:22.520 --> 01:23.920]  How about a big shout out to Meredith.
[01:23.920 --> 01:28.280]  I want to send a giant Grow From Your Heart podcast shout out and thank you to Sour D.
[01:28.280 --> 01:30.320]  Of course, a big thank you to Tanner M.
[01:30.320 --> 01:35.640]  And last, but certainly not least, a big Grow From Your Heart podcast shout out, a thank
[01:35.640 --> 01:40.000]  you, a fist bump, and a high five to our friend Bafsta.
[01:40.000 --> 01:43.280]  If anybody else out there would like to learn how to become a patron, all you need to do
[01:43.280 --> 01:49.420]  is go to www.patreon.com slash growfromyourheart.
[01:49.420 --> 01:52.400]  All of the information you need will be right there on the screen.
[01:52.400 --> 01:56.720]  Once again, big shout out and big thank you to everybody who has supported the Patreon
[01:56.720 --> 02:01.080]  campaign in the past, in the present, and in the future.
[02:01.080 --> 02:04.200]  Alright podcast world, let's not waste too much time in this episode.
[02:04.200 --> 02:07.320]  I did say that I wanted to do a strain review.
[02:07.320 --> 02:10.760]  Let's talk about one of my favorite strains that I have bred, also a strain that is getting
[02:10.760 --> 02:12.620]  really popular lately.
[02:12.620 --> 02:15.480]  Let's talk about a cross that I call Sunkiss.
[02:15.480 --> 02:17.200]  What is Sunkiss?
[02:17.200 --> 02:20.840]  Sunkiss is a cross of a female platinum tangy plant.
[02:20.840 --> 02:23.460]  Platinum tangy comes from our friends at the Garden of Weden.
[02:23.460 --> 02:26.240]  Big shout out to Maddie and Spence and the entire team Weden.
[02:26.240 --> 02:27.240]  What up kids?
[02:27.240 --> 02:28.240]  I miss you guys.
