[00:00.000 --> 00:01.720]  What's up, podcast world?
[00:01.720 --> 00:06.000]  It is time for episode 475 of the Grow From Your Heart podcast.
[00:06.000 --> 00:09.280]  This episode of the show is brought to you by Seeds Here Now.
[00:09.280 --> 00:14.360]  If you need new regular, feminized, or autoflower seeds in your garden, I highly recommend Seeds
[00:14.360 --> 00:22.320]  Here Now, and you can find them at www.seedsherenow.com.
[00:22.320 --> 00:25.680]  You know I like to start the podcast off by talking about what I'm smoking.
[00:26.160 --> 00:31.920]  I've been taking dabs of Garlic Banger Live Batter from our friends at Green Dot Labs.
[00:31.920 --> 00:35.120]  This stuff is deliciously ridiculous.
[00:35.120 --> 00:40.000]  This is a blend of Headbanger and HSB, which is Han Solo Burger.
[00:40.000 --> 00:45.280]  On the package, the flavor is described as diesel and garlic, and that is absolutely
[00:45.280 --> 00:46.280]  accurate.
[00:46.280 --> 00:50.200]  I'm cracking open the jar now to give myself a fresh smell.
[00:50.200 --> 00:52.640]  This stuff smells, as soon as you open it, gas comes out.
[00:52.640 --> 00:55.080]  It is like, oh, did somebody open up the gas can?
[00:55.080 --> 00:58.380]  Then when you put your face a little closer to it, it is garlicky.
[00:58.380 --> 01:02.800]  It almost makes your eyes itchy, burny, and makes your nose go, what the fuck is that?
[01:02.800 --> 01:05.260]  It is garlic and gas at the same time.
[01:05.260 --> 01:08.400]  It is like you were eating Thanksgiving dinner at the gas station.
[01:08.400 --> 01:10.360]  That's what this makes me think of.
[01:10.360 --> 01:13.720]  Then when you dab it, that diesel flavor and aroma hits you right in the face.
[01:13.720 --> 01:15.680]  It's funky, gross.
[01:15.680 --> 01:19.480]  Then it's followed up by that garlicky, robust, savory flavor.
[01:19.480 --> 01:20.480]  It sits on your tongue.
[01:20.600 --> 01:22.720]  It gives you a really nice cotton mouth.
[01:22.720 --> 01:24.640]  Then the buzz just makes you want to chill out.
[01:24.640 --> 01:25.640]  It makes me nice and lazy.
[01:25.640 --> 01:28.640]  It kind of calms me down, which is something I can use.
[01:28.640 --> 01:31.240]  I tend to be going a little bit fast lately.
[01:31.240 --> 01:36.320]  So big shout out to our friends at Green Dot Labs for the delicious Garlic Banger Live
[01:36.320 --> 01:37.840]  Batter.
[01:37.840 --> 01:42.040]  Ladies and gentlemen, in this episode, I am going to read a couple of listener emails.
[01:42.040 --> 01:45.160]  Before I get to that part of the show, I would like to give some shout outs to a few of our
[01:45.160 --> 01:47.800]  friends from Patreon.
[01:47.800 --> 01:51.000]  Let's start off with a big Giant Grow From Your Heart Podcast shout out and a thank you
[01:51.000 --> 01:52.000]  to JM.
[01:52.000 --> 01:54.360]  I want to send a big thank you to Todd K.
[01:54.360 --> 01:58.160]  I want to send a big Giant Thank You fist bump to Blackbird76.
[01:58.160 --> 02:02.080]  How about a big Giant Grow From Your Heart Podcast shout out to Zoso J.
[02:02.080 --> 02:04.120]  I want to send a giant thank you to Tommy.
[02:04.120 --> 02:07.520]  Of course, a giant Grow From Your Heart Podcast shout out to Keith K.
[02:07.520 --> 02:10.160]  I always want to send a giant shout out to WillysArmpit.
[02:10.160 --> 02:12.160]  Of course, a big shout out to Jacob W.
[02:12.160 --> 02:16.560]  And last but certainly not least, I'd like to send a Giant Grow From Your Heart Podcast
[02:16.560 --> 02:20.320]  shout out and a thank you to our friend Isaac G.
[02:20.320 --> 02:24.240]  I want to thank each and every one of you for continuing to support the show on Patreon.
[02:24.240 --> 02:27.500]  I also want to thank everybody else out there who supports the show.
