[00:00.000 --> 00:01.000]  Boo!
[00:01.000 --> 00:02.520]  What's up, ladies and gentlemen?
[00:02.520 --> 00:07.060]  It is Thursday, it is Halloween, and it is time for episode 476 of the Grow From Your
[00:07.060 --> 00:08.660]  Heart podcast.
[00:08.660 --> 00:12.320]  This episode of the show is brought to you by our friends at Seeds Here Now.
[00:12.320 --> 00:17.160]  If you need new regular, feminized, or autoflower seeds in your garden, I highly recommend Seeds
[00:17.160 --> 00:24.540]  Here Now, and you can find them at www.seedsherenow.com.
[00:24.540 --> 00:28.040]  You know I like to start this podcast off by talking about what I'm smoking.
[00:28.040 --> 00:33.600]  I've been taking dabs of Fatso Full Spectrum Extract from our friends at Green Dot Labs.
[00:33.600 --> 00:37.040]  This is a blend of GMO and Legend OG on the package.
[00:37.040 --> 00:41.040]  The flavor is described as dark roast, garlic, and fuel.
[00:41.040 --> 00:45.180]  I'm just going to agree with that because I am too stoned to argue.
[00:45.180 --> 00:50.500]  I'm really loving the gassy flavor and the pungent aroma from this Fatso Full Spectrum
[00:50.500 --> 00:55.580]  Extract, and it's obviously got me super baked, so big shout out to our friends at Green Dot
[00:55.580 --> 00:58.300]  Labs for the delicious concentrate.
[00:58.300 --> 01:01.860]  In this episode, I'm going to read a few emails from a couple of our friends.
[01:01.860 --> 01:05.560]  Before we get there, I'd like to do a few shout outs to a few people who support us
[01:05.560 --> 01:06.560]  on Patreon.
[01:06.560 --> 01:10.060]  Let's start off with a big Giant Grow From Your Heart Podcast shout out and thank you
[01:10.060 --> 01:11.260]  to our buddy James Brown.
[01:11.260 --> 01:13.820]  How about a big thank you shout out to JM.
[01:13.820 --> 01:17.860]  Of course a giant shout out and a fist bump to Nomi by my guacamole.
[01:17.860 --> 01:21.200]  Of course I always want to send a Giant Grow From Your Heart Podcast shout out to our buddy
[01:21.200 --> 01:22.940]  Stabby McStabberson.
[01:22.940 --> 01:26.180]  A big Giant Grow From Your Heart Podcast shout out to Gabriel.
[01:26.180 --> 01:29.380]  I also want to send a giant thank you shout out to OG Purple Thumb.
[01:29.380 --> 01:33.540]  And last but certainly not least, let's send a Giant Grow From Your Heart Podcast shout
[01:33.540 --> 01:37.900]  out, thank you, and a fist bump to our friend Zoso J.
[01:37.900 --> 01:41.760]  Big fist bump, big thank you, and big shout out to everybody who continues to support
[01:41.760 --> 01:43.420]  the show on Patreon.
[01:43.420 --> 01:49.580]  If you would like to learn how to support the show, you can do so by visiting www.patreon.com
[01:49.580 --> 01:51.540]  slash growfromyourheart.
[01:51.540 --> 01:55.780]  All of the information you need will be right there on the screen.
[01:55.780 --> 01:59.280]  Ladies and gentlemen, I did say I was going to read some listener emails.
[01:59.280 --> 02:00.420]  Let's get right to it.
[02:00.420 --> 02:04.700]  The first email in this episode goes just like this.
[02:04.700 --> 02:07.780]  Hey Rasta Jeff, thank you for your podcast.
[02:07.780 --> 02:10.540]  Well, you're welcome and thank you for the great email.
[02:10.540 --> 02:13.180]  It goes on to say, I have a question for you.
[02:13.180 --> 02:15.960]  I have a cocoa based organic grow.
[02:15.960 --> 02:22.480]  My media is cocoa that is heavily amended with crab shell, bone meal, green sand, etc.
[02:22.480 --> 02:28.680]  The media gets recycled and re-amended, then put into 20 gallon fabric pots for veg.
[02:28.680 --> 02:33.340]  I had an issue with a magnesium deficiency because of the recycled cocoa.
[02:33.340 --> 02:37.720]  I have corrected this by re-buffering and soaking the media with mag from cutting edge
[02:37.720 --> 02:40.680]  solutions and adding some dolomite lime.
[02:40.680 --> 02:43.040]  My question is about seedlings and clones.
[02:43.040 --> 02:45.700]  Well, let's back up before we get to the question.
[02:45.700 --> 02:50.060]  You are using cocoa, you are trying to stay organic, so you are recycling your cocoa,
[02:50.060 --> 02:54.360]  then you are re-buffering it because you've had what you assume is a magnesium deficiency.
[02:54.360 --> 02:55.880]  That does make sense.
[02:55.880 --> 02:58.100]  In cocoa, those nutrients aren't going to stick around.
[02:58.100 --> 03:02.300]  They rinse out of your media really quickly, so it is very likely you were getting a magnesium
[03:02.300 --> 03:03.380]  deficiency.
[03:03.380 --> 03:05.460]  It sounds like you have corrected that.
[03:05.460 --> 03:06.900]  This is a very unique blend.
[03:06.900 --> 03:11.740]  I don't know anybody else that is using purely cocoa as their base and then amending it with
[03:11.740 --> 03:14.400]  things like crab shell, bone meal, and green sand.
[03:14.400 --> 03:18.160]  Most folks are using some sort of a peat or a soilless mix to add to that.
[03:18.160 --> 03:22.200]  So I find this to be a rather unique mix, but let's focus more on the question.
[03:22.200 --> 03:25.720]  It says, my question is about seedlings and clones.
[03:25.720 --> 03:30.520]  I never had any issues before my magnesium deficiency, but while that was happening,
[03:30.520 --> 03:33.320]  I could not get anything to clone or root.
[03:33.320 --> 03:39.000]  Do you think it's because of the lower cation exchange with the stripped cocoa?
[03:39.000 --> 03:43.040]  Now while you were experiencing this deficiency, which we will assume was probably a calcium
[03:43.040 --> 03:46.480]  and magnesium deficiency, they're usually going to come together.
[03:46.480 --> 03:49.680]  You were having problems getting your clones to root.
[03:49.680 --> 03:53.680]  Now I'm not sure if you mean you were trying to root your clones directly into the cocoa
[03:53.680 --> 03:58.840]  mix because that I would never suggest trying to root clones directly into cocoa.
[03:58.840 --> 04:00.300]  That's not something I would do.
