[00:00.000 --> 00:01.920]  What's up, cannabis community?
[00:01.920 --> 00:06.260]  It is time for episode 477 of the Grow From Your Heart podcast.
[00:06.260 --> 00:09.940]  This episode of the show is brought to you by our friends at Seeds Here Now.
[00:09.940 --> 00:14.940]  If you need new regular, feminized, or autoflower seeds in your garden, I highly recommend Seeds
[00:14.940 --> 00:22.680]  Here Now, and you can find them at www.seedsherenow.com.
[00:22.680 --> 00:26.040]  You know I like to start the podcast off by talking about what I'm smoking.
[00:26.040 --> 00:31.580]  I just took a ridiculous dab of Chemdela Chem S1 Live Batter from our friends at Green
[00:31.580 --> 00:32.760]  Dot Labs.
[00:32.760 --> 00:35.660]  This is a blend of Chem D and I-95.
[00:35.660 --> 00:41.020]  On the package, the flavor is described as petrol, earth, and sour, and I will completely
[00:41.020 --> 00:42.520]  agree with that description.
[00:42.520 --> 00:45.300]  When you crack the jar open, it smells gassy.
[00:45.300 --> 00:47.540]  You get a nice gassy, earthy aroma.
[00:47.540 --> 00:52.040]  Then once that settles down, that is when that sour aroma kicks in.
[00:52.040 --> 00:56.160]  Then when I took a dab, the first thing I noticed was that gassy, pungent flavor hit
[00:56.160 --> 00:57.160]  my tongue.
[00:57.160 --> 01:02.080]  Then on the exhale, it got earthy, and then as it settles down, that gassy, sourness,
[01:02.080 --> 01:06.400]  skunkiness kind of settles on the tongue, and it gives me a really delicious kind of
[01:06.400 --> 01:11.220]  an aftertaste, sort of a thick layer of cottonmouth that I really enjoy.
[01:11.220 --> 01:17.520]  I've really been enjoying this trend in the gassy, garlicky, savory sort of flavors in
[01:17.520 --> 01:21.680]  the concentrates, or at least in my area, that seems to be a trend in the concentrates.
[01:22.200 --> 01:28.080]  I am really enjoying that gassy, garlicky sort of a trend, the Garlic Banger, the Chem
[01:28.080 --> 01:34.040]  de la Chem, the Fatso, the GMO, just about anything with that garlicky flavor to it.
[01:34.040 --> 01:37.400]  Of course, the Mac has got that pungent aroma to it.
[01:37.400 --> 01:41.480]  Anything on that end of the spectrum has been making me really happy lately.
[01:41.480 --> 01:47.400]  Big shout out to our friends at Green Dot Labs for the delicious Chem de la Chem S1
[01:47.400 --> 01:48.400]  Live Batter.
[01:49.040 --> 01:53.000]  All right, in this episode, I'm going to read a couple of listener emails.
[01:53.000 --> 01:56.720]  Before we get there, you know that I would like to do some shout outs to a few of our
[01:56.720 --> 01:59.400]  friends from Patreon.
[01:59.400 --> 02:03.560]  Let's start off with a big giant Grow From Your Heart podcast shout out and a thank you
[02:03.560 --> 02:05.440]  to my friend, Glenn Gironi.
[02:05.440 --> 02:08.840]  How about a big giant Grow From Your Heart podcast shout out and a thank you to James
[02:08.840 --> 02:09.840]  Brown.
[02:09.840 --> 02:12.800]  How about a big thank you and a shout out and a fist bump to Brett G.
[02:12.800 --> 02:15.840]  Of course, a big giant thank you shout out to Jacob W.
[02:15.840 --> 02:19.560]  I want to send a giant handshake, a Grow From Your Heart fist bump and a thank you
[02:19.560 --> 02:21.000]  to Keith K.
[02:21.000 --> 02:25.280]  Of course, I want to send a giant Grow From Your Heart podcast thank you, a shout out,
[02:25.280 --> 02:28.240]  a fist bump, and a high five to Fat Rabbit.
[02:28.240 --> 02:31.120]  As always, a giant thank you shout out to Todd K.
[02:31.120 --> 02:36.120]  And last, but certainly not least, I want to send a giant Grow From Your Heart podcast
[02:36.120 --> 02:42.000]  shout out, a high five, and a thank you to my friend, Blackbird76.
[02:42.000 --> 02:45.640]  I want to thank each and every one of you for the continued Patreon support.
[02:45.640 --> 02:49.520]  And if anybody out there would like to learn how to support the show on Patreon, you can
[02:49.520 --> 02:56.440]  do so by visiting www.patreon.com slash growfromyourheart.
[02:56.440 --> 02:59.880]  All of the information you need will be right there on the screen.
[02:59.880 --> 03:04.040]  All right, podcast world, this is the portion of the show where I start reading listener
[03:04.040 --> 03:05.040]  emails.
[03:05.040 --> 03:09.040]  I've got a nice pile of emails here in front of me, so let's not waste too much time.
[03:09.040 --> 03:11.760]  Let's get right to the first message.
[03:11.760 --> 03:15.240]  The first message in today's episode goes just like this.
[03:15.240 --> 03:17.840]  If this is aired, you can use my name.
[03:17.840 --> 03:20.000]  Hey, that is a great way to start a message.
[03:20.000 --> 03:21.800]  Big shout out to our friend, Eric.
[03:21.800 --> 03:23.600]  The message goes like this.
[03:23.600 --> 03:26.920]  Hey, Rasta Jeff, I love your show.
[03:26.920 --> 03:30.280]  I love the audio quality, the content, and your talking style.
[03:30.280 --> 03:31.960]  Hey, that's a great compliment right there.
[03:31.960 --> 03:36.040]  I'm glad that you appreciate the audio quality because I do put a little bit of work into
[03:36.040 --> 03:37.040]  that.
[03:37.040 --> 03:38.960]  I've got a lot of toys making me sound like a pro.
[03:38.960 --> 03:42.320]  I'm glad that you enjoy the content because that is all my brain coming out.
[03:42.480 --> 03:47.080]  It goes on to paper just a little bit, very minimal notes, and then I just talk and put
[03:47.080 --> 03:48.080]  it out there.
[03:48.080 --> 03:51.120]  I'm glad you're enjoying the content and my talking style.
[03:51.120 --> 03:52.360]  That's just me being me.
[03:52.360 --> 03:57.360]  I try to speak clearly and try to speak in a way that I think most people who speak English
[03:57.360 --> 04:01.040]  would be able to understand and comprehend what I'm saying.
[04:01.040 --> 04:02.040]  Thank you for that.
[04:02.040 --> 04:03.040]  Those are all great compliments.
[04:03.040 --> 04:04.040]  We should keep moving.
[04:04.040 --> 04:07.400]  It goes on to say, you should definitely be proud of the work you're doing here.
[04:07.400 --> 04:08.400]  Thank you.
[04:08.400 --> 04:09.400]  I appreciate that.
[04:09.400 --> 04:10.440]  The message continues.
[04:10.440 --> 04:14.920]  It says, I tried a few other shows and found that yours has just the right amount of fuck
[04:14.920 --> 04:20.600]  bombs and given that I'm a huge potty mouth, the Grow From Your Heart podcast is the show
[04:20.600 --> 04:22.520]  for me.
[04:22.520 --> 04:25.640]  That is a very interesting compliment and a very interesting statement.
[04:25.640 --> 04:29.400]  I'm glad that I'm dropping just the right amount of F-bombs for you.
[04:29.400 --> 04:34.760]  I try not to be a potty mouth, but I do try to be genuine and be myself and I say fuck
[04:34.760 --> 04:35.920]  sometimes.
[04:36.040 --> 04:40.840]  I do try to find that line between being professional, but also being genuinely myself.
[04:40.840 --> 04:41.840]  This is my show.
[04:41.840 --> 04:43.920]  I can say whatever I want to say.
[04:43.920 --> 04:47.680]  I feel like censoring myself too much makes me sound a little bit fake.
[04:47.680 --> 04:50.840]  When you do meet me and we hang out and I smell your weed, I'm going to go, that shit
[04:50.840 --> 04:51.840]  smells fucking good.
[04:51.840 --> 04:55.320]  You're going to look at me like, wow, I've never heard you use profanity before and I'm
[04:55.320 --> 04:56.480]  blown away by it.
[04:56.480 --> 04:58.240]  Now you already know that that's who I am.
[04:58.240 --> 05:00.120]  It's not surprising.
[05:00.120 --> 05:04.320]  People who have been listening to the show for a long time may remember that in the beginning,
[05:04.320 --> 05:08.920]  I tried to do a swear jar, just the old fashioned, every time you say the F word, you got to
[05:08.920 --> 05:10.800]  put a dollar in the swear jar.
[05:10.800 --> 05:11.800]  And then I did that.
[05:11.800 --> 05:16.200]  And eventually I gave that money to a patient who needed some assistance.
[05:16.200 --> 05:20.440]  Once I gave that money to somebody, I decided that was my final payment and I was allowed
[05:20.440 --> 05:25.640]  to say whatever I wanted on my show because there is no need to censor me from being myself.
[05:25.640 --> 05:28.400]  Speaking of being myself, I am stoned and way off track.
[05:28.400 --> 05:31.760]  So let's get back on track here with this email.
[05:31.760 --> 05:32.760]  It goes like this.
[05:32.760 --> 05:38.280]  Also, I am the senior optical technician for my dad's optical repair business.
[05:38.280 --> 05:42.360]  Basically, I repair binoculars, mostly antiques.
[05:42.360 --> 05:45.480]  Our shop is tucked into the back of my dad's property.
[05:45.480 --> 05:49.200]  We get the majority of our business shipped to us so we don't get many customers walking
[05:49.200 --> 05:50.520]  in.
[05:50.520 --> 05:55.520]  We listened to the GFYH podcast on the shop stereo for hours on end, and we have gone
[05:55.520 --> 06:00.640]  as far as the low 200s in your episode feed on iTunes.
[06:00.640 --> 06:01.640]  Wow, that's amazing.
[06:01.640 --> 06:03.280]  You're listening to the old stuff.
[06:03.280 --> 06:06.720]  You may actually stumble across that old swear jar episode.
[06:06.720 --> 06:10.280]  But I think that's awesome that you guys are listening to my show while you were working
[06:10.280 --> 06:11.280]  all day.
[06:11.280 --> 06:15.800]  I hope you're exposing some other employees to not only my F-bombs, but also to the grow
[06:15.800 --> 06:20.080]  knowledge and maybe just opening up their minds to cannabis in general.
[06:20.080 --> 06:24.160]  Maybe there's somebody in the crew who wasn't a big fan of cannabis and now you've accidentally
[06:24.160 --> 06:26.280]  turned them into an activist.
[06:26.280 --> 06:28.040]  I'm stoned and rambling.
[06:28.040 --> 06:29.240]  Let's keep moving with this email.
[06:29.240 --> 06:32.040]  It goes on to say, I am planning a grow.
[06:32.040 --> 06:35.120]  I'm growing for myself, my dad, and my mom.
[06:35.120 --> 06:39.120]  And we are in Oklahoma, so we are enjoying our new found freedom.
[06:39.120 --> 06:42.680]  Yeah, big shout out to all of our friends down there in Oklahoma.
[06:42.680 --> 06:46.880]  I've got quite a few friends who have left Colorado to head down to Oklahoma to help
[06:46.880 --> 06:48.360]  get started down there.
[06:48.360 --> 06:52.640]  And I've also made a lot of new friends who are in Oklahoma who are new to the cannabis
[06:52.640 --> 06:55.240]  industry who are getting started in the business.
[06:55.240 --> 06:59.920]  So big shout out to everybody down there in Oklahoma making the new medical marijuana
[06:59.920 --> 07:01.520]  movement happen.
[07:01.520 --> 07:05.920]  Let's keep moving with this email because I am obviously stoned and rambling.
[07:05.920 --> 07:09.480]  Our friend Eric here says, I have been studying a lot.
[07:09.480 --> 07:14.880]  I've been reading books, taking notes, and formulating my plan based on my grow style.
[07:14.880 --> 07:15.880]  I like that.
[07:15.880 --> 07:16.880]  That sounds very enthusiastic.
[07:16.880 --> 07:21.200]  It goes on to say, your show plays a huge part in that.
[07:21.200 --> 07:24.720]  I can imagine that your grow is going to look a little bit like my grow or at least
[07:24.720 --> 07:27.480]  the version of my grow that you have painted in your head.
[07:27.480 --> 07:29.960]  And I am really excited about that for you.
[07:29.960 --> 07:34.040]  It keeps going and it says, basically, I'm doing everything the way you'd say to do it
[07:34.040 --> 07:38.600]  and referencing my literature for finer details and specific information.
[07:38.600 --> 07:45.000]  I'm building a grow room in my garage that measures 4.5 feet by 8 feet that has an additional
[07:45.000 --> 07:49.280]  two by three closet that will house a mother, clones, and seedlings.
[07:49.280 --> 07:50.280]  All right.
[07:50.360 --> 07:52.520]  That sounds like we have a decent sized flower room.
[07:52.520 --> 07:55.800]  We've got a decent sized mom and clone area.
[07:55.800 --> 07:57.840]  It sounds like you're really off to a good start.
[07:57.840 --> 08:01.720]  You're reading books, you're listening to podcasts, and you were formulating a plan.
[08:01.720 --> 08:04.360]  It looks like you've got a nice floor plan made.
[08:04.360 --> 08:05.360]  Let's keep moving.
[08:05.360 --> 08:09.760]  It goes on to say, I have a lot of plans to optimize this grow space, but for now, I need
[08:09.760 --> 08:12.840]  to finish the main construction to get growing.
[08:12.840 --> 08:18.400]  Eventually, I'll build a nice big cabinet with an automated system and all of that.
[08:18.400 --> 08:19.400]  All right.
[08:19.520 --> 08:20.680]  I get that you're eager to get started.
[08:20.680 --> 08:24.720]  You just want to get things rolling so you can get growing, but my question is, why don't
[08:24.720 --> 08:29.280]  you just do it right the first time and build that big grow space that you dream of?
[08:29.280 --> 08:33.000]  Since you're building it in the garage, it's going to cost you time and money anyway.
[08:33.000 --> 08:37.480]  Why not just go big or go home on that first build instead of having to redo it all over
[08:37.480 --> 08:38.480]  again?
[08:38.480 --> 08:41.800]  I don't know your situation, but that would be my first question is, why aren't we just
[08:41.800 --> 08:44.000]  doing it the way we want to do it the first time?
[08:44.000 --> 08:45.200]  I don't want to do shit twice.
[08:45.200 --> 08:46.400]  We've got to do the work.
[08:46.400 --> 08:47.520]  We've got to spend the money.
[08:47.520 --> 08:48.520]  Let's just do it one time.
[08:48.640 --> 08:50.840]  But again, I don't know your situation.
[08:50.840 --> 08:52.780]  Maybe you don't have that space available.
[08:52.780 --> 08:53.840]  Maybe you don't have the budget.
[08:53.840 --> 08:54.840]  Maybe you don't have the time.
[08:54.840 --> 08:58.280]  I don't know your situation, but my first question is, why are we going to build it
[08:58.280 --> 08:59.280]  twice?
[08:59.280 --> 09:01.040]  Let's keep moving with the message it says.
[09:01.040 --> 09:06.480]  So for now, the actual grow space inside the grow room for veg and flour will be in a two
[09:06.480 --> 09:08.200]  by four grow tent.
[09:08.200 --> 09:12.640]  I really want to control the environment as best as possible, and I'm working with limited
[09:12.640 --> 09:13.640]  floor space.
[09:13.640 --> 09:14.640]  All right.
[09:14.640 --> 09:17.640]  So for the time being, we are working with very limited floor space.
[09:17.760 --> 09:21.080]  So we are going to grow in a two by four grow tent, it sounds like.
[09:21.080 --> 09:25.320]  And one of the main goals is to really control the environment as best as possible.
