[00:00.000 --> 00:01.680]  Alright, happy Monday everybody!
[00:01.680 --> 00:06.000]  It is time for episode 481 of the Grow From Your Heart podcast.
[00:06.000 --> 00:10.060]  This episode of the show is brought to you by our friends at Seeds Here Now.
[00:10.060 --> 00:15.000]  If you need new regular, feminized or autoflower seeds in your garden, I highly recommend Seeds
[00:15.000 --> 00:22.840]  Here Now and you can find them at www.seedsherenow.com.
[00:22.840 --> 00:26.400]  You know I like to start this podcast off by talking about what I'm smoking.
[00:26.400 --> 00:31.640]  Today I've been taking way too many dabs of Mai Tai Full Spectrum Extract from Green
[00:31.640 --> 00:32.760]  Dot Labs.
[00:32.760 --> 00:35.960]  This is a blend of Sunset Sherb and Purple Punch.
[00:35.960 --> 00:39.800]  On the package, the flavor is described as Tropical Fruit Cocktail.
[00:39.800 --> 00:43.960]  I will completely agree with the Tropical Fruit Cocktail description, but I think there
[00:43.960 --> 00:49.520]  is also a hint of something like Old Man Aftershave or Old Man Cologne that gives it sort of a
[00:49.520 --> 00:52.880]  sharp bright smell and I really enjoy it.
[00:52.880 --> 00:56.200]  I also really enjoy the buzz on the back of the container.
[00:56.200 --> 01:03.800]  It says this product contains 71.12% THC and non-detectable amounts of CBD.
[01:03.800 --> 01:09.640]  I really enjoy the flavor and I absolutely enjoy the buzz of the Mai Tai Full Spectrum
[01:09.640 --> 01:11.320]  Extract from Green Dot Labs.
[01:11.320 --> 01:14.240]  So big shout out to the crew at Green Dot.
[01:14.240 --> 01:15.460]  All right, podcast world.
[01:15.460 --> 01:17.720]  In this episode, I'm going to do a strain description.
[01:17.720 --> 01:20.960]  We're going to talk about the strain Scarlet Begonias.
[01:20.960 --> 01:26.020]  Before I get there, let's do some shout outs to a few of our friends from Patreon.
[01:26.020 --> 01:28.700]  Let's start off with a big giant shout out to Zoso J.
[01:28.700 --> 01:32.820]  How about a big giant Grow From Your Heart podcast shout out and a thank you to JM.
[01:32.820 --> 01:36.980]  Of course, I want to send a giant Grow From Your Heart podcast high five, shout out, and
[01:36.980 --> 01:39.280]  a thank you to my good buddy, Glen Geroni.
[01:39.280 --> 01:42.460]  I also want to send a big giant thank you to Victor.
[01:42.460 --> 01:46.460]  I also need to send a giant Grow From Your Heart podcast shout out to Steve F.
[01:46.460 --> 01:48.700]  I want to send a giant thank you to Brian B.
[01:48.700 --> 01:51.680]  Also, a big podcast thank you to Sephirot.
[01:51.680 --> 01:54.820]  I also want to send a big podcast high five to Aldridge.
[01:54.820 --> 01:59.940]  And last, but certainly not least, I want to send a big giant Grow From Your Heart podcast
[01:59.940 --> 02:04.020]  shout out and thank you to my friend, The Gabacho.
[02:04.020 --> 02:07.760]  Big thanks to everybody for the continued Patreon support.
[02:07.760 --> 02:10.840]  If you're not already supporting the show and you would like to learn how to become
[02:10.840 --> 02:18.380]  a patron, you can do so by visiting www.patreon.com slash growfromyourheart.
[02:18.380 --> 02:22.980]  All of the information you need will be right there on the screen.
[02:22.980 --> 02:27.040]  At the start of the show, I said I was going to do a strain review on a strain I created
[02:27.040 --> 02:28.960]  called Scarlet Begonias.
[02:28.960 --> 02:31.480]  So let's not waste too much time in this episode.
[02:31.480 --> 02:33.720]  Let's get right to a strain review.
[02:33.720 --> 02:36.440]  Let's talk about Scarlet Begonias.
[02:36.440 --> 02:37.760]  Let's do a little bit of catch up.
[02:37.760 --> 02:39.360]  Maybe people are not familiar.
[02:39.360 --> 02:42.000]  Just to get you up to speed, I am Rasta Jeff.
[02:42.000 --> 02:47.300]  I am the founder, the proprietor, and sole breeder for Iry Genetics Colorado.
[02:47.300 --> 02:50.180]  I make fine, regular, and feminized seeds.
[02:50.240 --> 02:55.360]  Most of my stuff is focused on being high THC with a lot of great, fruity, and unique
[02:55.360 --> 02:57.200]  aromas and flavors.
[02:57.200 --> 03:03.360]  I do offer feminized seeds, but in this episode, we are going to focus on regular seeds.
[03:03.360 --> 03:07.240]  I have been using a wonderful male for my male-female seeds.
[03:07.240 --> 03:10.560]  I have been using a male known as King Solomon.
[03:10.560 --> 03:13.520]  King Solomon is a select cut of a rye's.
[03:13.520 --> 03:20.080]  A rye's is a female golden goat pollinated by a male daybreaker plant.
[03:20.080 --> 03:25.100]  That female daybreaker brings a sweet, tropical, island sort of a flavor to the mix, while
[03:25.100 --> 03:29.020]  the daybreaker is chem D crossed to Joseph O.G.
[03:29.020 --> 03:34.180]  That brings a lot of gassy, cushy, sort of earthy, funky aromas to the mix.
[03:34.180 --> 03:40.500]  So a rye's brings a lot of sweet, tropical, gassy, cushy, sort of a tropical cush sort
[03:40.500 --> 03:42.400]  of a flavor and aroma.
[03:42.400 --> 03:45.040]  A rye's is known to be a very potent strain.
[03:45.040 --> 03:48.860]  I have seen many test results in the high 20s and low 30s.
[03:48.860 --> 03:53.200]  I've seen as high as 35% THC in the rye's.
[03:53.200 --> 03:57.720]  I have also seen a rye's create amazing progeny.
[03:57.720 --> 04:02.240]  Anything I use this King Solomon male on turns into magic.
[04:02.240 --> 04:06.240]  So that's a little background on the male plant that I used in the cross of Scarlet
[04:06.240 --> 04:07.240]  Begonias.
[04:07.240 --> 04:09.080]  I am using an a rye's plant.
[04:09.080 --> 04:13.000]  That is a cross of a golden goat female and a daybreaker male.
[04:13.000 --> 04:17.580]  I went through a lot of seeds to find the male that met my standards.
[04:17.580 --> 04:21.820]  The one that I chose to keep has been named King Solomon.
[04:21.820 --> 04:25.900]  So that is the male half of the Scarlet Begonias cross.
[04:25.900 --> 04:30.680]  Let's talk a little bit about the female half of this Scarlet Begonias cross.
[04:30.680 --> 04:35.920]  The female plant that I used for the cross of Scarlet Begonias was a plant known as Red
[04:35.920 --> 04:37.840]  Headed Stranger.
[04:37.840 --> 04:42.880]  I acquired my Red Headed Stranger cut from a commercial cultivation facility in Pueblo
[04:42.880 --> 04:44.700]  West, Colorado.
[04:44.700 --> 04:48.260]  I loved watching it grow because it grew giant colas.
[04:48.260 --> 04:51.660]  I loved watching it grow because it grew with great vigor.
[04:51.660 --> 04:55.300]  I loved watching it grow because it turned amazing colors.
[04:55.300 --> 05:00.020]  Then I liked watching the harvest crew attack it because it was really easy to trim.
[05:00.020 --> 05:05.420]  Then I really liked it because when the lab test came back, it always had impressive numbers.
