[00:00.000 --> 00:01.000]  Here we go.
[00:01.000 --> 00:02.680]  Welcome back, podcast world.
[00:02.680 --> 00:07.100]  It is time for episode 482 of the Grow From Your Heart podcast.
[00:07.100 --> 00:11.100]  This episode of the show is brought to you by Seeds Hear Now.
[00:11.100 --> 00:16.040]  If you need new regular, feminized, or autoflower seeds in your garden, I highly recommend Seeds
[00:16.040 --> 00:24.160]  Hear Now, and you can find them at www.seedshearnow.com.
[00:24.160 --> 00:27.640]  I like to start this podcast off by talking about what I'm smoking.
[00:27.640 --> 00:32.780]  Today I've been taking dabs of Curacao Live Batter from Green Dot Labs.
[00:32.780 --> 00:35.800]  This is a blend of coin style and dehesion punch.
[00:35.800 --> 00:40.100]  On the package, the flavor is described as vanilla fruit chew.
[00:40.100 --> 00:44.120]  I may have talked about this concentrate on the podcast before, but I really like dabbing
[00:44.120 --> 00:46.040]  the Curacao Live Batter.
[00:46.040 --> 00:48.440]  It does say that it tastes like a vanilla fruit chew.
[00:48.440 --> 00:50.920]  I don't remember the description I gave last time.
[00:50.920 --> 00:55.760]  I do know that I just took a nice low temp dab out of a freshly cleaned rig with a fresh
[00:55.880 --> 01:00.120]  brand new nail, and it tastes a little bit like a candy corn.
[01:00.120 --> 01:03.440]  People are going to say that's gross because I don't like candy corns, but imagine if you
[01:03.440 --> 01:08.040]  could eat a candy corn and not have to taste that waxy bullshit that comes with it.
[01:08.040 --> 01:11.520]  Without that waxy shit, I think a candy corn would taste really delicious.
[01:11.520 --> 01:13.340]  It's got that vanilla candy flavor.
[01:13.340 --> 01:15.480]  It's got a hint of a fruity flavor at the end.
[01:15.480 --> 01:21.040]  This Curacao Live Batter left a really nice, sweet vanilla flavor on my tongue, and I am
[01:21.040 --> 01:23.280]  absolutely enjoying it.
[01:23.280 --> 01:28.800]  Big shout out to our friends at Green Dot Labs for the perfect Curacao Live Batter.
[01:28.800 --> 01:33.040]  Ladies and gentlemen, boys and girls, pimps and hoes, friends and foes, in this episode,
[01:33.040 --> 01:35.960]  I am going to do a little talk about defoliation.
[01:35.960 --> 01:37.880]  We will talk about why I do it.
[01:37.880 --> 01:41.360]  We will talk about when to do it, and we will talk a little bit about how to do it.
[01:41.360 --> 01:46.360]  But before we get there, let's do some shout outs to our friends who support the show on
[01:46.360 --> 01:47.960]  Patreon.
[01:47.960 --> 01:49.280]  Let's start off with ladies first.
[01:49.280 --> 01:53.240]  How about a big giant Grow From Your Heart podcast shout out and thank you to Miss Mel,
[01:53.400 --> 01:57.520]  How about a big giant Grow From Your Heart podcast high five to my buddy Glen Geroni,
[01:57.520 --> 02:01.240]  How about a big giant shout out and a thank you to Ethan G, I always want to send a Grow
[02:01.240 --> 02:06.320]  From Your Heart podcast shout out and a fist bump to Melvin818, of course a giant shout
[02:06.320 --> 02:10.200]  out and a thank you to Justin, I always want to send a giant thank you to our friend Farmer
[02:10.200 --> 02:14.480]  John, of course I want to send a giant Grow From Your Heart high five and a fist bump
[02:14.480 --> 02:19.960]  to our friend Sam, and last, but certainly not least, I want to send a giant thank you
[02:20.080 --> 02:25.560]  and a Grow From Your Heart podcast shout out and a fist bump to my friend OG Purple Thumb.
[02:25.560 --> 02:28.400]  Big thanks and big shout out for all of the continued support.
[02:28.400 --> 02:32.400]  If anybody out there would like to learn how to support the show, you can do so by visiting
[02:32.400 --> 02:37.920]  www.patreon.com slash growfromyourheart.
[02:37.920 --> 02:42.200]  All of the information you need will be right there on the screen.
[02:42.200 --> 02:45.920]  Now let's jump right into talking about defoliation.
[02:45.920 --> 02:53.120]  I get a lot of questions asking about how and why and when to defoliate our ganja plants.
[02:53.120 --> 02:58.440]  A lot of growers have a lot of opinions on defoliating cannabis plants.
[02:58.440 --> 03:04.680]  In this episode, I will tell you when and how to properly defoliate your cannabis plants.
[03:04.680 --> 03:11.400]  Before I do that part, let me explain to you why I feel like defoliation is a good idea.
[03:11.400 --> 03:15.600]  Maybe I should start by basically explaining what do I mean by defoliating.
[03:15.600 --> 03:19.600]  I mean taking off excessive leaves in your grow room.
[03:19.600 --> 03:24.200]  Any leaves that are too large, that are blocking light, that may become a problem in the future,
[03:24.200 --> 03:29.560]  I take those leaves off early in flower, if not late into the vegetative cycle.
[03:29.560 --> 03:31.480]  And I do this for several reasons.
[03:31.480 --> 03:37.880]  My first reason is to allow light to penetrate my canopy and get to potential bud sites and
[03:37.880 --> 03:41.120]  bud sites for better growth and bud development.
[03:41.120 --> 03:45.300]  Our main goal is to grow big, potent, quality buds.
[03:45.300 --> 03:49.220]  If we can remove some leaf and put some of the light on more of the buds, spend more
[03:49.220 --> 03:53.540]  of the energy on growing buds and less energy on growing leaf, we have the potential to
[03:53.540 --> 03:58.460]  increase the overall harvest weight and the overall quality of our product.
[03:58.460 --> 04:03.820]  So I like to take off excess leaf to get more light into the canopy, more light to the buds
[04:03.820 --> 04:06.180]  and potential bud sites.
[04:06.180 --> 04:11.180]  I also like to remove excess leaf to allow more airflow.
[04:11.180 --> 04:14.620]  I work in large scale commercial environments.
[04:14.620 --> 04:19.620]  Airflow is important on any size of scale you are growing, but it gets much more critical
[04:19.620 --> 04:24.300]  as we get into larger environments and larger rooms and larger buildings.
[04:24.300 --> 04:28.700]  By removing excessive foliage, we can create better airflow throughout the entire grow
[04:28.700 --> 04:29.980]  room.
[04:29.980 --> 04:33.860]  Creating better airflow through the environment will have several advantages.
[04:33.860 --> 04:37.420]  This will help us regulate humidity in the grow room.
[04:37.420 --> 04:41.700]  Being able to regulate humidity in the grow room will help us prevent issues like bud
[04:41.700 --> 04:42.700]  rot.
[04:42.700 --> 04:46.100]  It will also help us prevent issues like powdery mildew.
[04:46.100 --> 04:49.500]  So by removing excess leaf, we help to reduce humidity.
[04:49.500 --> 04:53.860]  We also have less opportunity for things like powdery mildew.
[04:53.860 --> 04:57.340]  We also give ourselves less opportunity for bud rot.
[04:57.340 --> 05:03.060]  Now when we remove all those excess leaves, we also give ourselves less opportunity for
[05:03.060 --> 05:04.060]  pests.
[05:04.060 --> 05:08.020]  If you don't have a bunch of leaves, if you don't have a bunch of excessive foliage, there
[05:08.020 --> 05:11.220]  are less places for bugs to hide.
[05:11.220 --> 05:15.060]  It makes it much easier to treat for pests if you do have a problem.
[05:15.060 --> 05:19.780]  It makes it much easier to spray preventative sprays to make sure you don't get a problem.
[05:19.780 --> 05:24.380]  And when you're defoliating, if you do have a problem, you will absolutely notice a pest
[05:24.380 --> 05:28.300]  infestation while you're doing the defoliation work.
[05:28.300 --> 05:34.300]  Now those are three basic obvious advantages of defoliating our cannabis plants.
[05:34.300 --> 05:38.540]  And like I've said before, this becomes more necessary as we increase the size of our grow
[05:38.540 --> 05:41.060]  spaces and the number of plants.
[05:41.060 --> 05:47.580]  I also think that strategic defoliation will heavily increase the productivity of the plants
[05:47.580 --> 05:52.700]  and will also increase the overall product harvest weight and potency.
[05:52.700 --> 05:54.820]  So there will be several advantages here.
[05:54.820 --> 05:58.180]  It will also make trimming much easier.
[05:58.180 --> 05:59.460]  This will speed up the trim crew.
[05:59.460 --> 06:03.660]  Yes, we did spend a few days in the grow peeling off leaves before the trim crew ever got to
[06:03.660 --> 06:05.300]  it, but this will speed them up.
