[00:00.000 --> 00:01.000]  Alright, here we go.
[00:01.000 --> 00:02.000]  What's up, podcast world?
[00:02.000 --> 00:06.040]  Welcome to episode 483 of the Grow From Your Heart podcast.
[00:06.040 --> 00:09.320]  This episode of the show is brought to you by Seeds Here Now.
[00:09.320 --> 00:14.120]  If you need new regular, feminized, or auto flower seeds in your garden, I highly recommend
[00:14.120 --> 00:22.560]  Seeds Here Now, and you can find them at www.seedsherenow.com.
[00:22.560 --> 00:25.840]  You know I like to start the podcast off by talking about what I'm smoking.
[00:25.840 --> 00:30.800]  Today I've been taking dabs of Black and Blue Live Batter from Green Dot Labs.
[00:30.800 --> 00:34.120]  This is a blend of blue cheese and HSB.
[00:34.120 --> 00:38.800]  On the label, the flavor is described as cream cheese, floral, and blueberry.
[00:38.800 --> 00:41.000]  I will agree with the floral and blueberry.
[00:41.000 --> 00:43.440]  I'm not sure I got cream cheese in there.
[00:43.440 --> 00:45.520]  There is definitely a dankness going on.
[00:45.520 --> 00:49.600]  There is a smooth creaminess that I do enjoy, but this is a great concentrate.
[00:49.600 --> 00:51.040]  The flavor is great.
[00:51.040 --> 00:52.500]  The high is perfect.
[00:52.500 --> 00:56.340]  And something about the way that this batter hit my lungs, it really felt like I got a
[00:56.340 --> 00:59.660]  really fat hit off of a little tiny dab.
[00:59.660 --> 01:06.740]  On the back of the package, the label says the product contains 67.2% THC and non-detectable
[01:06.740 --> 01:08.660]  amounts of CBD.
[01:08.660 --> 01:13.540]  Big shout out to our friends at Green Dot Labs for the delicious Black and Blue Live
[01:13.540 --> 01:15.260]  Batter.
[01:15.260 --> 01:18.140]  In this episode, I'm going to answer a couple of listener emails.
[01:18.140 --> 01:22.140]  Before I get to that part, you know I like to do some shout outs to our friends from
[01:22.140 --> 01:23.140]  Patreon.
[01:23.140 --> 01:26.900]  Let's start off with the big giant Grow From Your Heart podcast shout out and a thank you
[01:26.900 --> 01:27.900]  to our friend Tommy.
[01:27.900 --> 01:31.620]  I want to send a big giant Grow From Your Heart podcast high five and a fist bump to
[01:31.620 --> 01:33.540]  my buddy Glenn Gironi.
[01:33.540 --> 01:35.740]  I always want to send a big thank you shout out to BAFSTA.
[01:35.740 --> 01:39.780]  How about a big giant Grow From Your Heart podcast shout out, a thank you, and a high
[01:39.780 --> 01:41.860]  five to our new friend Manson.
[01:41.860 --> 01:44.700]  How about a big thank you shout out to our buddy Freak Fish.
[01:44.700 --> 01:48.580]  I always want to send a big giant Grow From Your Heart podcast shout out and a fist bump
[01:48.580 --> 01:50.140]  to our buddy Cliff B.
[01:50.140 --> 01:52.940]  Of course, a giant thank you to Darren W.
[01:52.940 --> 01:56.260]  How about a big giant Grow From Your Heart podcast shout out and a thank you to my friend
[01:56.260 --> 01:57.500]  Callie Canopy.
[01:57.500 --> 02:01.180]  I always want to send a big Viking handshake to my friend Grimball the Druid.
[02:01.180 --> 02:05.980]  And last but certainly not least, I'd like to send a big Grow From Your Heart podcast
[02:05.980 --> 02:08.940]  thank you shout out to my friend Sour D.
[02:08.940 --> 02:13.520]  Big thank you for all of the continued support on the Patreon campaign.
[02:13.520 --> 02:16.680]  If you're not already supporting the show on Patreon and you would like to learn how
[02:16.680 --> 02:24.200]  to do so, all you have to do is visit www.patreon.com slash growfromyourheart.
[02:24.200 --> 02:29.440]  All of the information you need to support the show will be right there on the screen.
[02:29.440 --> 02:32.520]  I should also take a moment to give a giant shout out to my new friend Matt.
[02:32.520 --> 02:34.320]  I got to meet Matt today face to face.
[02:34.320 --> 02:38.040]  We got to high five and shake each other's hand, talk about cannabis for a few moments.
[02:38.040 --> 02:39.960]  I really enjoyed the conversation.
[02:39.960 --> 02:42.400]  So big shout out to my new buddy Matt.
[02:42.400 --> 02:46.280]  Alright at the start of the show I did say that I was going to read some listener emails,
[02:46.280 --> 02:50.820]  so let's get into the listener email portion of this episode.
[02:50.820 --> 02:54.180]  The first question in this episode actually came from my YouTube channel.
