[00:00.000 --> 00:01.000]  Alright, here we go.
[00:01.000 --> 00:04.880]  It's time for episode 488 of the Grow From Your Heart podcast.
[00:04.880 --> 00:08.140]  This episode of the show is brought to you by Seeds Here Now.
[00:08.140 --> 00:13.100]  If you need new regular, feminized, or autoflower seeds in your garden, I highly recommend Seeds
[00:13.100 --> 00:21.000]  Here Now, and you can find them at www.seedsherenow.com.
[00:21.000 --> 00:24.360]  You know I like to start the podcast off by talking about what I'm smoking.
[00:24.360 --> 00:29.900]  Today, I've been taking dabs of Infinity OG Live Batter from Green Dot Labs.
[00:29.900 --> 00:33.240]  This is a blend of Lumpa's Headmand and I-95.
[00:33.240 --> 00:37.580]  On the package, the flavor is described as gas, earth, and bitter skunk.
[00:37.580 --> 00:39.380]  I absolutely agree with that.
[00:39.380 --> 00:44.420]  This stuff smells ridiculous, it tastes amazing, and it is super potent.
[00:44.420 --> 00:50.900]  On the back of the package, the label says it contains 65.06% THC and non-detectable
[00:50.900 --> 00:52.580]  amounts of CBD.
[00:52.580 --> 00:57.220]  Big shout out to our friends at Green Dot Labs for this delicious and potent Infinity
[00:57.220 --> 00:58.220]  OG.
[00:58.740 --> 01:02.580]  Alright Podcast World, in this episode I'm going to cover a couple of breeding terms
[01:02.580 --> 01:05.040]  that I left out in the last episode.
[01:05.040 --> 01:09.340]  Before we get there, let's give a shout out to a few of our friends that support the show
[01:09.340 --> 01:11.500]  on Patreon.
[01:11.500 --> 01:14.700]  Let's start off with the big Grow From Your Heart podcast shout out and a thank you to
[01:14.700 --> 01:16.140]  Gro and Granny.
[01:16.140 --> 01:18.500]  Let's send a big thank you shout out to Karen Crawford.
[01:18.500 --> 01:21.940]  I'd like to send a big Grow From Your Heart podcast high five thank you shout out to my
[01:21.940 --> 01:23.620]  buddy Glenn Gironi.
[01:23.620 --> 01:27.260]  I need to send a giant thank you shout out to OkieGrow720.
[01:27.300 --> 01:31.540]  Of course I need to send a huge thank you shout out to Dude Dank UK.
[01:31.540 --> 01:35.980]  And last but certainly not least, I want to send a big giant Grow From Your Heart podcast
[01:35.980 --> 01:40.220]  shout out and a thank you to our friend Big Toe Grows.
[01:40.220 --> 01:44.560]  Big shout out and big thank you to everybody who supports the show on Patreon.
[01:44.560 --> 01:50.820]  If you would like to learn how to support the show, you can do so by visiting www.patreon.com
[01:50.820 --> 01:52.700]  slash growfromyourheart.
[01:52.700 --> 01:56.820]  All of the information you need will be right there on the screen.
[01:56.820 --> 02:00.980]  All right, I'm going to talk about some breeder talk in this episode, but before I get there,
[02:00.980 --> 02:03.380]  I've got a couple more things I should mention.
[02:03.380 --> 02:07.300]  One thing that is really important, my friend Clint just left and he wanted me to make sure
[02:07.300 --> 02:08.820]  to tell everybody hello.
[02:08.820 --> 02:11.940]  So big shout out from my friend Clint to all of you guys.
[02:11.940 --> 02:13.520]  Clint come back on the show sometime.
[02:13.520 --> 02:15.060]  Come hang out when you've got more time.
[02:15.060 --> 02:16.060]  Don't be a stranger.
[02:16.060 --> 02:17.340]  Anyway, Clint wanted me to say hello.
[02:17.340 --> 02:18.720]  I told him I would say hello.
[02:18.720 --> 02:19.720]  So there we go.
[02:19.720 --> 02:20.720]  Shout out from Clint.
[02:20.720 --> 02:21.720]  What's up, dude?
[02:21.720 --> 02:22.720]  I hope you hear this.
[02:22.720 --> 02:23.720]  What is next?
[02:23.720 --> 02:25.980]  Let's talk about my garden update.
[02:26.140 --> 02:30.520]  Occasionally, I like to update you folks on what is happening in my garden.
[02:30.520 --> 02:35.300]  If you have been following along, you know that I recently pollinated several females
[02:35.300 --> 02:39.180]  with a reversed blueberry cookies pollen donor.
[02:39.180 --> 02:43.340]  That was a blueberry cookies female plant that was treated with a solution that encouraged
[02:43.340 --> 02:47.500]  that plant to create pollen, which only contains female chromosomes.
[02:47.500 --> 02:52.500]  That pollen will be put on several selected females, and that will make several lines
[02:52.500 --> 02:55.340]  of feminized seeds.
[02:55.380 --> 02:59.780]  In that room of females being pollinated by the reversed blueberry cookies is, of course,
[02:59.780 --> 03:03.300]  another blueberry cookies female that will receive pollen.
[03:03.300 --> 03:04.660]  There's a platinum tangy.
[03:04.660 --> 03:06.380]  There's a strawberry fields.
[03:06.380 --> 03:07.960]  There's a lemon skunk.
[03:07.960 --> 03:10.620]  There's also a female of my favorite, arise.
[03:10.620 --> 03:13.400]  And also there is a Durban poison in that room.
[03:13.400 --> 03:17.900]  There also may be a couple of other females in there that have not been pollinated by
[03:17.900 --> 03:20.740]  this reversed blueberry cookies before.
[03:20.740 --> 03:22.860]  So when those seeds are done, I will test them.
[03:22.860 --> 03:25.180]  I'll get some out to my other tester friends.
[03:25.180 --> 03:28.060]  We'll see if they are up to par, if they meet my standards.
[03:28.060 --> 03:30.220]  And if so, we will add those to the lineup.
[03:30.220 --> 03:34.040]  The next time I reverse the blueberry cookies, I will make more of those, and we will release
[03:34.040 --> 03:36.540]  those with the rest of the lineup.
[03:36.540 --> 03:39.800]  But the females in the room have been successfully pollinated.
