[00:00.890 --> 00:30.980]  Welcome back, Podcast World.
[00:30.980 --> 00:35.520]  It's time for episode 501 of the Grow From Your Heart Podcast.
[00:35.520 --> 00:39.300]  This episode of the show is brought to you by our friends at Seeds Here Now.
[00:39.300 --> 00:43.880]  If you need new regular, feminized, or auto flower seeds in your garden, I highly recommend
[00:43.880 --> 00:52.480]  Seeds Here Now, and you can find them at www.seedsherenow.com.
[00:52.480 --> 00:55.840]  You know I like to start the show off by talking about what I'm smoking.
[00:55.840 --> 01:01.260]  Today, I've been taking dabs of iScream Live Batter from Green Dot Labs.
[01:01.260 --> 01:04.820]  This is a blend of I-95 and Screamin' OG.
[01:04.820 --> 01:10.300]  On the package, the flavor is described as gas, mothballs, and fabric softener.
[01:10.300 --> 01:12.100]  I absolutely get the gas.
[01:12.100 --> 01:13.540]  I get the mothballs.
[01:13.540 --> 01:19.160]  I'm not sure about the fabric softener, but I definitely get a punch to the face.
[01:19.160 --> 01:24.620]  This is amazing, tremendously delicious concentrate, and it wrecks me and makes me slow, and I
[01:24.620 --> 01:26.060]  really like it.
[01:26.060 --> 01:33.340]  On the back of the package, it does say that this product does contain 64.04% THC and non-detectable
[01:33.340 --> 01:35.300]  amounts of CBD.
[01:35.300 --> 01:42.540]  Big shout out to our friends at Green Dot Labs for the delicious iScream Live Batter.
[01:42.540 --> 01:46.940]  Ladies and gentlemen, boys and girls, pimps and hoes, friends and foes, smokers and growers,
[01:46.940 --> 01:51.480]  all you bad motherfuckers out there, in this episode, I'm going to read some emails from
[01:51.480 --> 01:52.480]  some listeners.
[01:52.480 --> 01:57.240]  Before we get there, let's do some shout outs to a few of our friends who support the
[01:57.240 --> 01:59.740]  show on Patreon.
[01:59.740 --> 02:02.960]  Let's start off with a big Grow From Your Heart podcast high five, shout out, and a
[02:02.960 --> 02:07.200]  thank you to our new friend, Michael W. Let's send a big Grow From Your Heart podcast thank
[02:07.200 --> 02:11.240]  you to Paul A. I want to send a giant thank you to our friend Bjorn.
[02:11.240 --> 02:14.560]  Always want to send a giant Grow From Your Heart podcast high five and a thank you to
[02:14.560 --> 02:18.980]  David O. I also want to send a giant Grow From Your Heart podcast fist bump and a high
[02:18.980 --> 02:21.520]  five to our friend NorCal Irie.
[02:21.560 --> 02:25.900]  We also owe a big high five and a shout out to Mark M. I always need to send a Grow From
[02:25.900 --> 02:29.220]  Your Heart podcast thank you shout out to our friend Riley.
[02:29.220 --> 02:32.280]  Let's not forget about Farmer John out there working on the farm.
[02:32.280 --> 02:35.840]  I also want to send a giant Grow From Your Heart podcast thank you shout out to Mason
[02:35.840 --> 02:37.500]  662.
[02:37.500 --> 02:42.560]  We always need to send a big thank you to Daniel R. And last, but certainly not least,
[02:42.560 --> 02:48.640]  let's send a big Grow From Your Heart podcast thank you shout out to my friend Glenn Gironi.
[02:48.640 --> 02:53.580]  Big thanks and big shout out to everybody who has continued to support the show on Patreon.
[02:53.580 --> 02:58.360]  Alright, I did say we were going to read a couple of listener emails in this episode.
[02:58.360 --> 03:03.520]  Before we get there, let's do a quick update of what's going on in my breeding garden.
[03:03.520 --> 03:08.620]  If you've been following along, you know I am replenishing the TMNT line.
[03:08.620 --> 03:12.700]  I've been saying that those should finish at the end of January to be available at the
[03:12.700 --> 03:14.980]  beginning or middle of February.
[03:14.980 --> 03:19.000]  And as of now, it looks like those seeds are right on schedule.
[03:19.000 --> 03:25.380]  So by the middle of February, we should have more of the TMNT line available in its brand
[03:25.380 --> 03:26.380]  new packaging.
[03:26.380 --> 03:27.380]  What?
[03:27.380 --> 03:31.460]  That's right, I got brand new custom packaging for each strain.
[03:31.460 --> 03:32.460]  You will love it.
[03:32.460 --> 03:33.460]  Stay tuned.
[03:33.460 --> 03:34.460]  You'll see that in February.
[03:34.460 --> 03:36.520]  Alright, that's a garden update.
[03:36.520 --> 03:41.820]  Now let's jump into some of the questions and emails that came from my listeners.
[03:41.820 --> 03:44.620]  Let's start off with the question I get asked a lot.
[03:44.620 --> 03:48.820]  And as an event is approaching, I get this question more and more.
[03:48.820 --> 03:53.540]  There are a lot of people coming from out of state for the Indo Expo.
[03:53.540 --> 03:57.300]  By the time you hear this episode, the Indo Expo will have just happened in Denver.
[03:57.300 --> 04:02.240]  It is a very large cannabis and cultivation based trade show.
[04:02.240 --> 04:06.080]  People come from all over the world, all over the country for this event.
[04:06.080 --> 04:11.000]  A large portion of the people that come for that event and events like it want to find
[04:11.180 --> 04:15.980]  and consume legal cannabis while they are here visiting Colorado.
[04:15.980 --> 04:20.940]  Many of those people reach out to me asking for dispensary recommendations and recommendations
[04:20.940 --> 04:25.780]  on places to go and things to do while they are in Denver or while they're in Colorado.
[04:25.780 --> 04:32.180]  And a lot of those people also ask where they can find Irie Genetics flowers on the shelf
[04:32.180 --> 04:33.700]  at a dispensary.
[04:33.700 --> 04:38.820]  I do have a few dispensary recommendations based on personal experience.
[04:38.840 --> 04:43.120]  Nobody pays me or promotes the show, so I don't have any preferential treatment to a
[04:43.120 --> 04:45.280]  dispensary because of any financial gain.
[04:45.280 --> 04:49.100]  It is all because of my personal experience and the quality of the product I have found
[04:49.100 --> 04:50.460]  at places.
[04:50.460 --> 04:55.660]  But unfortunately, most of the time, I do not know where they have got any of my strains
[04:55.660 --> 04:57.000]  on the shelf.
[04:57.000 --> 05:03.160]  Colorado is loaded with legal, commercial, medical, and recreational grows up and down
[05:03.160 --> 05:04.400]  the state.
[05:04.400 --> 05:09.020]  Many of those grows are wholesale grows, which means they grow a large amount of product
[05:09.020 --> 05:13.180]  and then they wholesale several pounds to this dispensary and several pounds to that
[05:13.180 --> 05:15.540]  dispensary and some to that dispensary.
[05:15.540 --> 05:17.660]  So who knows where that flower goes?
[05:17.660 --> 05:22.860]  Also, some of the dispensaries have a vertical integration system, which means they grow
[05:22.860 --> 05:24.420]  most of their flower.
[05:24.420 --> 05:28.540]  It's grown in a grow facility, which they own, and then it is passed right through their
[05:28.540 --> 05:29.620]  store.
[05:29.620 --> 05:35.120]  There is really no way for me to know who has got clones of my genetics.
[05:35.120 --> 05:38.520]  There's no way for me to keep track of that here in the Colorado system.
[05:38.520 --> 05:42.560]  I can't punch in something and say, who's got lemon Jeffrey in the system and see who's
[05:42.560 --> 05:43.560]  got the plants.
[05:43.560 --> 05:47.120]  I probably could if I tried to do some digging in the system, but that's not something that
[05:47.120 --> 05:48.120]  I would normally do.
[05:48.120 --> 05:52.560]  I don't know if I've even got access to other facilities like that to see if they've got
[05:52.560 --> 05:55.840]  a lemon Jeffrey plant or something like that in their system.
[05:55.840 --> 05:58.880]  So there's no way for me to really know who has got the clones.
[05:58.880 --> 06:01.100]  There's no way for me to know who is growing it.
[06:01.100 --> 06:03.540]  Then there's no way for me to know who has flowered it.
[06:03.540 --> 06:06.860]  And once it's flowered, there's no way for me to know where it has gone.
