[00:00.000 --> 00:02.180]  Welcome back, podcast world.
[00:02.180 --> 00:06.280]  It's time for episode 507 of the Grow From Your Heart podcast.
[00:06.280 --> 00:10.320]  This episode of the show is brought to you by seedsherenow.com.
[00:10.320 --> 00:15.880]  Seedsherenow.com carries all of the industry's favorite breeders, including Miss Jill Genetics,
[00:15.880 --> 00:21.640]  Duke Diamond, Irie Genetics, DJ Short Seeds, and if you're looking for autoflower seeds,
[00:21.640 --> 00:24.860]  they even carry Mephisto Genetics.
[00:24.860 --> 00:29.480]  Everything at seedsherenow.com is backed by their award-winning satisfaction guarantee.
[00:29.480 --> 00:35.500]  And for my friends on a tight budget, seedsherenow.com offers several packs for under $30, as well
[00:35.500 --> 00:38.140]  as amazing monthly sales.
[00:38.140 --> 00:42.060]  Use coupon code GFYH10 at checkout to save even more.
[00:42.060 --> 00:47.500]  Once again, that's coupon code GFYH10 at checkout, all one word, to save a few bucks when you
[00:47.500 --> 00:51.660]  are shopping at seedsherenow.com.
[00:51.660 --> 00:56.060]  It has become a tradition that I start this podcast off by talking about what I'm dabbing.
[00:56.060 --> 01:01.000]  I just took a dab of Copper Chem Full Spectrum Extract that made me go sit down on the couch
[01:01.000 --> 01:05.680]  for 5 or 10 minutes and try to get my life together before I could do a podcast.
[01:05.680 --> 01:10.700]  The Copper Chem Full Spectrum Extract is a blend of Chem 4 and Stardog, two of my favorite
[01:10.700 --> 01:12.220]  strains individually.
[01:12.220 --> 01:15.140]  They were bred together to make a beautiful strain.
[01:15.140 --> 01:16.520]  This stuff tastes delicious.
[01:16.520 --> 01:20.600]  On the package, the flavor is described as guava juice and watermelon.
[01:20.600 --> 01:22.280]  I think I will agree with that.
[01:22.280 --> 01:24.800]  Plus, a little bit of foot-fuel-y funk.
[01:24.800 --> 01:27.680]  There is something funky in there that I really enjoy.
[01:27.680 --> 01:32.820]  Big shout out to my friends at Green Dot Labs for the delicious Copper Chem Full Spectrum
[01:32.820 --> 01:33.820]  Extract.
[01:33.820 --> 01:35.720]  All right, podcast world.
[01:35.720 --> 01:38.780]  This is going to be a listener email episode.
[01:38.780 --> 01:44.240]  Before I get to the email, let's do a few shout outs to our friends on Patreon.
[01:44.240 --> 01:47.600]  Let's start off with a big Grow From Your Heart podcast shout out thank you to my friend
[01:47.600 --> 01:48.600]  OkiGrow720.
[01:48.600 --> 01:52.780]  I'd like to send a big thank you shout out to my friend Big Toe Grows.
[01:52.780 --> 01:56.260]  I always want to send a big thank you high five to my buddy Tommy.
[01:56.260 --> 01:59.380]  Always want to send a big Giant Grow From Your Heart podcast thank you shout out to
[01:59.380 --> 02:00.380]  Fat Rabbit.
[02:00.380 --> 02:04.300]  Of course, let's send a big thank you shout out to Dan The Indoor Man.
[02:04.300 --> 02:07.360]  Let's make sure to send a big thank you high five to HD Chop.
[02:07.360 --> 02:09.880]  I always want to send a big thank you to Sephirot.
[02:09.880 --> 02:11.760]  Big thank you shout out to Bong Breath.
[02:11.760 --> 02:14.020]  I always want to send a high five and a hug to BAFSTA.
[02:14.020 --> 02:17.180]  We need to send a big thank you shout out to Steve Smith.
[02:17.180 --> 02:22.100]  And last but certainly not least, let's send a big Grow From Your Heart podcast thank you
[02:22.100 --> 02:26.580]  shout out high five and a fist bump to my friend Willie's Armpit.
[02:26.580 --> 02:31.340]  Big thank you, big shout out, big respect to everybody who supports the show and has
[02:31.340 --> 02:34.300]  continued to support the show on Patreon.
[02:34.300 --> 02:40.980]  If you would like to learn how to support the show, you can do so by visiting www.patreon.com
[02:40.980 --> 02:43.600]  forward slash grow from your heart.
[02:43.600 --> 02:47.500]  All of the information you need to support the show will be right there on the screen.
[02:47.500 --> 02:49.340]  Patreon does not make it easy.
[02:49.340 --> 02:52.860]  You cannot go to Patreon and search for the Grow From Your Heart podcast.
[02:52.860 --> 02:54.220]  I will not pop up.
[02:54.220 --> 02:56.620]  You've actually got to use the complete URL.
[02:56.620 --> 02:57.940]  I made it easy for you.
[02:57.940 --> 03:00.180]  I included the link in the show notes.
[03:00.180 --> 03:05.500]  All right, you guys, I think it is time to move into the email portion of this podcast.
[03:05.500 --> 03:09.660]  If you would like to send me a cannabis culture or a cannabis cultivation question, I would
[03:09.660 --> 03:12.180]  be delighted to help you out with your questions.
[03:12.180 --> 03:17.300]  My email address is growfromyourheartathotmail.com.
[03:17.300 --> 03:19.300]  And I do look forward to hearing from you.
[03:19.300 --> 03:22.780]  The email I've got in my hand goes just like this.
[03:22.780 --> 03:25.700]  It starts off with feel free to use my name.
[03:25.700 --> 03:27.580]  This one comes from my new friend, David.
[03:27.580 --> 03:28.580]  What's up, David?
[03:28.580 --> 03:29.780]  Thank you for the wonderful email.
[03:29.780 --> 03:31.740]  The message goes like this.
[03:31.740 --> 03:37.220]  I have recently received a six by six tent with two 600 watt closed hood lights with
[03:37.220 --> 03:40.460]  dimmable metal halide HPS ballasts.
[03:40.460 --> 03:41.740]  So far, we're off to a good start.
[03:41.740 --> 03:44.500]  We got 1200 watts and a six by six.
[03:44.500 --> 03:46.520]  It's going to be a little bit more than enough.
[03:46.740 --> 03:48.040]  So I think this will work well.
[03:48.040 --> 03:53.640]  The tent is six by six and has two six inch fans to clip on the poles and two six inch
[03:53.640 --> 03:56.200]  inline fans and a carbon filter.
[03:56.200 --> 03:57.240]  That is a great setup.
[03:57.240 --> 03:59.320]  I know exactly what to do with this.
[03:59.320 --> 04:00.320]  I can get you going.
[04:00.320 --> 04:05.440]  It says, it has been a while since I've ran HPS as I flower with LEDs now, and I only
[04:05.440 --> 04:08.520]  veg under metal halides and HPS.
[04:08.520 --> 04:11.320]  I would like to use this new setup as a second flower room.
[04:11.320 --> 04:12.480]  All right, that makes sense.
[04:12.480 --> 04:14.120]  There's a few things we can skip here in this.
[04:14.120 --> 04:15.920]  We don't need to read all of this.
[04:15.920 --> 04:17.160]  Here's the part we need to focus on.
[04:17.160 --> 04:22.000]  It says, however, I was wondering mostly how to set everything up inside the tent as to
[04:22.000 --> 04:25.040]  not have it collapse under the weight of the equipment.
[04:25.040 --> 04:29.000]  And if the ballast should be outside of the tent for heat issues.
[04:29.000 --> 04:33.480]  Also best practices for venting the filter through hoods, then out of the room.
[04:33.480 --> 04:38.320]  If I should have the fan outside of the tent or inside, because again, weight issues are
[04:38.320 --> 04:39.320]  real.
[04:39.320 --> 04:42.480]  I do appreciate all of the love, good vibes and knowledge you spread.
[04:42.480 --> 04:43.480]  Then they signed it.
[04:43.480 --> 04:45.760]  Respect Rasta from David.
[04:45.760 --> 04:47.600]  Hey David, this is a great email.
[04:47.600 --> 04:50.520]  I started off my grow career in tents.
[04:50.520 --> 04:53.840]  Well, when I got serious about growing, I started buying tents.
[04:53.840 --> 04:56.960]  Before we all had those little rooms that you just kind of hung up a light and wished
[04:56.960 --> 04:57.960]  for the best.
[04:57.960 --> 05:02.520]  When I really thought I'm going to make this happen, one of my first investments was a
[05:02.520 --> 05:03.520]  tent.
[05:03.520 --> 05:08.560]  And then I got really good at growing in tents and I set up a bunch of tents for myself and
[05:08.560 --> 05:10.520]  friends all over this town.
[05:10.520 --> 05:14.520]  We were all growing in nice five by five and four by eight tents all over.
[05:14.520 --> 05:16.560]  I've got a lot of experience in this.
[05:16.560 --> 05:18.960]  Let's talk a little bit about setting up your tent.
[05:18.960 --> 05:22.720]  I like that you included the equipment list that makes it very easy for me.
[05:22.720 --> 05:24.960]  I know that I'm working with a six by six tent.
[05:24.960 --> 05:27.200]  I know that I've got two 600 watt lights.
[05:27.200 --> 05:29.040]  I know we've got two blowers.
[05:29.040 --> 05:30.400]  We've probably got some ducting.
[05:30.400 --> 05:33.560]  We've got a couple of fans, which are just small accessories to deal with.
[05:33.560 --> 05:35.440]  It sounds like we've got a nice setup.
[05:35.440 --> 05:41.240]  The main thing I would start thinking about is can the room in which you intend to set
[05:41.240 --> 05:48.480]  this tent up provide enough electricity to run two 600 watt lights and all of the accessories
[05:48.480 --> 05:49.480]  safely?
[05:49.480 --> 05:51.920]  I don't know what kind of ballast you're using.
[05:51.920 --> 05:53.080]  I don't know if they're magnetic.
[05:53.080 --> 05:54.360]  I don't know if they're digital.
[05:54.360 --> 05:56.080]  I don't know what else is in the room.
[05:56.080 --> 05:57.600]  I don't know if this is in a house.
[05:57.600 --> 05:59.400]  I don't know if this is in a warehouse.
[05:59.400 --> 06:02.800]  I don't know if this is in a really old house or a modern house.
[06:02.800 --> 06:06.920]  I would start by doing a safety inspection on my electricity.
[06:06.920 --> 06:11.560]  I would make sure that the plug-ins in the wall are up to today's modern standards.
[06:11.560 --> 06:15.600]  I would make sure that all of the wiring is up to today's modern standards.
[06:15.600 --> 06:19.840]  I would make sure that the breaker box and all of the breakers are up to code and up
[06:19.840 --> 06:22.680]  to today's modern standards.
[06:22.680 --> 06:28.640]  Many old houses will have old sockets, old plug-ins, old wiring, and old breakers.
[06:28.640 --> 06:33.160]  Those old houses will probably handle a 600 with no problem.
[06:33.160 --> 06:39.720]  Those old houses may not be able to run two 600-watt lights in one room from the same
[06:39.720 --> 06:40.720]  breaker.
[06:40.720 --> 06:44.600]  You may need to do some electrical modification or some electrical adjustments.
[06:44.600 --> 06:48.520]  If you do that, make sure it is done by somebody who is qualified.
[06:48.520 --> 06:52.320]  Please don't burn down your house in the name of growing ganja.
[06:52.320 --> 06:54.280]  Please don't do that to the movement.
[06:54.280 --> 06:57.720]  Please don't do that to the whole cannabis legalization scene.
[06:57.720 --> 07:01.880]  Now, I know sometimes I get excessive when it comes to talking about safety and things,
[07:01.880 --> 07:04.880]  but I really don't want you to burn down your house.
[07:04.880 --> 07:06.160]  I don't want you to burn down the house.
[07:06.160 --> 07:07.320]  I don't want you to hurt yourself.
[07:07.320 --> 07:09.140]  I don't want you to hurt anybody else.
[07:09.140 --> 07:11.520]  We have to be responsible cannabis growers.
[07:11.520 --> 07:13.160]  We have to be responsible people.
[07:13.160 --> 07:16.280]  I have to be a responsible educator and podcaster.
[07:16.280 --> 07:20.580]  So my first piece of advice is to make sure that the place in which you intend to plug
[07:20.580 --> 07:25.720]  in these two 600-watt ballasts can handle that much electricity safely.
[07:25.720 --> 07:29.600]  600 watts of light in that six-by-six tent will be sufficient.
[07:29.600 --> 07:32.000]  1200 would be really cool.
[07:32.000 --> 07:35.080]  600 will get you by and your plants will be happy.
[07:35.080 --> 07:40.480]  I would much rather see you run one 600-watt light and not burn down the house than try
[07:40.480 --> 07:44.160]  to push two 600s and possibly burn down an old house.
[07:44.160 --> 07:47.680]  All right, I will move forward and I'll quit talking about the safety part because you've
[07:47.680 --> 07:48.680]  heard it.
[07:48.680 --> 07:51.900]  You're going to either heed my advice or you're going to do your own thing and you've got
[07:51.900 --> 07:55.240]  freedom to do whatever you want because America and you're an adult.
[07:55.240 --> 07:56.640]  So let's move forward.
[07:56.640 --> 07:59.480]  You do raise a really good question with this email.
[07:59.520 --> 08:04.960]  When they sell us those tents and they recommend where to install everything, it is a real
[08:04.960 --> 08:10.120]  prayer hoping that everything stays where you put it without that flimsy aluminum tubing
[08:10.120 --> 08:11.920]  just collapsing on you.
[08:11.920 --> 08:15.680]  It's even more stressful once you've got plants that are growing in there.
[08:15.680 --> 08:16.840]  Every day it just gets more stressful.
[08:16.840 --> 08:21.560]  You're like, oh, if this thing falls over now, I've crushed 10 weeks worth of work.
[08:21.560 --> 08:22.800]  So it does become stressful.
[08:22.800 --> 08:23.920]  I understand.
[08:23.920 --> 08:28.120]  I don't like to hang too many things from the tent.
[08:28.120 --> 08:31.520]  They give you those two or four poles that go across the ceiling that you're supposed
[08:31.520 --> 08:33.200]  to be able to mount your shit to.
[08:33.200 --> 08:35.620]  I don't trust that very much.
[08:35.620 --> 08:39.680]  So I do agree with you that it can be very stressful trying to mount everything in a
[08:39.680 --> 08:42.040]  tent sufficiently and efficiently.
[08:42.040 --> 08:43.880]  So let's talk about a few options.
[08:43.880 --> 08:46.020]  You've got two vented hoods.
[08:46.020 --> 08:51.920]  You have also got two six inch inline blowers, but you have only got one carbon filter.
[08:51.920 --> 08:56.540]  So I do have a very good setup idea for this tent.
[08:56.540 --> 09:01.320]  This will work if you choose to run one or two of those vented hoods.
[09:01.320 --> 09:05.760]  Now I have completely agreed with you that it is sketchy hanging a lot of items, a lot
[09:05.760 --> 09:08.100]  of equipment from the top of that grow tent.
[09:08.100 --> 09:12.620]  So in this setup, we are only going to hang the one or two grow lights, whichever you
[09:12.620 --> 09:13.620]  choose to do.
[09:13.620 --> 09:16.780]  And if you're listening out there and you're setting up a tent, this will work beautifully
[09:16.780 --> 09:19.340]  for you with one or two grow lights.
[09:19.340 --> 09:23.140]  I'm going to kind of focus the lesson on one light, and then I'll just briefly talk about
[09:23.140 --> 09:24.420]  where to add the second light.
[09:24.420 --> 09:27.420]  It's basically just a piece of ducting and you continue the chain.
[09:27.420 --> 09:31.820]  But this is exactly how I set up my tents in a small room.
[09:31.820 --> 09:35.980]  If I have got a couple of blowers and a carbon filter and ducted lights.
[09:35.980 --> 09:40.540]  If you've only got one blower, we will talk about a different option for that a little
[09:40.540 --> 09:41.840]  further in the lesson.
[09:41.840 --> 09:46.680]  This setup is going to focus on two six inch blowers, a vented light.
[09:46.680 --> 09:49.420]  And when I say a vented light, let me talk about that for a moment.
[09:49.420 --> 09:54.280]  I'm talking about a grow light that's got an input for a duct on one side and an output
[09:54.340 --> 09:55.760]  for a duct on the other.
[09:55.760 --> 09:58.960]  And then underneath where the bulb goes, there's a piece of glass in there.
[09:58.960 --> 10:03.440]  So your bulb is basically kept inside of a box, which is sealed with that piece of glass
[10:03.440 --> 10:06.300]  that allows the light to illuminate down.
[10:06.300 --> 10:10.980]  But then the heat is moved away from that light, away from the grow area by using the
[10:10.980 --> 10:15.240]  blowers, which we were talking about, the six inch inline fans that hooks up to ducting.
[10:15.240 --> 10:17.520]  You turn that blower on, it blows air through there.
[10:17.520 --> 10:21.380]  Then the heat from that light bulb gets removed from your grow environment.
[10:21.380 --> 10:23.880]  It is much easier to cool the room.
[10:23.880 --> 10:29.000]  The downside to that is you lose a small percentage of your light power because of
[10:29.000 --> 10:31.640]  that glass between the bulb and the canopy.
[10:31.640 --> 10:35.120]  And you've also got to make sure to keep that glass clean.
[10:35.120 --> 10:38.680]  But in some environments, this is an ideal setup in a tent.
[10:38.680 --> 10:40.160]  It will work beautifully.
[10:40.160 --> 10:41.800]  That's exactly what I do.
[10:41.800 --> 10:45.960]  But we've got the two blowers, we've got the two vented lights, we've got the carbon filter,
[10:45.960 --> 10:47.680]  we've got the two clip on fans.
[10:47.680 --> 10:52.040]  And I was agreeing that I don't want to hang too many items, too many heavy units from
[10:52.200 --> 10:54.440]  that top bar of the tent.
[10:54.440 --> 10:55.440]  It is sketchy.
[10:55.440 --> 11:00.400]  So in a perfect world, we would mount that carbon filter and blower at the very top dead
[11:00.400 --> 11:01.780]  center of the tent.
[11:01.780 --> 11:05.220]  But we don't have that option because I don't trust the tents.
[11:05.220 --> 11:09.480]  In a tent environment, I'm going to recommend that we set the carbon filter in one of the
[11:09.480 --> 11:14.560]  back corners off of the floor on either a cinder block or some sort of a crate or something
[11:14.560 --> 11:17.480]  like that, just to lift it up off the ground just a little bit.
[11:17.480 --> 11:21.000]  Now I know you're already thinking that's going to take up some of the real estate in
[11:21.000 --> 11:25.800]  your tent, but it is worth every inch of space that it takes up.
[11:25.800 --> 11:30.360]  We need to make sure the air leaving our grow environment does not get us in trouble.
[11:30.360 --> 11:31.900]  So I think it's worth it.
[11:31.900 --> 11:34.640]  And a carbon filter really doesn't take up that much space.
[11:34.640 --> 11:36.000]  Just push it into the corner.
[11:36.000 --> 11:37.400]  You've got it crammed into the corner.
[11:37.400 --> 11:38.580]  It's doing its job.
[11:38.580 --> 11:42.480]  It's sucking all the humidity, all the stale air right out of that tent, blowing it out
[11:42.480 --> 11:45.360]  of the room, and it's not snitching on you while it does it.
[11:45.360 --> 11:47.040]  So just put it in the corner.
[11:47.040 --> 11:49.640]  I like to set it on a cinder block or on a crate.
[11:49.640 --> 11:51.920]  I just like to get it up off the ground.
[11:51.920 --> 11:55.880]  If you can make some sort of a stand or something for it and get it higher and higher up off
[11:55.880 --> 11:59.000]  the ground, that is better, but I don't like to hang it.
[11:59.000 --> 12:03.920]  You're absolutely correct in the idea of not wanting to hang that heavy carbon filter and
[12:03.920 --> 12:05.800]  blower from the ceiling of that grow.
[12:05.800 --> 12:11.320]  So get a cinder block, maybe two cinder blocks, set them in the back left corner of the grow,
[12:11.320 --> 12:12.840]  maybe the back right corner of the grow.
[12:12.840 --> 12:15.360]  I'm not sure where the exit duct is on the top of your tent.
[12:15.360 --> 12:19.520]  I don't know which brand you bought, but put that carbon filter right in the very back
[12:19.520 --> 12:20.520]  corner.
[12:20.520 --> 12:24.000]  Then set the blower directly on top of the carbon filter.
[12:24.000 --> 12:25.900]  Now you're off to a really good start.
[12:25.900 --> 12:29.280]  Now we are almost done with setting up the carbon filter and that blower.
[12:29.280 --> 12:33.600]  The next step is to run ducting from the blower out of the tent.
[12:33.600 --> 12:35.720]  Just go through that exit hole at the very top.
[12:35.720 --> 12:38.400]  Most of them have a six inch hole right at the ceiling.
[12:38.400 --> 12:40.220]  Go right out of that hole.
[12:40.220 --> 12:44.660]  Then continue that ducting and run it wherever you need to, to efficiently get that air away
[12:44.660 --> 12:46.240]  from your grow tent.
[12:46.240 --> 12:49.640]  Keep in mind that heat rises, so keep that duct up high.
[12:49.640 --> 12:52.880]  You'll be dispersing the hot air up high wherever it goes.
[12:52.880 --> 12:54.720]  You may be able to keep it in the same room.
[12:54.720 --> 12:59.440]  You'll keep that hot air up high and the tent will bring in the fresh air through the passive
[12:59.440 --> 13:02.880]  vents at the bottom and you'll get that fresh cool air on the bottom.
[13:02.880 --> 13:08.120]  If I set up a tent in my spare bedroom in my house, my normal air in my house will keep
[13:08.120 --> 13:10.760]  that tent cool if I vent it properly.
[13:10.760 --> 13:15.000]  If I point the end of that ducting right out of that room and it's blowing that heat into
[13:15.000 --> 13:18.880]  the rest of the house to where it could just be dispersed into the house and circulate
[13:18.880 --> 13:23.520]  and cycle and become part of the regular atmosphere of the house, the central air will cool that
[13:23.520 --> 13:28.240]  air and the central air also blows fresh air into that bedroom where I've got that grow
[13:28.240 --> 13:29.240]  tent.
[13:29.240 --> 13:33.200]  With a little bit of thinking and proper circulation, I can keep the house and the grow room very
[13:33.200 --> 13:38.820]  comfortable without any extra strain on my HVAC system or without any weird adjustments
[13:38.820 --> 13:41.320]  to my daily life in my house.
