[00:00.000 --> 00:01.440]  What's up, ganja world?
[00:01.440 --> 00:05.840]  I'm your host, Rasta Jeff, and it is time for episode 512 of the Grow From Your Heart
[00:05.840 --> 00:07.320]  podcast.
[00:07.320 --> 00:11.240]  This episode of the show is brought to you by seedsherenow.com.
[00:11.240 --> 00:16.000]  Seedsherenow.com carries all of the industry's favorite breeders, all backed by their award-winning
[00:16.000 --> 00:18.100]  satisfaction guarantee.
[00:18.100 --> 00:23.760]  For my friends on a tight budget, seedsherenow.com offers several packs for under $30, as well
[00:23.760 --> 00:26.780]  as amazing monthly sales.
[00:26.780 --> 00:30.700]  Make sure to use coupon code GFYH10 at checkout to save a few more bucks.
[00:30.700 --> 00:36.300]  Again, that is coupon code GFYH and the number 10 at checkout to save a few more bucks at
[00:36.300 --> 00:40.220]  seedsherenow.com.
[00:40.220 --> 00:43.660]  You know I like to start this podcast off by talking about what I'm smoking.
[00:43.660 --> 00:48.580]  Today, I've been taking dabs of Stardog batter from Apothecary Farms.
[00:48.580 --> 00:51.220]  I'm going to open up the package and give it a smell.
[00:51.220 --> 00:52.620]  I really love Stardog.
[00:52.620 --> 00:54.860]  It has always been one of my favorite strains.
[00:54.940 --> 00:58.220]  I think it smells this product and the Stardog smell gassy.
[00:58.220 --> 00:59.400]  There's some funk to it.
[00:59.400 --> 01:02.180]  I love that earthy, fuely, gassy aroma.
[01:02.180 --> 01:04.500]  I really love the buzz from Stardog.
[01:04.500 --> 01:08.600]  I really like the flavor, the texture, and the aroma of this concentrate.
[01:08.600 --> 01:17.180]  On the package, the label says the product contains 63.2% THC, zero CBD, and 74% total
[01:17.180 --> 01:18.300]  cannabinoids.
[01:18.300 --> 01:22.700]  I grabbed this one because I love that funky stink that's coming off of it.
[01:22.700 --> 01:24.980]  I always love that Stardog buzz.
[01:24.980 --> 01:27.700]  Big shout out to our friends at Apothecary Farms.
[01:27.700 --> 01:31.740]  When I take a break in the middle of the podcast, I do plan on taking a big fat dab of this
[01:31.740 --> 01:35.580]  Orange Skittles batter, once again from Apothecary.
[01:35.580 --> 01:39.220]  This one smells like funky orange Skittles.
[01:39.220 --> 01:41.580]  I can't wait to take a dab of this one.
[01:41.580 --> 01:43.900]  That's what we're dabbing on today's episode.
[01:43.900 --> 01:48.300]  Now let's move into the Patreon shout out portion of the episode.
[01:48.300 --> 01:52.260]  You guys know I like to give thanks to all of the people who support the show on Patreon.
[01:52.820 --> 01:55.540]  Let's start off with a big Grow From Your Heart podcast hug and a thank you to my good
[01:55.540 --> 01:56.820]  friend Miss Mel.
[01:56.820 --> 02:00.580]  Let's give a huge giant Grow From Your Heart podcast thank you to Tyler R.
[02:00.580 --> 02:03.020]  Let's send a big fat dab to Callie Canopy.
[02:03.020 --> 02:05.580]  I want to send a big fist bump to my buddy Paul.
[02:05.580 --> 02:08.680]  Let's roll a big fat joint for my friend Hogan's Farm.
[02:08.680 --> 02:12.340]  Let's also pack up the bong for my good buddy Reefer Madness.
[02:12.340 --> 02:16.580]  I want to send a big Grow From Your Heart podcast thank you shout out and a dab to my
[02:16.580 --> 02:18.700]  buddy Melvin818.
[02:18.700 --> 02:22.580]  Let's also send a giant thank you shout out and how about a big fat rolled up joint to
[02:22.580 --> 02:27.180]  my buddy Darren W. Let's also pass that joint over to my buddy Eric Ross.
[02:27.180 --> 02:31.380]  And I also want to send a giant Grow From Your Heart podcast shout out thank you and
[02:31.380 --> 02:34.500]  a big fat dab to my friend Sour D.
[02:34.500 --> 02:39.700]  Once again, big thank you, big shout out to everybody who supports the show on Patreon.
[02:39.700 --> 02:46.140]  If you would like to learn how to support the show, all you have to do is visit www.patreon.com
[02:46.140 --> 02:48.500]  forward slash grow from your heart.
[02:48.500 --> 02:51.980]  All of the information you need to support the show will be right there on the screen.
[02:51.980 --> 02:56.780]  Again, I put a link in the show notes to make it easy for all of my friends.
[02:56.780 --> 02:59.180]  Big thanks for all of the love and support.
[02:59.180 --> 03:02.660]  All right, let's talk about some stuff that I have got going on.
[03:02.660 --> 03:05.740]  I had an amazing birthday weekend.
[03:05.740 --> 03:10.620]  My birthday was technically on Sunday, but I think we began celebrating around Wednesday
