[00:00.000 --> 00:01.000]  Here we go.
[00:01.000 --> 00:02.000]  What's up, podcast world?
[00:02.000 --> 00:07.080]  It is time for episode 516 of the Grow From Your Heart podcast.
[00:07.080 --> 00:11.040]  This episode of the show is brought to you by seedsherenow.com.
[00:11.040 --> 00:15.680]  Seedsherenow.com carries all of the industry's favorite breeders, all backed by their award-winning
[00:15.680 --> 00:17.840]  satisfaction guarantee.
[00:17.840 --> 00:23.400]  For my friends on a budget, seedsherenow.com offers several packs for under 30 bucks, as
[00:23.400 --> 00:26.520]  well as amazing monthly sales.
[00:26.520 --> 00:30.160]  Use coupon code GFYH10 while checking out to save a few bucks.
[00:30.160 --> 00:38.560]  Again, that's coupon code GFYH10 at checkout to save a few bucks at seedsherenow.com.
[00:38.560 --> 00:42.040]  You know I like to start the podcast off by talking about what I'm smoking.
[00:42.040 --> 00:50.080]  Today, I picked up a jar of sour diesel HCFSE, that is high cannabinoid full spectrum extract
[00:50.080 --> 00:51.760]  from Apothecary Farms.
[00:51.760 --> 00:56.000]  When you crack the jar open, it looks like little diamonds or little rocks in the jar.
[00:56.480 --> 01:01.400]  It's just straight chunky crystals of sour diesel high cannabinoid full spectrum extract.
[01:01.400 --> 01:07.960]  On the label, it says this product contains a total of 89.7% total cannabinoids.
[01:07.960 --> 01:10.840]  I really love the buzz from the sour diesel.
[01:10.840 --> 01:12.040]  It goes straight to my face.
[01:12.040 --> 01:13.400]  It goes straight to my head.
[01:13.400 --> 01:14.840]  It makes me feel warm.
[01:14.840 --> 01:18.000]  It makes me feel a little bit anxious, but I kind of like that.
[01:18.000 --> 01:20.600]  That is the buzz I am shopping for.
[01:20.800 --> 01:27.880]  I also picked up a nice jar of Lemon OG High Terpene full spectrum extract.
[01:27.880 --> 01:30.360]  This is mainly just terp sauce.
[01:30.360 --> 01:32.400]  It's like a little jar of just terp water.
[01:32.400 --> 01:33.400]  It's kind of thick.
[01:33.400 --> 01:34.400]  It's a little viscous.
[01:34.400 --> 01:38.240]  It's a little thinner than maple syrup, but about that texture.
[01:38.240 --> 01:41.040]  It is much more clear than maple syrup.
[01:41.040 --> 01:43.680]  It's got a nice clear yellow color to it.
[01:43.680 --> 01:49.320]  The best part is this amazing Lemon OG Kush aroma coming out of this jar.
[01:49.320 --> 01:55.680]  I took a little portion of the HTFSE, the High Terpene Full Spectrum Extract liquid
[01:55.680 --> 02:01.680]  terps, and I gently poured that right into my jar of sour diesel high cannabinoid full
[02:01.680 --> 02:03.200]  spectrum extract.
[02:03.200 --> 02:07.480]  I made a nice little Lemon OG sour diesel slurry.
[02:07.480 --> 02:11.760]  When I dabbed that, I honestly had to take a moment and get my life together because
[02:11.760 --> 02:15.240]  I was high as shit, you guys.
[02:15.240 --> 02:16.600]  I had to put my head in my hands.
[02:16.600 --> 02:18.000]  I had to catch my breath.
[02:18.000 --> 02:21.760]  I went and took a few minutes on the couch to myself just so I could make sure to get
[02:21.760 --> 02:25.880]  my brains back together before I came and did this podcast.
[02:25.880 --> 02:30.960]  The short version of what I'm smoking today is sour diesel high cannabinoid full spectrum
[02:30.960 --> 02:36.880]  extract coated in Lemon OG High Terpene Full Spectrum Extract.
[02:36.880 --> 02:40.080]  It has got me in the perfect mood to do a podcast.
[02:40.080 --> 02:44.080]  I do have a great podcast topic lined up for us.
[02:44.080 --> 02:48.880]  Before we get there, let's do some shoutouts to a few of the kind folks who support the
[02:48.880 --> 02:50.880]  show on Patreon.
[02:50.880 --> 02:55.480]  Let's start off these shoutouts by rolling up a big fat joint for my buddy Ned Denver.
[02:55.480 --> 02:58.360]  Let's send a big shoutout to our buddy Stoned Troutbum.
[02:58.360 --> 03:01.600]  I always want to send a big fat dab to my buddy Ryan M.
[03:01.600 --> 03:04.800]  Let's pack up a big fresh bowl for my buddy Ces Burton.
[03:04.800 --> 03:08.800]  I have always got a big high five and a grow from your heart fist bump for my buddy Josiah
[03:08.800 --> 03:10.040]  W.
[03:10.040 --> 03:13.040]  Let's pack up a fresh bong load for my buddy Brett G.
[03:13.040 --> 03:17.400]  I've always got a big high five and a fat dab for my buddy Jacob W.
[03:17.400 --> 03:21.560]  Let's pack up a big fresh bong load for the hardest working man in cannabis.
[03:21.560 --> 03:24.480]  Let's send a fresh bong load over to my buddy James Brown.
[03:24.480 --> 03:27.480]  I've always got a big fat dab for my buddy Keith K.
[03:27.480 --> 03:33.080]  And last but certainly not least, let's load up a big fat dab for my buddy Cosmo.
[03:33.080 --> 03:38.760]  Big shoutout, big thank you to everybody who has continued to support the show on Patreon.
[03:38.760 --> 03:45.000]  If you would like to learn how to support the show, you can do so by visiting www.patreon.com
[03:45.000 --> 03:47.640]  forward slash grow from your heart.
[03:47.640 --> 03:50.240]  All of the info you need should be right there on the screen.
[03:50.240 --> 03:55.320]  And I also included a link in the show notes and in the video description to make it easy
[03:55.320 --> 03:58.240]  for my friends to find the Patreon campaign.
[03:58.240 --> 04:01.320]  All right, we're moving in on four minutes into this episode.
[04:01.320 --> 04:05.680]  I feel like I am finally done with the intro and the business part of the show.
[04:05.680 --> 04:10.280]  Let's work my way into the main topic of today's podcast episode.
[04:10.280 --> 04:13.560]  I am going to focus today's episode on the coronavirus.
[04:13.560 --> 04:16.240]  We are going to talk about the COVID-19 virus.
[04:16.240 --> 04:20.360]  I am mainly going to focus on how this virus is affecting us here in the United States,
[04:20.360 --> 04:22.480]  more specifically here in Colorado.
[04:22.480 --> 04:27.340]  But then I want to talk about more how this virus is affecting the cannabis industry.
[04:27.340 --> 04:30.000]  Also how it may affect other industries.
[04:30.000 --> 04:36.040]  Then I want to talk briefly about being prepared for a lockdown or a quarantine for our grow
[04:36.040 --> 04:37.040]  rooms.
[04:37.040 --> 04:40.840]  You may have all of the supplies you need for yourself and your family and your pets,
[04:40.840 --> 04:45.440]  but have you considered what you may need if we are quarantined or locked down and we
[04:45.440 --> 04:47.720]  need supplies for our grow room?
[04:47.720 --> 04:49.600]  The plants will continue to grow.
[04:49.600 --> 04:53.080]  They're going to need regular love and care just like we give them today, just like we
[04:53.080 --> 04:57.720]  are giving them before any sort of weird outbreak, any sort of weird social situations.
[04:57.720 --> 05:00.320]  Those plants require a lot of attention.
[05:00.320 --> 05:03.460]  Many people rely on their plants for medicine.
[05:03.460 --> 05:06.320]  Many people rely on their plants for income.
