[00:00.000 --> 00:02.040]  What's up, cannabis community?
[00:02.040 --> 00:07.000]  I'm your host, Rasta Jeff, and it is time for episode 517 of the Grow From Your Heart
[00:07.000 --> 00:08.520]  podcast.
[00:08.520 --> 00:13.320]  This episode of the show is brought to you by our friends at seedsherenow.com.
[00:13.320 --> 00:17.960]  Seedsherenow.com carries all of the industry's favorite breeders, including Duke Diamond,
[00:17.960 --> 00:21.440]  Miss Jill Genetics, and of course, Irie Genetics.
[00:21.440 --> 00:26.280]  Everything at seedsherenow.com is backed by their award-winning satisfaction guarantee.
[00:26.280 --> 00:32.100]  And for my friends on a tight budget, seedsherenow.com offers several packs for under $30, as well
[00:32.100 --> 00:35.040]  as amazing monthly sales.
[00:35.040 --> 00:39.040]  Use coupon code GFYH10 at checkout to save a few bucks.
[00:39.040 --> 00:48.320]  Once again, that is coupon code GFYH10 at checkout to save a few bucks at seedsherenow.com.
[00:48.320 --> 00:52.140]  You know I like to start the podcast off by talking about what I'm dabbing.
[00:52.140 --> 00:57.100]  This evening, I've been taking dabs of Cowboy Kush Full Spectrum Extract from our friends
[00:57.100 --> 00:58.860]  at Green Dot Labs.
[00:58.860 --> 01:02.140]  This is a blend of HAOG and Stardog.
[01:02.140 --> 01:06.180]  On the package, the flavor is described as earthy, fuel, and leather.
[01:06.180 --> 01:07.980]  I'm going to agree with the earthy.
[01:07.980 --> 01:09.580]  The fuel is certainly there.
[01:09.580 --> 01:11.100]  There may be some leather.
[01:11.100 --> 01:15.980]  One thing I am noticing, if I smell this jar and I pull it away from my face quickly, I
[01:15.980 --> 01:19.580]  do get a hint of strawberries or watermelons.
[01:19.580 --> 01:22.780]  I believe that is coming from the Stardog.
[01:22.780 --> 01:27.100]  If you let the Stardog flower for just a little bit too long, it will produce a little bit
[01:27.100 --> 01:28.580]  of a berry flavor.
[01:28.580 --> 01:33.800]  I really think that this product represents that strawberry-watermelon sort of flavor
[01:33.800 --> 01:35.020]  and aroma.
[01:35.020 --> 01:36.340]  I really enjoy it.
