[00:00.000 --> 00:01.800]  Welcome back, Podcast World.
[00:01.800 --> 00:06.160]  It is time for episode 520 of the Grow From Your Heart Podcast.
[00:06.160 --> 00:10.600]  This episode of the show is brought to you by our friends at seedsherenow.com.
[00:10.600 --> 00:14.680]  Seedsherenow.com carries seeds from all of the industry's favorite breeders, including
[00:14.680 --> 00:19.260]  Miss Jill Genetics, Duke Diamond, and of course, iRegenetics.
[00:19.260 --> 00:23.780]  Everything at seedsherenow.com is backed by their award-winning satisfaction guarantee.
[00:23.780 --> 00:29.380]  And for my friends on a budget, seedsherenow.com offers several packs for under $30, as well
[00:29.380 --> 00:32.200]  as amazing monthly sales.
[00:32.200 --> 00:36.480]  Make sure to use coupon code GFYH10 at checkout to save a few bucks.
[00:36.480 --> 00:45.160]  Again, that is coupon code GFYH10 at checkout to save a few bucks at seedsherenow.com.
[00:45.160 --> 00:48.920]  You know I like to start the podcast off by talking about what I'm smoking.
[00:48.920 --> 00:54.400]  Today, I've been taking dabs of Malibu Purikush Ambrosia from Apothecary Farms.
[00:54.400 --> 01:02.400]  On the package, it says the product contains 72.9% THC and 84.7% total cannabinoids.
[01:02.400 --> 01:05.360]  We talked about the Malibu Purikush on the last episode.
[01:05.360 --> 01:10.680]  I really love the flavor, the aroma, and of course, I love the buzz from the kush.
[01:10.680 --> 01:16.900]  So big shout out to my friends at Apothecary Farms for the delicious Malibu Purikush Ambrosia.
[01:16.900 --> 01:21.280]  In this episode, I'm going to do a strain feature on my strain Double Dragon.
[01:21.280 --> 01:24.800]  Before we get there, let's do some shout outs to a few of the folks who support the
[01:24.800 --> 01:26.960]  show on Patreon.
[01:26.960 --> 01:31.440]  Let's start off by rolling up a big fat joint, lighten it up, and pass it over to Ms. Mel.
[01:31.440 --> 01:35.520]  I also want to roll a big fat joint, light that fucker up, and pass it over to my friend
[01:35.520 --> 01:37.240]  the Corporate Rebel.
[01:37.240 --> 01:40.920]  Then I want to pack a big fresh bong load and pass that fucker over to my buddy Bong
[01:40.920 --> 01:42.120]  Breath.
[01:42.120 --> 01:46.040]  Then let's roll a big fat blunt and put a snake of shatter down the middle of it, light
[01:46.040 --> 01:49.320]  that up, and pass it over to my buddy Bafsta.
[01:49.360 --> 01:53.600]  After that, let's get too big of a dab and heat up a dab nail and pass that fucker over
[01:53.600 --> 01:57.040]  to my buddy Stabby McStabwood and watch him cough for a couple of minutes.
[01:57.040 --> 01:58.760]  Big shout out to Stabby.
[01:58.760 --> 02:03.920]  Then let's smoke some really good high quality rosin with my buddy Ned Denver.
[02:03.920 --> 02:07.840]  Then let's roll up a big fat joint and maybe sprinkle some keef down the middle of it and
[02:07.840 --> 02:11.000]  light that up and pass it over to my buddy Redbeard.
