[00:00.000 --> 00:02.120]  Greetings from podcastville.
[00:02.120 --> 00:03.920]  This episode of the Grow From Your Heart podcast
[00:03.920 --> 00:06.980]  is brought to you by our friends at seedsherenow.com.
[00:06.980 --> 00:07.820]  Check it out.
[00:07.820 --> 00:10.040]  You're stuck at home, you're on quarantine,
[00:10.040 --> 00:11.640]  they fucking looted the dispensary.
[00:11.640 --> 00:12.480]  You know what you gotta do?
[00:12.480 --> 00:14.120]  You gotta grow your own fucking herb.
[00:14.120 --> 00:15.960]  You gotta do it from seed.
[00:15.960 --> 00:16.840]  Where do you get your seeds?
[00:16.840 --> 00:19.160]  At seedsherenow.com.
[00:19.160 --> 00:21.000]  That's right, seedsherenow.com carries seeds
[00:21.000 --> 00:22.600]  from all of the industry's leading breeders,
[00:22.600 --> 00:24.320]  including Miss Jill, Duke Diamond,
[00:24.320 --> 00:26.420]  and of course, Irie Genetics.
[00:26.420 --> 00:27.880]  Everything at seedsherenow.com
[00:27.880 --> 00:30.500]  is backed by their 100% satisfaction guarantee.
[00:30.500 --> 00:32.020]  And for my friends on a tight budget,
[00:32.020 --> 00:35.500]  seedsherenow.com offers several packs for under $30
[00:35.500 --> 00:38.780]  as well as amazing monthly sales.
[00:38.780 --> 00:41.020]  Make sure to use coupon code GFYH10
[00:41.020 --> 00:43.060]  while checking out to save yourself 10%.
[00:43.060 --> 00:48.060]  Again, that is coupon code GFYH10 at seedsherenow.com.
[00:49.340 --> 00:50.380]  If you're joining us on video,
[00:50.380 --> 00:52.200]  I'm sure that you could see White Mike is here.
[00:52.200 --> 00:54.300]  Welcome to the show, bro.
[00:54.300 --> 00:55.140]  What's up, man?
[00:55.140 --> 00:55.960]  Thanks for having me.
[00:55.960 --> 00:56.880]  Howdy, thank you for being here.
[00:56.880 --> 00:59.960]  Thank you for putting up with my ridiculously fun intro.
[00:59.960 --> 01:01.000]  That was a good time.
[01:01.960 --> 01:05.560]  Ran myself out of breath trying to be so enthusiastic.
[01:05.560 --> 01:06.940]  Yeah.
[01:06.940 --> 01:08.780]  Just to buy myself some breath catching time,
[01:08.780 --> 01:10.940]  what are you smoking on over there, bro?
[01:10.940 --> 01:12.840]  Just, I changed it up lately.
[01:12.840 --> 01:15.240]  I've been doing some local homegrown.
[01:15.240 --> 01:16.480]  Smoking flowers, are you?
[01:16.480 --> 01:18.600]  Yep, just sticking to flowers lately.
[01:18.600 --> 01:21.480]  Awesome, shout out to the local home grower
[01:21.480 --> 01:22.920]  for doing the good work.
[01:22.920 --> 01:25.660]  Yep, just some nice little local homegrown.
[01:26.060 --> 01:28.780]  Nothing too fancy, but hitting the spot.
[01:28.780 --> 01:30.060]  Well, I think it's fancy.
[01:30.060 --> 01:32.060]  I wasn't gonna diss the guy.
[01:32.060 --> 01:34.860]  No, it's just, there's some crazy shit
[01:34.860 --> 01:36.980]  going around in the weed world right now.
[01:36.980 --> 01:38.980]  Like I don't have cookies or nothing.
[01:38.980 --> 01:40.740]  I'm not into that fancy flower.
[01:40.740 --> 01:41.940]  All right, he's gonna listen to this.
[01:41.940 --> 01:43.260]  So shout out to the local home grower.
[01:43.260 --> 01:44.820]  I know who that dude is.
[01:44.820 --> 01:46.180]  He gets a shout out.
[01:46.180 --> 01:47.020]  It's fire herb.
[01:47.020 --> 01:48.900]  I gifted a little bit of it this afternoon
[01:48.900 --> 01:50.660]  and made somebody really happy with it, so.
[01:50.660 --> 01:53.940]  Cool, I love seeing people get happy over gifted herb.
[01:53.980 --> 01:56.380]  I am smoking, since you replied enough to ask,
[01:56.380 --> 01:58.940]  I'm smoking Purple Starburst Live Batter
[01:58.940 --> 01:59.940]  from Green Dot Labs.
[01:59.940 --> 02:02.940]  This is a blend of Purple Punch, Skittles,
[02:02.940 --> 02:04.760]  and Starburst OG.
[02:04.760 --> 02:07.860]  On the package, the flavor is described as spun sugar.
[02:07.860 --> 02:10.160]  I think that is cotton candy, right?
[02:10.160 --> 02:11.860]  Grapes and shampoo.
[02:11.860 --> 02:13.420]  I know it sounds weird.
[02:13.420 --> 02:15.560]  I enjoy that shampoo flavor.
[02:15.560 --> 02:16.400]  It's good.
[02:16.400 --> 02:17.300]  It sounds kind of weird.
