[00:00.510 --> 00:10.430]  Welcome back podcast world.
[00:10.430 --> 00:14.030]  I'm your host Rasta Jeff and it is time for another episode of the grow from your heart
[00:14.030 --> 00:15.030]  podcast.
[00:15.030 --> 00:19.910]  This episode of the show is brought to you by our friends at seeds here now.com.
[00:19.910 --> 00:24.150]  Seeds here now.com offers seats from all of the industry's leading breeders, including
[00:24.150 --> 00:30.170]  Miss Jill genetics, Duke diamond, exotic genetics, and of course, I read genetics.
[00:30.170 --> 00:33.810]  Everything at seeds here now.com is backed by an award winning satisfaction guarantee.
[00:33.810 --> 00:39.450]  And for my friends on a budget seeds here now.com offers several packs for under $30
[00:39.450 --> 00:42.570]  as well as amazing monthly sales.
[00:42.570 --> 00:46.570]  Make sure to use coupon code GFYH10 while checking out to save a few bucks.
[00:46.570 --> 00:54.370]  Again, that is coupon code GFYH10 while checking out at seeds here now.com.
[00:54.370 --> 00:58.250]  I'd like to start the podcast off by giving a giant thank you shout out to my buddy dinks
[00:58.250 --> 01:01.150]  for nothing for the perfect podcast intro track.
[01:01.150 --> 01:02.150]  Thank you, bro.
[01:02.150 --> 01:04.290]  That fits very well and I appreciate your work.
[01:04.290 --> 01:05.290]  All right.
[01:05.290 --> 01:08.250]  This is the point of the show where I talk about what I'm smoking today.
[01:08.250 --> 01:13.890]  I've been taking ridiculous dabs of holy fuck full spectrum extract from green dot labs.
[01:13.890 --> 01:17.490]  This is a blend of sex on the beach and halo on the package.
[01:17.490 --> 01:20.550]  The flavor is described as pina colada and fuel.
[01:20.550 --> 01:23.850]  That is a very unique description, but I'm going to agree.
[01:23.850 --> 01:28.310]  When you inhale, there's a fruitiness that pina colada coconut kind of pineapple taste
[01:28.310 --> 01:30.850]  that tropical flavor overwhelms my mouth.
[01:30.850 --> 01:34.410]  Then on the exhale, my tongue goes dry and it tastes like fruity fuel.
[01:34.410 --> 01:39.190]  So I completely agree with a pina colada and fuel flavor on the back of the package.
[01:39.190 --> 01:46.890]  It says the THC level is 59.29% and non detectable amounts of CBD.
[01:46.890 --> 01:51.850]  Big shout out to our friends at green dot labs for the delicious, holy fuck full spectrum
[01:51.850 --> 01:53.050]  extract.
[01:53.050 --> 01:57.090]  And speaking of holy fuck, holy fuck you guys, it is super hot today.
[01:57.090 --> 02:01.410]  It is the hottest day that we have experienced here in Southern Colorado this summer, and
[02:01.410 --> 02:03.250]  I am feeling it.
[02:03.250 --> 02:06.330]  That has led up to a bunch of great podcast questions.
[02:06.330 --> 02:10.130]  It sounds like a lot of other people across the country, across the world are having heat
[02:10.130 --> 02:11.510]  issues and their grows.
[02:11.510 --> 02:13.930]  So in this episode, we are going to talk about air conditioning.
[02:13.930 --> 02:18.050]  We're going to address a couple of air conditioning questions before we get there.
[02:18.050 --> 02:22.070]  Let's do some shout outs to a few of the folks who support the show on Patreon.
[02:22.070 --> 02:25.110]  Let's give a giant shout out to the members of the 710 club.
[02:25.110 --> 02:29.330]  These are folks who support the show at the 710 level or higher on Patreon.
[02:29.330 --> 02:33.150]  Let's start off with the big shout out to the leader, the captain and commander of the
[02:33.150 --> 02:34.150]  710 club.
[02:34.150 --> 02:37.090]  Let's give a big thank you shout out to my buddy lemur priest.
[02:37.090 --> 02:40.270]  Let's follow that up with a big thank you shout out to my buddy Kurt Z.
[02:40.270 --> 02:43.750]  I've always got a thank you shout out to easy 057.
[02:43.750 --> 02:46.810]  Also let's send a big thank you shout out to my friend Zoso J.
[02:46.810 --> 02:49.510]  I also want to send a big thank you to our friend Heli.
[02:49.510 --> 02:53.410]  We've always got a big thank you shout out and a fist bump to Kanna Organic.
[02:53.410 --> 02:58.190]  I want to send a big thank you to Jacob W. Let's send a shout out to Godfather Kush.
[02:58.190 --> 03:00.390]  Let's send a big thank you to Lernon and Burnin.
[03:00.390 --> 03:04.350]  I've always got a big thank you for Redbeard, part of that Redbeard crew.
[03:04.350 --> 03:06.990]  Also let's send a big giant grow from your heart podcast.
[03:06.990 --> 03:12.230]  Thank you shout out to my friend Keith K. Big thanks and big shout out to everybody
[03:12.230 --> 03:14.750]  who continues to support the show on Patreon.
