[00:00.060 --> 00:14.710]  Here we go.
[00:14.710 --> 00:16.110]  Welcome to the show podcast world.
[00:16.110 --> 00:21.230]  I'm your host, my friends call me Rasta Jeff and it is time for episode 553 of the Grow
[00:21.230 --> 00:23.550]  from Your Heart podcast.
[00:23.550 --> 00:28.150]  This episode of the show is brought to you by our friends at seedsherenow.com.
[00:28.150 --> 00:32.630]  Seedsherenow.com offers seeds from all of the industries, leading breeders, including
[00:32.630 --> 00:37.230]  Miss Jill Genetics, Duke Diamond and of course, IRI Genetics.
[00:37.230 --> 00:41.750]  Everything at seedsherenow.com is backed by their award winning satisfaction guarantee.
[00:41.750 --> 00:46.970]  For my friends on a budget, seedsherenow.com offers several packs for under $30 as well
[00:46.970 --> 00:49.710]  as amazing monthly sales.
[00:49.710 --> 00:53.990]  Make sure you use coupon code GFYH10 while checking out to save a few bucks.
[00:53.990 --> 00:59.390]  Again, that is coupon code GFYH10 while checking out at seedsherenow.com.
[00:59.390 --> 01:05.510]  You know, I like to start this podcast off by talking about what I'm smoking.
[01:05.510 --> 01:11.110]  Today I've been taking dabs of Orangatane Funk Live Batter from Green Dot Labs.
[01:11.110 --> 01:15.550]  This is a blend of Jelly 13 and Grease Monkey on the package.
[01:15.550 --> 01:19.550]  The flavor is described as orange rinds and buttery fuel.
[01:19.550 --> 01:25.790]  When I open up this concentrate, the first thing I smell is a funky orange rind punch
[01:25.790 --> 01:26.790]  to the face.
[01:26.790 --> 01:27.790]  It is kind of gross.
[01:27.790 --> 01:29.790]  It's kind of delicious all at the same time.
[01:29.790 --> 01:35.470]  Then it is followed by a gassy, I want to say kind of armpits and sweat sort of aroma
[01:35.470 --> 01:38.430]  that I honestly really enjoy.
[01:38.430 --> 01:42.710]  That orangey, gassy, funky thing really gets my attention.
[01:42.710 --> 01:47.150]  So much so that I smoked this entire gram of concentrates in just a couple of hours
[01:47.150 --> 01:48.150]  today.
[01:48.150 --> 01:49.150]  I bought this this evening.
[01:49.150 --> 01:50.470]  It is gone at recording time.
[01:50.470 --> 01:54.070]  I just took the last dab as I sat down to record.
[01:54.070 --> 01:55.070]  Delicious.
[01:55.070 --> 02:02.270]  On the back of the package it says it contains 65.61% THC and non-detectable amounts of CBD.
[02:02.270 --> 02:06.710]  This was delicious concentrate, amazingly turpy and amazingly potent.
[02:06.710 --> 02:12.470]  So big shout out again to our friends at Green Dot Labs for the perfect podcast concentrate.
[02:12.470 --> 02:17.150]  All right, in this episode I'm going to focus on Patreon messages.
[02:17.150 --> 02:21.670]  Before we get there, let's do a shout out to the members of the 710 Club.
[02:21.670 --> 02:28.190]  The 710 Club are the folks who support us on Patreon at the $7.10 a month level or higher.
[02:28.190 --> 02:32.150]  So let's start off with a big shout out to our friend Melvin818.
[02:32.150 --> 02:34.590]  Let's follow that up with a big Grow From Your Heart Podcast.
[02:34.590 --> 02:35.590]  Thank you.
[02:35.590 --> 02:38.870]  Shout out to Josiah W. Let's also send a big thank you shout out to ADHDgrower.
[02:38.870 --> 02:44.170]  I also want to send a big thank you shout out to our friend PassMeTheLaserBeam.
[02:44.170 --> 02:48.850]  I also want to send a big thank you to John K. I've also got a big Grow From Your Heart
[02:48.850 --> 02:49.850]  Podcast.
[02:49.850 --> 02:50.850]  Thank you.
[02:50.850 --> 02:51.850]  Shout out to our friend Karen Crawford.
[02:51.850 --> 02:54.290]  I also want to send a big thank you to Kanna Reaper.
[02:54.290 --> 02:57.170]  I also want to send a thank you shout out to Kanna Organic.
[02:57.170 --> 03:01.690]  Let's say a big thank you to Homie D. And last but certainly not least, I want to send
[03:01.690 --> 03:07.010]  a big grow from your heart podcast. Thank you. Shout out to our friend Papa Roney. Big
[03:07.010 --> 03:11.290]  thanks and big shout out to everybody who continues to support the show. If you're not
[03:11.290 --> 03:15.290]  already supporting the show on Patreon and you'd like to learn how to do so all you have
[03:15.290 --> 03:22.090]  to do is visit www.patreon.com forward slash grow from your heart. All of the information
[03:22.090 --> 03:26.010]  you need will be right there on the screen. And once again, I did include a link in the
[03:26.010 --> 03:30.890]  show notes to make it easy for all of my friends. All right, I did say I was going to focus
[03:30.890 --> 03:36.410]  on Patreon messages. The messages in today's episode come from Patreon contributors. That
