[00:00.320 --> 00:17.250]  Hi, to all of you neighbors, I'm your host Rasta Jeff, and it's time for episode 555
[00:17.250 --> 00:19.690]  of the Grow From Your Heart podcast.
[00:19.690 --> 00:24.050]  This episode of the show is brought to you by our friends at seedsherenow.com.
[00:24.050 --> 00:28.130]  Seedsherenow.com offers seeds from all of the industry's leading breeders, including
[00:28.130 --> 00:32.850]  Miss Jill Genetics, Duke Diamond, and of course, Irie Genetics.
[00:32.850 --> 00:36.570]  Everything at seedsherenow.com is backed by an award-winning satisfaction guarantee.
[00:37.130 --> 00:42.450]  And for my friends on a budget, seedsherenow.com offers several packs for under $30, as well
[00:42.450 --> 00:45.170]  as amazing monthly sales.
[00:45.170 --> 00:49.130]  Make sure to use coupon code GFYH10 while checking out to save a few bucks.
[00:49.130 --> 00:54.570]  Again, that is coupon code GFYH10 while checking out at seedsherenow.com.
[00:54.570 --> 01:00.370]  You know, I like to start this podcast off by talking about what I'm smoking.
[01:00.370 --> 01:06.370]  Today, I've been taking dabs of Gunslinger Remix Live Batter from Green Dot Labs.
[01:06.370 --> 01:09.170]  This is a blend of Starfighter and Stardog.
[01:09.170 --> 01:12.610]  On the package, the flavor is described as sour, fruit, and fuel.
[01:12.610 --> 01:16.410]  I think we've talked about this concentrate on the podcast before.
[01:16.410 --> 01:20.130]  I am really a big fan of the Gunslinger Remix Live Batter.
[01:20.130 --> 01:26.770]  On the back, it says it contains 65.83% THC and non-detectable amounts of CBD.
[01:26.770 --> 01:30.210]  I do know that it gives me a perfect buzz for a podcast.
[01:30.210 --> 01:36.090]  So big shout out to our friends at Green Dot Labs for the delicious Gunslinger Remix
[01:36.090 --> 01:37.090]  Live Batter.
[01:37.090 --> 01:41.810]  All right, in this episode, I'm going to read a couple of messages from Patreon.
[01:41.810 --> 01:45.730]  Before we get there, I'd like to do a few shout outs to some members of the 710 Club.
[01:45.730 --> 01:51.890]  Of course, the 710 Club are the folks who support us at the $7.10 a month level or higher
[01:51.890 --> 01:53.170]  on Patreon.
[01:53.170 --> 01:57.250]  So let's start off with a big Grow From Your Heart podcast thank you shout out to the captain
[01:57.250 --> 01:58.930]  and commander of the 710 Club.
[01:59.130 --> 02:01.750]  Let's send a big thank you shout out to my buddy lemurpriest.
[02:01.770 --> 02:03.510]  Thank you for all of the support bro.
[02:03.510 --> 02:07.370]  Let's follow that up with a big thank you shout out to my buddy Ty Blacklock.
[02:07.370 --> 02:10.510]  I've also got a big thank you shout out for my buddy Darion Smith.
[02:10.510 --> 02:12.810]  I want to send a big thank you shout out to my buddy Kurt Z.
[02:12.810 --> 02:15.330]  I've also got a big thank you shout out to Zoso J.
[02:15.330 --> 02:18.530]  I also want to send a big thank you to Brett G.
[02:18.530 --> 02:19.530]  And Jacob W.
[02:19.530 --> 02:22.650]  I've also got a big thank you shout out for my buddy Keith K.
[02:22.650 --> 02:24.970]  And also a big shout out to Tim.
[02:24.970 --> 02:27.990]  I always want to send a big thank you shout out to my buddy Godfather Kush.
[02:27.990 --> 02:32.910]  I've also got a big thank you shout out for my buddy prospect. Let's not forget buzz bros and
[02:33.470 --> 02:40.510]  Last but certainly not least let's send a big grow from your heart podcast. Thank you shout out to my buddy Terp burglar
[02:40.510 --> 02:42.030]  I'm loving the name big
[02:42.030 --> 02:47.270]  Thank you big shout out to everybody who continues to support the show on patreon if you're not already
[02:47.390 --> 02:51.550]  Supporting the show on patreon and you would like to learn how to do so all you have to do is visit
[02:52.310 --> 02:54.310]  www.patreon.com
[02:54.670 --> 02:59.790]  Forward slash grow from your heart all of the information you need to support the show will be right there on the screen
[02:59.790 --> 03:06.170]  And of course, I did include that link in the show notes and in the video description to make it easy for all of my
[03:06.690 --> 03:09.230]  Friends. Alright, ladies and gentlemen, let's not waste too much time
[03:09.470 --> 03:13.930]  Let's jump right into the patreon messages for today's episode
[03:13.930 --> 03:21.190]  The first patreon message comes from girls grow to big shout out to girls grow to the message goes like this
[03:21.710 --> 03:25.070]  That dabbing video was bomb as fuck man
[03:25.110 --> 03:28.530]  I'm pretty sure they are referring to the 710 episode
[03:28.530 --> 03:33.010]  I took a couple of dabs and shared my dabbing equipment showed you guys how to take a proper dab
[03:33.010 --> 03:35.070]  I did take a big fat chunky dab
[03:35.070 --> 03:36.590]  I got a lot of comments on that
[03:36.590 --> 03:40.790]  Couple of people said that dab would kill me that was more concentrate than I smoke in a month
[03:40.790 --> 03:45.270]  That was my week supply of dabs got a lot of great compliments. Thank you guys for watching that
[03:45.270 --> 03:48.390]  It goes on to say thank you for doing this. You are very welcome
[03:48.390 --> 03:52.910]  Thank you for enjoying and learning and thank you for the patreon contribution and thank you for the feedback
[03:53.550 --> 03:57.750]  It says I'm still new to this. So that video was really helpful
