[00:00.320 --> 00:13.860]  Here we go.
[00:13.860 --> 00:14.860]  Welcome back podcast world.
[00:14.860 --> 00:19.160]  I'm your host, my friends call me Rasta Jeff and it is time for episode 558 of the
[00:19.160 --> 00:21.560]  Grow From Your Heart podcast.
[00:21.560 --> 00:26.080]  This episode of the show is brought to you by our friends at seedsherenow.com.
[00:26.080 --> 00:30.320]  Seedsherenow.com carries seeds from all of the industry's leading breeders, including
[00:30.320 --> 00:34.820]  Miss Jill Genetics, Duke Diamond, and of course, Irie Genetics.
[00:34.820 --> 00:38.680]  Everything at seedsherenow.com is backed by their award-winning satisfaction guarantee.
[00:39.200 --> 00:44.460]  And for my friends on a budget, seedsherenow.com offers several packs for under $30 as well
[00:44.460 --> 00:47.260]  as amazing monthly sales.
[00:47.260 --> 00:51.460]  Make sure to use coupon code GFYH10 while checking out to save a few bucks.
[00:51.460 --> 00:59.500]  Again, that is coupon code GFYH10 while checking out at seedsherenow.com.
[00:59.500 --> 01:03.540]  You know, I like to start this podcast off by talking about what I'm smoking.
[01:03.540 --> 01:08.580]  Today I've been taking dabs of Reba Jam live batter from Green Dot Labs.
[01:08.580 --> 01:11.880]  This is a blend of Jelly 13 and I-95.
[01:11.880 --> 01:15.840]  On the package, the flavor is described as tangerine and sour fuel.
[01:15.840 --> 01:17.520]  I think I completely agree with that.
[01:17.520 --> 01:22.340]  When I crack open the jar, I am greeted by a sweet tangerine aroma, and that is followed
[01:22.340 --> 01:24.240]  by a funky, sour fuel.
[01:24.240 --> 01:28.220]  When I take dabs of it, I definitely taste that sour fuel.
[01:28.220 --> 01:31.840]  If I dab it nice and cool, the orange flavor and aroma comes in a little bit more.
[01:31.840 --> 01:35.800]  If I go too hot, it is definitely sour and funky.
[01:35.800 --> 01:41.820]  On the back of the package, it says the product does contain 64.08% THC and non-detectable
[01:41.820 --> 01:43.580]  amounts of CBD.
[01:43.580 --> 01:49.060]  Big shout out to our friends at Green Dot Labs for the delicious Reba Jam live batter.
[01:49.060 --> 01:53.860]  All right, in this episode, I'm going to read an email about Grow Room safety, but
[01:53.860 --> 01:57.980]  before we get there, let's do some shout outs to the 710 Club.
[01:57.980 --> 02:00.180]  Let's start off with the big Grow From Your Heart podcast.
[02:00.180 --> 02:01.900]  Thank you shout out to my friend Eric Ross.
[02:01.900 --> 02:04.980]  I also want to send a big thank you shout out to Grow Man Stan.
[02:05.200 --> 02:07.280]  I've always got a big Grow From Your Heart podcast.
[02:07.280 --> 02:09.080]  Thank you shout out for my friend Heli.
[02:09.080 --> 02:10.880]  Let's send a big thank you shout out to Ross Dekay.
[02:10.880 --> 02:14.480]  I also have a big thank you for EZ057.
[02:14.480 --> 02:16.240]  Let's say thanks to Popperoni.
[02:16.240 --> 02:19.560]  Let's send a big Grow From Your Heart podcast high five to Canna Reaper.
