[00:00.000 --> 00:13.360]  Right here we go.
[00:13.360 --> 00:14.540]  Welcome to the show podcast world.
[00:14.540 --> 00:19.040]  I'm your host, my friends call me Rasta Jeff and it is time for episode 561 of the grow
[00:19.040 --> 00:21.220]  from your heart podcast.
[00:21.220 --> 00:25.540]  This episode of the show is brought to you by our friends at seeds here now.com.
[00:25.540 --> 00:29.500]  Seeds here now.com offers seats from all of the industry's leading breeders, including
[00:29.500 --> 00:33.920]  Miss Jill genetics, Duke diamond, and of course, I read genetics.
[00:33.920 --> 00:37.580]  Everything at seeds here now.com is backed by an award winning satisfaction guarantee.
[00:38.140 --> 00:43.360]  For my friends on a tight budget, seeds here now.com offers several packs for under $30
[00:43.360 --> 00:46.120]  as well as amazing monthly sales.
[00:46.120 --> 00:50.360]  Make sure to use coupon code GFYH10 while checking out to save a few bucks.
[00:50.360 --> 00:58.200]  Again, that is coupon code GFYH10 while checking out at seeds here now.com.
[00:58.200 --> 01:02.160]  You know, I like to start this podcast off by talking about what I'm smoking today.
[01:02.160 --> 01:06.440]  I've been taking dabs of hella tight live batter from green dot labs.
[01:06.440 --> 01:10.000]  This is a blend of sex on the beach and peach warrior on the package.
[01:10.000 --> 01:12.920]  The flavor is described as sour and star fruit.
[01:12.920 --> 01:14.200]  I agree with the sour.
[01:14.200 --> 01:16.440]  There's something sour and funky about this.
[01:16.440 --> 01:20.560]  I don't know that I've ever tasted star fruit, so I can't compare that.
[01:20.560 --> 01:23.320]  I do think it tasted like sweet mangoes.
[01:23.320 --> 01:27.400]  So if a star fruit tastes like a sugary mango, that is an accurate description.
[01:27.400 --> 01:28.400]  I'll show this to the camera.
[01:28.400 --> 01:30.440]  You can see the remnants of my gram here.
[01:30.440 --> 01:31.940]  I've smoked the better part of this.
[01:31.940 --> 01:34.840]  This was pretty delicious, quite potent on the back of the package.
[01:34.840 --> 01:42.240]  It says it contains 60.0 or 60.15% THC and non detectable amounts of CBD.
[01:42.240 --> 01:47.400]  Big shout out to our friends at green dot labs for the delicious hella tight live batter.
[01:47.400 --> 01:48.560]  All right.
[01:48.560 --> 01:51.760]  In this episode, I'm going to read a few Patreon questions.
[01:51.760 --> 01:55.320]  Before we get there, let's send some thank you shout outs to the folks who support us
[01:55.320 --> 01:56.760]  on Patreon.
[01:56.760 --> 01:59.000]  Let's start off with the big grow from your heart podcast.
[01:59.000 --> 02:00.000]  Thank you.
[02:00.000 --> 02:01.160]  Shout out to girls grow too.
[02:01.160 --> 02:03.560]  Let's send a big thank you shout out to Brendan grows.
[02:03.560 --> 02:06.560]  Let's also send a big thank you shout out to grow man, Stan.
[02:06.560 --> 02:09.960]  I've always got a big thank you shout out to my friend Spruce Hill Farm.
[02:09.960 --> 02:12.640]  Let's also send a big thank you shout out to Tonto's garden.
[02:12.640 --> 02:14.920]  I want to send a special thank you to Curt Z.
[02:14.920 --> 02:18.840]  I've always got a big thank you for Roger S. How about a big thank you shout out to David
[02:18.840 --> 02:22.240]  H. Let's also send a big thank you shout out to Papa Z.
[02:22.240 --> 02:25.000]  And how about a big grow from your heart podcast.
[02:25.000 --> 02:26.000]  Thank you.
[02:26.000 --> 02:30.360]  Shout out to our friend Zozo J. Big thanks to everybody who continues to support the
[02:30.360 --> 02:31.360]  show.
[02:31.360 --> 02:34.040]  If you're not already supporting the show on Patreon and you'd like to learn how to
[02:34.040 --> 02:40.840]  do so all you have to do is visit www.patreon.com forward slash grow from your heart.
[02:40.840 --> 02:43.760]  All of the information you need will be right there on the screen.
