[00:00.190 --> 00:14.200]  Welcome back podcast world.
[00:14.200 --> 00:14.800]  I'm your host.
[00:14.800 --> 00:18.540]  My friends call me Rasta Jeff, and it is time for episode 581
[00:18.540 --> 00:20.320]  of the grow from your heart podcast.
[00:21.000 --> 00:24.840]  This episode of the show is brought to you by our friends at seedsherenow.com.
[00:25.240 --> 00:29.040]  seedsherenow.com offers seeds from all of the industry's leading breeders,
[00:29.040 --> 00:33.200]  including Miss Jill genetics, Duke diamond, and of course, iRegenetics.
[00:33.640 --> 00:36.480]  Everything at seedsherenow.com is backed by an award-winning
[00:36.480 --> 00:37.800]  satisfaction guarantee.
[00:38.120 --> 00:41.560]  And for my friends on a tight budget, seedsherenow.com offers several
[00:41.560 --> 00:45.600]  packs for under $30 as well as amazing monthly sales.
[00:45.920 --> 00:50.280]  Make sure to use coupon code GFYH10 while checking out to save a few bucks.
[00:50.600 --> 00:58.120]  Again, that is coupon code GFYH10 while checking out at seedsherenow.com.
[00:58.120 --> 00:59.800]  Ladies and gentlemen, I'm sure you heard him coughing into
[00:59.800 --> 01:00.840]  the mic just a moment ago.
[01:00.840 --> 01:03.240]  And if you're watching on YouTube, you see that smiling face.
[01:03.520 --> 01:05.080]  I'd like to welcome Mike back to the show.
[01:05.080 --> 01:06.000]  Welcome to the show, bro.
[01:06.600 --> 01:07.200]  Thanks man.
[01:07.360 --> 01:08.240]  What's up everybody.
[01:08.880 --> 01:09.960]  We are hanging out, bro.
[01:10.000 --> 01:11.480]  Are you as freezing as I am?
[01:11.480 --> 01:13.440]  It is a cold fucking Colorado.
[01:13.440 --> 01:14.880]  It's so cold out right now.
[01:15.000 --> 01:15.440]  Oh man.
[01:15.440 --> 01:16.280]  I hate to break it to you.
[01:16.280 --> 01:17.240]  I looked over at the camera.
[01:17.240 --> 01:18.800]  Single digit madness.
[01:18.840 --> 01:19.920]  Yeah, it was seven degrees.
[01:19.920 --> 01:22.920]  Last time I looked, I just, the cameras before we pressed record
[01:22.920 --> 01:24.200]  and you're going to love this update.
[01:24.800 --> 01:26.720]  It's fucking snowing again.
[01:26.720 --> 01:29.000]  We've got at least seven inches out there in the yard.
[01:29.000 --> 01:31.680]  It's going to be 10 or 12 inches by the time we wake up this time.
[01:32.520 --> 01:33.440]  I was not prepared.
[01:34.320 --> 01:35.600]  We got like 10 in my yard.
[01:35.600 --> 01:38.320]  At least it's over a foot in a couple of spots.
[01:38.320 --> 01:39.280]  I had to shovel it today.
[01:39.320 --> 01:41.120]  I'm intimately familiar with that snow.
[01:41.560 --> 01:46.360]  Our friend Tony posted a picture of a 16 ounce Mountain Dew bottle, and he posted
[01:46.360 --> 01:49.560]  a timeline over the day of that bottle getting filled up and by the end of the
[01:49.560 --> 01:52.720]  day, it wasn't filled up, it was just stacked up along the side of the bottle.
[01:53.240 --> 01:55.960]  It was about 12 ounces deep by the time of the end of the day.
[01:58.200 --> 01:58.920]  We got pummeled.
[01:59.280 --> 02:02.320]  I haven't seen this much snow in Pueblo since I moved here like a decade ago.
[02:02.520 --> 02:03.600]  Came out of nowhere.
[02:03.640 --> 02:04.560]  It came out of nowhere.
[02:04.560 --> 02:06.320]  It was like, Hey, we might get some snow tomorrow.
[02:06.320 --> 02:07.960]  And then it was like, Hey, guess what?
[02:07.960 --> 02:09.320]  Here's all the fucking snow.
[02:09.600 --> 02:11.800]  So yeah, we expected on Halloween.
[02:11.800 --> 02:14.480]  Usually we say Halloween, we're going to get snow here where we live.
[02:15.080 --> 02:17.800]  We are just about a week early.
[02:17.800 --> 02:19.760]  So shout out to mother nature for kicking our ass.
[02:19.760 --> 02:23.440]  I hope you guys got your outdoor plants down on time.
[02:23.960 --> 02:27.960]  That was my first thought is, uh, I know two people that did an outdoor this year
[02:27.960 --> 02:32.800]  and I know they both got out of the ground this week, so they're all, they're
[02:32.800 --> 02:37.040]  all in drying care already, but I'm not, there are a lot of outdoor grows down
[02:37.040 --> 02:37.960]  this part of the state, man.
[02:37.960 --> 02:39.200]  I hope they got out of the ground.
[02:39.520 --> 02:41.720]  So many people growing from here to New Mexico.
[02:41.720 --> 02:43.040]  I know a lot of people growing.
[02:43.280 --> 02:46.720]  I have a friend who had to cancel his weekend plans to just harvest it.
[02:47.640 --> 02:48.480]  So we got pummeled.
[02:48.560 --> 02:49.520]  We were not expecting it.
[02:49.520 --> 02:51.840]  This is not the grow from your weather podcast.
[02:51.840 --> 02:53.080]  This is a cannabis podcast.
[02:53.080 --> 02:55.600]  I just wanted to talk about how freaking cold it is.
[02:55.600 --> 02:58.880]  It is a cold Colorado evening, kind of set the tone for the night.
[02:59.280 --> 03:02.760]  Another great way to set the tone is to talk about what we're smoking.
[03:02.760 --> 03:04.560]  Mike, what are you smoking on this evening, brother?
[03:05.440 --> 03:08.240]  Um, I've been enjoying some local flower.
[03:08.240 --> 03:11.720]  There's a shop in town that had some, I mentioned it the last time I was on the
[03:11.720 --> 03:16.280]  show, some really good golden goat that, uh, I'm enjoying some sensei star from
[03:16.280 --> 03:17.400]  that same shop there.
[03:17.640 --> 03:18.680]  They've been impressive lately.
[03:19.080 --> 03:23.080]  You said so much on the last show that I don't know if anybody remembers or cares
[03:24.080 --> 03:25.920]  about my herb recommendation.
[03:25.920 --> 03:26.120]  Yeah.
[03:26.120 --> 03:29.080]  If you can find some good golden goat, but grab you something real quick.
[03:29.320 --> 03:30.080]  It's delicious.
[03:30.520 --> 03:33.720]  I think we're going to move right on a forward about the last episode you were
[03:33.720 --> 03:33.960]  on.
[03:34.320 --> 03:36.000]  Um, we appreciate the feedback.
[03:37.480 --> 03:39.160]  What are you smoking on these days, buddy?
[03:39.400 --> 03:40.360]  A good toss, buddy.
[03:40.360 --> 03:43.080]  I am smoking some sour best lemons live batter.
[03:43.080 --> 03:45.200]  It's a blend of sour best shit ever.
[03:45.200 --> 03:48.200]  And Northern, uh, lemon tree, Northern lights on the package.
[03:48.200 --> 03:52.400]  They described the flavor as lemons, lemons, and even more lemons.
[03:52.400 --> 03:53.920]  I've talked about this on the podcast.
[03:54.160 --> 03:54.880]  I can agree to it.
[03:54.880 --> 03:56.200]  It's lemon tastic.
[03:56.200 --> 03:58.120]  Those are my friend, my favorite.
[03:58.120 --> 04:00.560]  They work with my, uh, I've got a brain injury.
[04:00.560 --> 04:01.360]  It still exists.
[04:01.360 --> 04:04.320]  It's still, I've got weird lingering fucking fuzzies from it.
[04:04.320 --> 04:06.200]  It was years ago, years ago.
[04:06.200 --> 04:08.200]  If you know the years ago joke, shout out in a fist bump.
[04:08.200 --> 04:11.880]  But years ago, I had a brain injury, some lingering effects.
[04:11.880 --> 04:16.320]  Occasionally I've noticed the lemony limonene type turps kind of correct some
[04:16.320 --> 04:18.280]  of the, in my opinion, I don't know.
[04:18.280 --> 04:21.080]  You may see differently on that from another perspective, but I feel like it
[04:21.080 --> 04:23.160]  kind of fixes my glitches, my skips.
[04:23.160 --> 04:26.800]  Like, uh, if your brain is a fucking record, I've got a little, little skip
[04:26.800 --> 04:30.440]  somewhere and occasionally some songs, it'll just, it'll just, it'll just, and
[04:30.440 --> 04:32.160]  you got to nudge the record player to get it going.
[04:32.160 --> 04:32.880]  That's my brain.
[04:33.160 --> 04:38.880]  I feel like the lemon, it wipes off the scratch on my CD or it fills in the
[04:38.880 --> 04:40.280]  scratch on my record or whatever.
[04:40.280 --> 04:43.200]  And it makes my, uh, my brain flow a little more smoothly.
[04:43.200 --> 04:44.560]  My beats don't have that weird skip.
[04:44.560 --> 04:49.280]  Remember when you would download music from a LimeWire and occasionally
[04:49.880 --> 04:52.680]  fucking boom and boom chat, camp, boom, chat.
[04:52.680 --> 04:55.080]  And then occasionally you're in the middle of the song and you're like, Oh
[04:55.080 --> 04:55.400]  fuck.
[04:55.400 --> 04:56.600]  And you have a little seizure from it.
[04:56.840 --> 04:57.720]  Uh, that's what my brain does.
[04:57.720 --> 04:59.840]  Occasionally you'll hear the beat will be smooth.
[04:59.840 --> 05:03.080]  And then in the middle of the beat, you get just this weird fucked up
[05:03.080 --> 05:04.200]  note that doesn't belong there.
[05:04.320 --> 05:05.920]  This makes those notes go away.
[05:05.920 --> 05:08.640]  This, the lemony turps makes that not happen.
[05:08.640 --> 05:10.680]  So that's where I'm headed with all that bullshit rambles.
[05:12.440 --> 05:16.080]  This is your regular advisement to avoid head injuries.
[05:16.400 --> 05:16.680]  Yeah.
[05:16.680 --> 05:19.520]  That's a, that's the first piece of advice is don't bang your head.
[05:19.520 --> 05:22.040]  When at all possible, you should duck.
[05:22.440 --> 05:24.880]  Um, or don't be six foot five.
[05:24.920 --> 05:29.080]  That's what, some of us are just born to smash our faces into things.
[05:29.240 --> 05:31.280]  I was the moving object in that situation.
[05:31.280 --> 05:32.120]  I am to blame.
[05:32.600 --> 05:35.080]  It wasn't like something hit me.
[05:36.400 --> 05:38.320]  Streetlight didn't dive in front of your car.
[05:38.640 --> 05:44.120]  It was, yeah, it was a fucking, I was in a town, an older part of town where, um,
[05:45.080 --> 05:48.200]  there's a word that they use to describe the people, the descendants
[05:48.200 --> 05:49.040]  from this part of the world.
[05:49.040 --> 05:51.640]  I don't know if it's a derogatory term, but they call themselves that here.
[05:51.640 --> 05:52.960]  But those people are very short.
[05:53.200 --> 05:57.200]  There are smaller people and the houses here were built for those shorter people.
[05:57.440 --> 05:58.760]  They were five, nine.
[05:58.760 --> 05:59.600]  I'm six, five.
[05:59.720 --> 06:01.800]  I think their doorways are six feet tall.
[06:02.160 --> 06:03.040]  Uh, five.
[06:03.040 --> 06:05.360]  I went through that doorway and cracked the top of my head.
[06:05.360 --> 06:06.320]  Oh my God.
[06:06.520 --> 06:09.200]  Knocked myself out and fell down the stairs, slid down the
[06:09.200 --> 06:10.520]  stairs while I was unconscious.
[06:10.800 --> 06:13.240]  I woke up to my friends carrying me up the stairs, wondering what the
[06:13.280 --> 06:14.360]  fuck had just happened to me.
