[00:00.250 --> 00:14.660]  Welcome back podcast world.
[00:14.660 --> 00:15.660]  I'm your host.
[00:15.660 --> 00:20.420]  My friends call me Rasta Jeff and it is time for episode 585 of the Grow From Your Heart
[00:20.420 --> 00:21.420]  podcast.
[00:21.420 --> 00:24.900]  You know I like to start the show off by talking about what I'm smoking.
[00:24.900 --> 00:28.740]  Today I've been taking dabs of OG Lime Killer Live Batter.
[00:28.740 --> 00:31.740]  I think it smells like limes and Gatorade powder.
[00:31.740 --> 00:33.620]  It's got a really nice head buzz to it.
[00:33.620 --> 00:36.940]  It's got me talking kind of fast and it's got my brain moving quite quickly.
[00:37.020 --> 00:40.580]  So this should make perfect podcast concentrates.
[00:40.580 --> 00:44.940]  So big shout out to the OG Lime Killer Live Batter.
[00:44.940 --> 00:48.220]  In this episode I'm going to read a couple of Patreon messages.
[00:48.220 --> 00:52.180]  Before we get there let's do a few shout outs to a few members of the 710 Club.
[00:52.180 --> 00:57.980]  Of course the 710 Club are the folks who support us on Patreon at the $7.10 a month level or
[00:57.980 --> 00:58.980]  higher.
[00:58.980 --> 01:02.660]  So with no further ado let's start off with the big Grow From Your Heart podcast.
[01:02.660 --> 01:05.980]  Thank you shout out to our friend Mr. Let's follow that one up with a shout out to our
[01:05.980 --> 01:06.980]  buddy Jeffrey.
[01:06.980 --> 01:10.820]  I want to send a special thank you shout out to I want to talk to Samson.
[01:10.820 --> 01:12.900]  Let's follow that up with a Grow From Your Heart podcast.
[01:12.900 --> 01:15.680]  Thank you shout out to Oh Cannabis 613.
[01:15.680 --> 01:18.180]  Let's send a big thank you shout out to Yannick Bucci.
[01:18.180 --> 01:22.060]  If I said that incorrectly send me an email and I will say it correctly the next time
[01:22.060 --> 01:23.600]  I give you a shout out.
[01:23.600 --> 01:26.000]  Let's follow that up with a big Grow From Your Heart podcast.
[01:26.000 --> 01:27.660]  Thank you shout out to Froggle Rock.
[01:27.660 --> 01:29.980]  I want to send a thank you shout out to Lernon and Burnin.
[01:29.980 --> 01:33.420]  I've always got a special thank you shout out to Just a Smokin.
[01:33.420 --> 01:38.020]  Let's send a thank you shout out to Xavier C. And last but certainly not least let's
[01:38.020 --> 01:40.360]  send a big Grow From Your Heart podcast.
[01:40.360 --> 01:45.640]  Thank you shout out to our friend ADHD Grower.
[01:45.640 --> 01:48.560]  Big thanks and big shout out to everybody who supports the show.
[01:48.560 --> 01:52.340]  If you are not supporting the show on Patreon and you would like to learn how to do so all
[01:52.340 --> 01:58.620]  you have to do is visit www.patreon.com forward slash grow from your heart.
[01:58.620 --> 02:01.180]  All the information you need on will be right there on the screen.
[02:01.180 --> 02:05.100]  And of course I did include a link in the show notes and in the video description to
[02:05.100 --> 02:09.300]  make it nice and easy for all of my friends.
[02:09.300 --> 02:13.340]  Also ladies and gentlemen I do invite you and encourage you to check out the new updated
[02:13.340 --> 02:14.340]  website.
[02:14.340 --> 02:18.020]  I do keep saying that the website is updated and improved on every episode.
[02:18.020 --> 02:21.700]  I think we are almost complete with the upgrades, the updates.
[02:21.700 --> 02:26.480]  iRegenetics.com and iRegeneticsColorado.com are all updated.
[02:26.480 --> 02:30.460]  The only thing we need to do is add a few more strain descriptions, add a few more strain
[02:30.460 --> 02:32.860]  photos, update a few of those things.
[02:32.860 --> 02:33.860]  Everything will be up to speed.
[02:33.860 --> 02:37.940]  I will add more strains over time but I am proud of what we've got up there.
[02:37.940 --> 02:40.020]  Big shout out to my friend who helped me with the new web design.
[02:40.020 --> 02:42.280]  I do appreciate the help.
[02:42.280 --> 02:46.020]  Big shout out to everybody who has sent me feedback and encouragement on the new website.
[02:46.020 --> 02:47.580]  I do appreciate it.
[02:47.580 --> 02:51.900]  There's more stuff coming soon so by the time you hear this we should be upgraded but if
[02:51.900 --> 02:54.860]  there's a strain you're curious about on there please take a look.
[02:54.860 --> 02:59.700]  So if you're interested in anything iRegenetics, if it's iRegenetics seeds, the Grow From Your
[02:59.700 --> 03:04.140]  Heart podcast, if you're looking for my social media, if you need to contact me, everything
[03:04.140 --> 03:07.820]  is right there at iRegenetics.com.
[03:07.820 --> 03:09.180]  Please do take a look.
[03:09.180 --> 03:12.660]  Also there are more shirts and hoodies on the website.
[03:12.660 --> 03:16.900]  That's right I have added pink and gray Arise t-shirts and hoodies.
[03:16.900 --> 03:21.460]  You get a pink t-shirt or a pink hoodie or a gray t-shirt or a gray hoodie.
[03:21.460 --> 03:24.380]  Grab them quickly because some of the sizes already sold out.
[03:24.380 --> 03:26.140]  I had to replenish them.
