[00:00.190 --> 00:02.950]  Welcome back podcast world.
[00:02.950 --> 00:08.070]  I'm your host, my friends call me Rasta Jeff, and it is time for episode 586 of the Grow
[00:08.070 --> 00:10.190]  From Your Heart podcast.
[00:10.190 --> 00:13.470]  This evening I'm recording on Veterans Day, so I would like to start the show off with
[00:13.470 --> 00:16.830]  a big thank you shout out to all of the veterans out there.
[00:16.830 --> 00:20.070]  In this episode, I'm going to read a few Patreon messages.
[00:20.070 --> 00:22.230]  One of those messages comes from a veteran.
[00:22.230 --> 00:27.190]  Another one comes from a listener with questions about selecting male plants for breeding.
[00:27.190 --> 00:30.550]  Before we get to those Patreon messages, you know I like to start the show off by talking
[00:30.550 --> 00:31.990]  about what I'm smoking.
[00:31.990 --> 00:35.430]  Today I've been taking dabs of coin style live batter.
[00:35.430 --> 00:39.510]  This is a blend of Sugartown Express and Lemon G13.
[00:39.510 --> 00:44.590]  On the package, the flavor is described as a coin style margarita on the rocks.
[00:44.590 --> 00:49.110]  It has been a really long time since I've had a coin style margarita on the rocks, so
[00:49.110 --> 00:50.870]  I'm just going to agree with that.
[00:50.870 --> 00:57.790]  On the back of the package, it says it contains 65.85% THC and non-detectable amounts of CBD.
[00:57.790 --> 01:01.990]  So big shout out to the coin style live batter.
[01:01.990 --> 01:05.110]  Alright let's do some shout outs to a few members of the 710 club.
[01:05.110 --> 01:10.590]  Of course the 710 club are the folks who support us on Patreon at the $7.10 a month level or
[01:10.590 --> 01:11.590]  higher.
[01:11.590 --> 01:14.670]  So with no further ado, let's start it off with the big Grow From Your Heart podcast
[01:14.670 --> 01:17.070]  thank you shout out to our friend Rumble Buns.
[01:17.070 --> 01:20.710]  Let's follow that up with a big thank you shout out to our friend Jacob W.
[01:20.830 --> 01:23.750]  Let's send a big thank you shout out and a fist bump to Matt H.
[01:23.750 --> 01:26.510]  I want to send a thank you shout out to a long time supporter.
[01:26.510 --> 01:28.430]  Let's say thank you to Godfather Kush.
[01:28.430 --> 01:30.510]  I want to send a big thank you shout out to Redbeard.
