[00:00.000 --> 00:02.640]  Are you ready? I'm ready. Let's do this.
[00:04.720 --> 00:08.960]  Welcome back podcast world. I'm your host. My friends call me Rasta Jeff and this is episode
[00:09.740 --> 00:13.280]  595 of the grow from your heart podcast in this episode
[00:13.280 --> 00:18.240]  I'm going to read a message from a veteran and then we're going to focus on a message from our friend tanto that asks about
[00:18.540 --> 00:20.560]  Recycling soil before we get there
[00:20.560 --> 00:23.360]  Let's do a few shout outs to a few members of the 710 club
[00:23.600 --> 00:29.280]  Of course the 710 club are the folks who support us on patreon at the seven dollar and ten cent inlets level or higher
[00:29.280 --> 00:34.280]  So with no further ado, let's start off with the big grow from your heart podcast. Thank you. Shout out to my buddy Mike
[00:34.400 --> 00:37.680]  Let's follow that up with a thank you. Shout out to Aaron. I want to send a thank you
[00:37.680 --> 00:42.200]  Shout out to Kurt Z. I've always got a special. Thank you. Shout out for my buddy ADHD grower
[00:42.200 --> 00:45.320]  I want to send a big thank you. Shout out to my buddy. Oh gee purple thumb
[00:45.360 --> 00:47.960]  Let's send a thank you. Shout out to my friend north north turps
[00:47.960 --> 00:52.680]  I want to send a thank you shout out to Josiah W. Let's send a big grow from your heart podcast
[00:52.680 --> 00:54.680]  Thank you. Shout out to my friend Stephen Smith
[00:54.680 --> 00:59.960]  Let's send a big thank you. Shout out to a longtime supporter tree star meadow and last but certainly not least
[00:59.960 --> 01:06.440]  Let's send a big grow from your heart podcast. Thank you. Shout out to my friend caribou heart genetics big
[01:06.440 --> 01:11.640]  Thanks and big shout out to everybody who continues to support the show if you are not supporting the show on patreon and you would
[01:11.640 --> 01:13.880]  Like to learn how to do so all you have to do is visit
[01:14.720 --> 01:16.720]  www.patreon.com
[01:16.840 --> 01:21.040]  Forward slash grow from your heart all of the information you need will be right there on the screen
[01:21.040 --> 01:26.920]  And of course, I do include that link in the show notes and in the video description to make it super easy for all of
[01:26.920 --> 01:30.760]  My friends. All right. I am coming to you on a cold, Colorado evening
[01:30.760 --> 01:35.880]  I was out doing some holiday shopping today and there was a a very intense vibe out there
[01:35.880 --> 01:40.600]  There's a lot of weird energy out there today. The past couple of weeks have been very intense
[01:40.600 --> 01:46.520]  I wanted to remind you to not let that shit get to you you guys if you're out there doing your holiday shopping if you're doing
[01:46.520 --> 01:49.120]  Whatever you need to do and life is getting to you shake it off
[01:49.240 --> 01:54.280]  Remember it's the holiday season. Everybody is stressed to the limit. It's been a weird year for everybody
[01:54.280 --> 01:57.440]  Don't let that little tiny bit of shit tip you at the end of the year
[01:57.440 --> 02:01.360]  We're gonna get a fresh new year here pretty soon. Hopefully we're gonna get some sort of a fucking break
[02:01.880 --> 02:03.520]  2020 is almost over
[02:03.520 --> 02:05.040]  2021 is gonna be a fresh start
[02:05.040 --> 02:09.560]  There's only a few more days left of this year then maybe we can get rid of this fucking curse or whatever happened to
[02:09.560 --> 02:13.400]  Us in 2020. My point is don't let all that bullshit get to you
[02:13.400 --> 02:15.400]  You guys keep your head up stay positive
[02:15.400 --> 02:18.720]  Give gifts from your heart love from your heart be compassionate
[02:18.720 --> 02:21.320]  Stay a good person in these times of stress and these weird times
[02:21.400 --> 02:24.400]  That is when we find out who the good people are. So don't be a dickhead
[02:24.400 --> 02:29.120]  Don't let this stress get to you. I understand it can be overwhelming. It could be a fucking lot right now
[02:29.120 --> 02:32.440]  People are weird people are rude. There are a lot of weird obstacles
[02:32.440 --> 02:37.120]  We've got to deal with all of our Christmas gifts are gonna be late because the mail is basically fucking stuck right now
[02:37.160 --> 02:41.640]  So don't let that get to you. It's gonna it's going to affect you emotionally spiritually
[02:42.160 --> 02:45.480]  Shake it off take a fat dab smoke a bowl give somebody a hug
[02:46.040 --> 02:50.000]  Hang out with me on a podcast get that shit out of your system. Let's have a good time
[02:50.000 --> 02:53.800]  All right, where are we going from there? I think it is time to give my friend easy
[02:54.480 --> 02:56.840]  057 a big thank you. Shout out
[02:57.200 --> 03:02.040]  I've been getting a lot of messages from people who have been following the show for a long time and they say hey, bro
[03:02.040 --> 03:08.200]  I really miss the Rasta flag in your podcast when I rebuilt the studio. I got a lot of brand new equipment
[03:08.200 --> 03:14.040]  We painted the walls. I didn't feel it was appropriate to hang the Rasta flag back on the wall. I love the flag
[03:14.040 --> 03:18.840]  I love the Rasta culture Rasta far I threw and through but the flag was a little bit
[03:19.440 --> 03:21.720]  Maybe a little bit juvenile for the podcast
[03:21.720 --> 03:25.240]  So I took it down and I did not rehang it it is hung somewhere else where I see it every day
[03:25.240 --> 03:27.740]  I get to see my Rasta flag, but it's not up for the show
[03:27.740 --> 03:31.280]  I felt like when I upgraded the show I wanted something a little bit classier
[03:31.280 --> 03:34.320]  I wasn't sure what was gonna go up on the wall and our friend easy
[03:34.800 --> 03:40.920]  057 took initiative and sent me a wonderful gift. I'm sure you can see behind me. We've got the I read genetics logo
[03:40.920 --> 03:44.140]  It says I read genetics premium seeds. It's got my red yellow and green colors
[03:44.180 --> 03:49.000]  That is the logo that comes on my seed packaging. I was blown away when I opened it
[03:49.000 --> 03:54.040]  It was better than I could even imagine and then when I hung it up and it fit perfectly behind me the lights hit it
[03:54.040 --> 03:57.560]  The whole room just went. Ah, so big shout out to our buddy easy
[03:58.080 --> 04:03.100]  057 for the beautiful I read genetics premium seed decoration that is hung up right behind me
[04:03.100 --> 04:05.320]  I'm gonna tip my head out of the way just for a moment
[04:05.320 --> 04:08.680]  So you can see it if you were listening to the podcast on an audio format
[04:08.680 --> 04:12.060]  This is one of the times I highly encourage you to check out the YouTube video
[04:12.180 --> 04:16.280]  Because I'm gonna move my stoned ass out of the way and let you look at this cool artwork for just a moment
[04:16.280 --> 04:18.500]  So check it out. Shout out to easy. Oh five seven
[04:20.800 --> 04:24.140]  Look how smooth that is you guys it's got the I read genetics up top
[04:24.140 --> 04:27.240]  It says premium seeds down here on the bottom. It's got the cross in the middle
[04:27.240 --> 04:32.900]  It's got my colors on it the pattern in the background stands out real bold. I think it looks great. Thank you
[04:32.900 --> 04:36.340]  Big thanks to the artist who created the logo and then big thanks to easy
[04:36.900 --> 04:43.140]  057 for printing it and having it sent to me. It's on canvas. It's really professional. It's really high quality
[04:43.140 --> 04:49.340]  I was blown the fuck away. That's the first Christmas gift. I've received this year. So thank you brother. I do appreciate it
