[00:01.150 --> 00:06.270]  Welcome back podcast world. I'm your host, my friends call me Rasta Jeff, and this is
[00:06.270 --> 00:11.830]  episode 600 of the Grow From Your Heart podcast. In this episode, I'm going to talk about properly
[00:11.830 --> 00:16.070]  selecting a phenotype for your garden. Before we get there, let's do a few shout outs to
[00:16.070 --> 00:20.370]  a few members of the 710 club. Of course, the 710 club are the folks who support us
[00:20.370 --> 00:25.730]  on Patreon at the $7 and 10 cent a month level or higher. So with no further ado, let's give
[00:25.730 --> 00:29.530]  a big Grow From Your Heart podcast thank you shout out to the painted lady. Let's follow
[00:29.630 --> 00:33.430]  that up with the big thank you shout out to tur burglar. I want to send a thank you shout
[00:33.430 --> 00:37.030]  out to grant m. I've always got a big thank you shout out for day run T. Let's send a
[00:37.030 --> 00:41.070]  big thank you to girls grow too. I want to send a special thank you to arrive in waters.
[00:41.070 --> 00:45.730]  We got a big shout out for Caribou Heart Genetics. Let's send a big thank you for Brian C. I
[00:45.730 --> 00:49.590]  wanna send a big thank you shout out to Jeffrey. I've always got a big thank you shout out
[00:49.590 --> 00:53.450]  for TREEM up let's send a big grow from your heart podcast thank you. Shout out to levity
[00:53.450 --> 00:58.390]  Love Day and last but certainly not least. Let's send a big grow from your heart podcast
[00:58.390 --> 01:01.170]  Thank you shout out to my buddy Jesse grows big
[01:01.170 --> 01:04.350]  Thanks and big shout out to everybody who supports the show on patreon
[01:04.550 --> 01:09.570]  If you're not already supporting the show on patreon and you like to learn how to do so all you have to do is visit
[01:10.350 --> 01:12.350]  www.patreon.com
[01:12.430 --> 01:17.470]  Forward slash grow from your heart all of the information you need to support the show will be right there on the screen
[01:17.470 --> 01:20.830]  And of course I did include a link in the show notes and in the video description
[01:21.190 --> 01:26.510]  To make it nice and easy for everybody who's working or driving or got their hands full in the garden
[01:26.830 --> 01:28.830]  All right, ladies and gentlemen, welcome
[01:29.070 --> 01:35.710]  600 episodes I can't believe I have made it to episode 600 not a big celebration in this show, but holy shit
[01:35.710 --> 01:36.990]  We did it big
[01:36.990 --> 01:40.350]  Thanks to everybody who has supported me if this is your first episode
[01:40.470 --> 01:44.570]  Jumping in or if you've been here since the beginning or if you jumped in somewhere in the middle. Thank you
[01:44.570 --> 01:49.630]  I do appreciate all of the interaction all of the support all of the words of encouragement all of the emails
[01:49.630 --> 01:53.870]  I even appreciate all the hate mail. All that does is motivate me a little bit more
[01:53.870 --> 01:58.950]  So, thank you. Also a big thank you to everybody who supports the show on patreon
[01:58.950 --> 02:02.870]  I want to send you a special. Thank you. Shout out right now. It does not go unnoticed
[02:02.870 --> 02:07.710]  You did improve the show drastically. So thank you to everybody and to all of the patreon
