[00:00.000 --> 00:02.880]  Alright, here we go.
[00:02.880 --> 00:04.240]  Welcome back, Podcast World.
[00:04.240 --> 00:09.160]  I'm your host, my friends call me Rasta Jeff, and this is episode 603 of the Grow From Your
[00:09.160 --> 00:10.160]  Heart Podcast.
[00:10.160 --> 00:13.440]  In this episode, I'm going to talk a little bit about light leaks.
[00:13.440 --> 00:16.680]  I'm also going to talk about properly watering our plants.
[00:16.680 --> 00:20.080]  Before we get there, let's do a few shout-outs to a few members of the 710 Club.
[00:20.080 --> 00:25.480]  Of course, the 710 Club are the folks who support us on Patreon at the $7.10 a month
[00:25.480 --> 00:26.800]  level or higher.
[00:26.800 --> 00:30.440]  So with no further ado, let's start off with the big Grow From Your Heart Podcast thank
[00:30.440 --> 00:33.000]  you shout-out to Girls Grow Too.
[00:33.000 --> 00:35.600]  Let's send a big thank you shout-out to Bongsteen Bear.
[00:35.600 --> 00:39.840]  I want to send a special thank you shout-out to Green Vet 88224.
[00:39.840 --> 00:44.200]  Let's send a big special Grow From Your Heart Podcast thank you shout-out to Grow Can Advocate.
[00:44.200 --> 00:48.040]  I want to send a big thank you shout-out and a high-five to Jackie Daytona.
[00:48.040 --> 00:51.840]  Let's send a big thank you shout-out and a fist bump to my buddy Guido.
[00:51.840 --> 00:55.280]  Let's send a big Grow From Your Heart Podcast thank you shout-out to Zaxxon.
[00:55.280 --> 00:58.720]  Let's follow that up with a big thank you shout-out to Brian P. I want to send a big
[00:58.720 --> 01:01.840]  special thank you shout-out to my buddy Alabama Man.
[01:01.840 --> 01:05.320]  Let's send a Grow From Your Heart Podcast thank you shout-out to JG.
[01:05.320 --> 01:09.440]  And last but certainly not least, let's send a big Grow From Your Heart Podcast thank you
[01:09.440 --> 01:14.720]  shout-out, high-five, and a fist bump to my buddy Kurt Z.
[01:14.720 --> 01:18.520]  Big thanks and big shout-out to everybody who supports the show on Patreon.
[01:18.520 --> 01:21.800]  If you are not already supporting the show and you'd like to learn how to do so, all
[01:21.800 --> 01:27.720]  you have to do is visit www.patreon.com forward slash growfromyourheart.
[01:27.720 --> 01:31.320]  All of the information you need to support the show will be right there on the screen.
