[00:00.000 --> 00:02.000]  3, 2, 1...
[00:30.000 --> 00:33.000]  Big shout out to my buddy Kes Burton.
[00:33.000 --> 00:37.000]  Let's send a thank you shout out to ADHD Grower and DontTreadOnMe420.
[00:37.000 --> 00:41.000]  Let's send a big thank you shout out to BigSexyDank and TheTertBurglar.
[00:41.000 --> 00:45.000]  Let's send a thank you shout out to CaribouHeartGenetics and Josiah W.
[00:45.000 --> 00:49.000]  I want to send a big thank you shout out to TheBapsta and GirlsGrow2.
[00:49.000 --> 00:53.000]  Let's send a big thank you shout out to RedEyedOptimist and my buddy Aldi.
[00:53.000 --> 00:59.000]  And then let's wrap it up with a big Grow From Your Heart podcast thank you shout out to my buddy OG Purple Thumb.
[00:59.000 --> 01:02.000]  Big thanks and big shout out to everybody who supports the show on Patreon.
[01:02.000 --> 01:06.000]  If you are not already supporting the show and you would like to learn how to do so,
[01:06.000 --> 01:12.000]  all you have to do is visit www.patreon.com forward slash growfromyourheart.
[01:12.000 --> 01:17.000]  All of the information you need will be right there on the screen and I did include that link in the show notes
[01:17.000 --> 01:20.000]  and in the video description to make it easy for all of my friends.
[01:20.000 --> 01:23.000]  Maybe you're working, maybe you're driving, maybe you got the kids,
[01:23.000 --> 01:26.000]  maybe you can't pull out the iPad or the iPhone and click on the link right now.
[01:26.000 --> 01:28.000]  It will be there when you're ready.
[01:28.000 --> 01:31.000]  www.patreon.com forward slash growfromyourheart.
[01:31.000 --> 01:37.000]  All right, in a recent episode I did talk about having what I was calling tolerance swings.
[01:37.000 --> 01:43.000]  I was mentioning that sometimes I can buy a gram of concentrates and let's be real I never buy a gram of concentrates.
[01:43.000 --> 01:46.000]  I always buy several grams of concentrates.
[01:46.000 --> 01:48.000]  Let's just be honest with each other here.
[01:48.000 --> 01:53.000]  But when I buy concentrates, sometimes I get home and I smoke a gram of concentrates
[01:53.000 --> 01:56.000]  and I'm like, I really wish I would have gotten a better buzz.
[01:56.000 --> 02:00.000]  And it has nothing to do with the concentrates because I'm buying the same brand all the time.
