[00:01.790 --> 00:10.550]  Yeah, here we go.
[00:10.550 --> 00:12.070]  Welcome to the show, Podcast World.
[00:12.070 --> 00:18.030]  I'm your host, my friends call me Rasta Jeff, and this is episode 636 of the Grow From Your
[00:18.030 --> 00:19.030]  Heart Podcast.
[00:19.030 --> 00:22.890]  In this episode, I'm going to focus mainly on Patreon questions.
[00:22.890 --> 00:27.070]  Before we get there, let's do a few shout outs to a few members of the 710 Club.
[00:27.070 --> 00:32.110]  Of course, the 710 Club are those folks who support us on Patreon at the $7.10 a month
[00:32.110 --> 00:33.110]  level or higher.
[00:33.110 --> 00:36.790]  So, with no further ado, let's kick it off with the big Grow From Your Heart Podcast
[00:36.790 --> 00:40.110]  thank you shout out to my friend, Brohan78.
[00:40.110 --> 00:42.670]  Let's send a big thank you shout out to 13Spark.
[00:42.670 --> 00:45.750]  Let's send a special thank you shout out to my buddy, Thomas McGinnis.
[00:45.750 --> 00:49.830]  Let's send a big Grow From Your Heart Podcast thank you shout out to our buddy, Mobius Grows.
[00:49.830 --> 00:52.250]  Let's send a special fist bump to Canna Reaper.
[00:52.250 --> 00:55.870]  Let's send a big Grow From Your Heart Podcast thank you to the Red Eyed Optimist.
[00:55.870 --> 00:59.390]  Let's send a special thank you shout out to Growman Stan and Riven Waters.
[00:59.390 --> 01:02.670]  Let's send a big thank you to Frugal Rock and Stash Drop.
[01:02.670 --> 01:05.950]  Let's send a big fist bump to the big sexy Dank and Black Hippie.
[01:05.950 --> 01:09.270]  And then let's wrap it all up with the big Grow From Your Heart Podcast thank you shout
[01:09.270 --> 01:12.230]  out to a longtime supporter and a big friend.
[01:12.230 --> 01:16.750]  Let's send a special thank you shout out to The BAFSTA.
[01:16.750 --> 01:21.590]  Big thanks and big shout out to everybody who continues to support the show on Patreon.
[01:21.590 --> 01:25.230]  If you are not already supporting the show and you would like to learn how to do so,
[01:25.230 --> 01:31.590]  all you've got to do is visit www.patreon.com forward slash grow from your heart.
[01:31.590 --> 01:33.990]  All of the information you need will be right there on the screen.
[01:33.990 --> 01:38.470]  And of course, I did include a link in the show notes and the video description to make
[01:38.470 --> 01:40.710]  it nice and easy for all of my friends.
[01:40.710 --> 01:44.110]  Maybe you're in the garden, maybe you're driving, maybe you're at work, who knows what you're
[01:44.110 --> 01:45.110]  doing.
[01:45.110 --> 01:47.910]  Maybe you can't reach into your pocket, pull out your phone right now.
[01:47.910 --> 01:50.350]  Patreon.com forward slash grow from your heart.
[01:50.350 --> 01:54.150]  The link is in the notes whenever you are ready.
[01:54.150 --> 01:57.830]  And seriously, thank you for all of the continued Patreon support.
[01:57.830 --> 02:00.270]  I'm going to talk a little bit about Patreon in a moment.
[02:00.270 --> 02:03.550]  First, let's talk about the seed exchange event.
[02:03.550 --> 02:04.550]  That's right.
[02:04.550 --> 02:09.430]  The secret stash brought to you by groovy gravy is coming up May 22nd at a secret location
[02:09.430 --> 02:10.430]  in Denver.
[02:10.430 --> 02:11.430]  That's right.
[02:11.430 --> 02:13.950]  When you get your tickets and the event gets closer to happening, you will get the exact
[02:13.950 --> 02:14.950]  location.
[02:14.950 --> 02:15.950]  Don't worry.
[02:15.950 --> 02:16.950]  It's a great venue.
[02:16.950 --> 02:17.950]  It's a great spot.
[02:17.950 --> 02:18.950]  Parking will be available.
[02:18.950 --> 02:19.950]  You will be safe.
