[00:32.960 --> 00:39.400]  Yeah, welcome back podcast world. I'm your host my friends call me Rasta Jeff and this is episode
[00:40.280 --> 00:44.060]  638 of the grow from your heart podcast in this episode
[00:44.060 --> 00:47.120]  I'm going to focus on patreon questions before we get there
[00:47.120 --> 00:50.320]  Let's do a few shout outs to a few members of the 710 Club
[00:50.320 --> 00:56.600]  Of course the 710 Club are those folks who support us on patreon at the seven dollar and ten cent a month level or higher
[00:56.760 --> 01:00.480]  So with no further ado, let's start off with the big grow from your heart podcast
[01:00.480 --> 01:05.600]  Thank you. Shout out to my friend Dom C. Let's send a big. Thank you. Shout out to 716 grows
[01:05.800 --> 01:08.920]  Let's send a big thank you. Shout out to Paul F and new old guy
[01:09.040 --> 01:12.000]  Let's send a thank you shout out to Ivan M and roll this nug
[01:12.200 --> 01:18.600]  Let's send a big thank you. Shout out to Jethro Earl 710 and tartan Mike. Let's send a big girl from your heart podcast
[01:18.600 --> 01:24.000]  Thank you. Shout out to my friend tree star meadow. Let's send a big. Thank you. Shout out to Zozo J and danky Dave
[01:24.200 --> 01:27.620]  Let's send a big thank you. Shout out to a longtime supporter Alabama, man
[01:27.620 --> 01:31.420]  And then let's wrap it all up with the big grow from your heart podcast. Thank you
[01:31.420 --> 01:35.140]  Shout out to my good friend Glen Geroni big
[01:35.140 --> 01:39.220]  Thanks and big shout out to everybody who continues to support the show on patreon
[01:39.220 --> 01:44.260]  If you are not already supporting the show and you would like to learn how to do so all you've got to do is visit
[01:45.260 --> 01:47.260]  www.patreon.com
[01:47.460 --> 01:52.060]  Forward slash grow from your heart all of the information you need will be right there on the screen
[01:52.060 --> 01:52.780]  Of course
[01:52.780 --> 01:59.460]  I did include that link in the show notes and the video description to make it super easy for all of my friends. I
[02:00.860 --> 02:04.080]  Do want to thank everybody who sent me an update sent me a message
[02:04.500 --> 02:10.140]  Gave me a heads up that there is a problem with the podcast on Apple podcast stitcher radio
[02:10.380 --> 02:17.660]  Spotify all those services have been having a technical issue with my podcast. I apologize. It is partially my fault
[02:17.660 --> 02:23.220]  It is partly blue host fault blue host did an update something in that update messed up my website
[02:23.220 --> 02:28.820]  You guys don't care about the details. However, I do know that the website either has been or is messed up
[02:28.820 --> 02:33.540]  I don't know if it's fixed by the time this episode comes out at recording time. It is like halfway fixed
[02:33.540 --> 02:36.300]  It seemed like it worked, but it was still kind of funky. Something was weird
[02:36.540 --> 02:41.760]  Anyway, I cannot fix upload correct adjust episodes on that service right now
[02:42.140 --> 02:45.740]  Hopefully by the time this comes out, we'll have some progress. But thank you for the heads up
[02:45.740 --> 02:52.500]  I do apologize that the episodes are not or were not available on the service in which you rely if that ever happens again
[02:52.500 --> 02:57.940]  Please do not be shy to notify me to give me a heads up that hey your podcast is broken. Something's going on
[02:57.940 --> 03:01.820]  I do like that. Sometimes that's how I find I find out that there is an episode
[03:01.820 --> 03:06.200]  So let me know the episodes that have disappeared or will not play will be posted soon
[03:06.200 --> 03:07.420]  Everything will be back to normal
[03:07.420 --> 03:15.020]  If you're hearing this that it's probably fixed in the future if you are not able to find the episodes on Spotify Apple podcast
[03:15.700 --> 03:21.740]  Stitcher radio any of those services simply check out YouTube so far YouTube has been reliable knock on wood
[03:22.260 --> 03:26.380]  YouTube is keeping us up. They haven't taken any videos down. I'm gonna talk any further about that
[03:27.060 --> 03:30.580]  If we disappear on the audio services, please do check out YouTube
[03:30.580 --> 03:34.140]  Maybe you've checked that out by now, but maybe you're just missing shows. I don't know
[03:35.780 --> 03:38.420]  And if you hear this in the future because you've been missing episodes
[03:38.420 --> 03:40.540]  I apologize that you missed a few episodes
[03:40.540 --> 03:45.380]  But please do catch up the episodes will be back in the feed as soon as we get things, correct
[03:45.380 --> 03:49.860]  And it just takes time you guys I got a wonderful web friend a web guy working on it big shout out to my web guy
[03:49.860 --> 03:53.420]  I don't know if he wants his name said out loud or anything, but thank you, bro. You're doing a great job
