[00:00.000 --> 00:09.960]  Yeah, welcome back podcast world. I'm your host my friends call me Rasta Jeff and this is episode
[00:11.000 --> 00:14.760]  644 of the grow from your heart podcast in this episode
[00:14.760 --> 00:19.060]  I'm going to answer a couple of emails and a couple of patreon questions before we get there
[00:19.060 --> 00:23.080]  Let's do a few shout outs to a few of those fine folks who support us on patreon
[00:23.400 --> 00:28.580]  Let's start off with the big grow from your heart podcast. Thank you. Shout out to my friend Saxon Snowden
[00:28.620 --> 00:32.820]  Let's send a thank-you. Shout out to JT grows and levity love day. Let's send a big
[00:32.820 --> 00:36.340]  Thank you. Shout out to Alabama man and Glenn Geroni. Let's send a big
[00:36.340 --> 00:38.500]  Thank you. Shout out to Gramps mammal and single T
[00:38.500 --> 00:41.380]  I want to send a thank you shout out to tree him up and dang grows
[00:41.580 --> 00:46.960]  Let's send a big thank you. Shout out to Guido and mister and then let's wrap it all up with the big grow from your heart
[00:47.060 --> 00:51.220]  Podcast. Thank you. Shout out to my friend the canna crat big
[00:51.220 --> 00:55.500]  Thanks and big shout out to everybody who continues to support the show on patreon
[00:55.500 --> 01:00.620]  If you are not already supporting the show and you would like to learn how to do so all you have to do is visit
[01:00.620 --> 01:02.620]  www.patreon.com
[01:03.780 --> 01:08.020]  Forward slash grow from your heart. All of the information you need is right there on the screen
[01:08.020 --> 01:13.300]  And of course, I did include a link in the show notes and the video description to make it nice and easy
[01:13.420 --> 01:18.900]  For all of my friends, you know the slogan if you're driving if you're working if you're trimming don't take off your gloves
[01:18.900 --> 01:22.620]  Don't crash the car. Don't get in trouble at work to support me on patreon
[01:22.620 --> 01:24.620]  The link will be right there when you're ready
[01:24.660 --> 01:25.980]  patreon.com
[01:25.980 --> 01:29.500]  Forward slash grow from your heart by the way
[01:29.500 --> 01:34.440]  If you're listening to this at the grow if you're working make sure the rest of the crew is listening to introduce the gang
[01:34.580 --> 01:37.940]  To the grow from your heart podcast make everybody a better grower
[01:38.300 --> 01:41.960]  Get everybody on the same team share the show with your friends. All right
[01:42.420 --> 01:45.620]  So I've been asked a couple of questions lately that we're gonna start the show off here
[01:45.620 --> 01:47.980]  I get a lot of questions saying hey
[01:47.980 --> 01:55.580]  Where can I find either your seeds your clones your flowers or some sort of I read genetics products in dispensaries?
[01:56.020 --> 02:01.800]  Maybe I should give you a little recap. Maybe not. Everybody knows not only am I the host of the grow from your heart podcast?
[02:01.800 --> 02:04.340]  I am also the owner founder sole proprietor
[02:05.120 --> 02:08.640]  The head motherfucker in charge of I read genetics premium seeds
[02:08.820 --> 02:14.520]  So I do run I read genetics premium seeds a lot of people see my Instagram posts my social media posts
[02:14.520 --> 02:20.920]  They want my flowers. They want clones and they want my seeds. So they ask where do I get that stuff in, Colorado?
[02:22.560 --> 02:26.520]  Unfortunately, once I sell the seeds, I don't know where they go
[02:26.520 --> 02:33.960]  So, I don't know what dispensary is growing my seeds my strains my clones. I don't know. I don't monitor the seeds
[02:33.960 --> 02:36.440]  I don't track the clones. I don't know where that stuff goes
[02:36.440 --> 02:42.100]  I don't know exactly what dispensary will have what products in stock on the shelf at any time
[02:42.140 --> 02:44.140]  I do know there are several
[02:44.660 --> 02:48.600]  commercial recreational and medical dispensaries throughout, Colorado that do have
[02:48.980 --> 02:53.660]  My clones my plants in there grows, but I can't promise you when it will be on the shelf
[02:53.660 --> 02:58.580]  They've got to grow it. They've got to harvest it dry it cure it manifest it transfer it over the store
[02:58.580 --> 03:00.860]  It's got to be on the shelf. It's got to be there when you get there
[03:00.860 --> 03:06.180]  I really have no way of knowing what happened. That's just it's their product once they've got the seeds
[03:06.180 --> 03:08.220]  It is theirs once you guys have purchased the seeds
[03:08.620 --> 03:12.100]  You can ask me questions about how to grow it and whatnot, but those are your seeds
[03:12.100 --> 03:13.940]  You can do whatever you want with them
[03:13.940 --> 03:18.380]  And yes, you do have my blessing to breed with the seeds that you get from me
[03:18.380 --> 03:20.580]  Please do breed with them in exchange
[03:20.580 --> 03:26.300]  Give me credit when you list the genetics on your pack at least put the proper strain name and then maybe send me a 10
[03:26.300 --> 03:27.940]  Pack of something if you bred something cool
[03:27.940 --> 03:33.900]  But I'm not sure where to get flowers or clones of my genetics in dispensaries in, Colorado
[03:34.660 --> 03:39.940]  Also, you cannot get my seeds in anywhere in Colorado just because of the way that Colorado law is set up
[03:40.260 --> 03:45.320]  There are some boundaries there. I do recommend the online vendors for seeds check out my website
[03:45.320 --> 03:51.300]  I read genetics calm that will give you a link to approximately seven vendors on there. We will be adding more
[03:51.980 --> 03:55.580]  Shortly, I'm just updating checking emails getting all that stuff caught up seeing what I can handle
[03:55.580 --> 03:59.340]  Honestly, I don't want to promise too many vendors things that I cannot send to them
[03:59.340 --> 04:05.840]  So the seeds are available on the internet. You've got to go to I read genetics calm maybe seeds here now calm
[04:06.260 --> 04:11.060]  Maybe dank seed store. There are a lot of different options. My website has a big list
[04:11.500 --> 04:16.500]  They will all have different stuff in stock. They'll be doing different deals different pricing. That is all up to them
[04:16.500 --> 04:21.060]  They run their business how they would like but their websites are all linked up to my website
[04:21.220 --> 04:25.020]  So the seeds you can get them on the website clones and flowers
[04:25.020 --> 04:30.020]  I do not know where to tell you to get clones or flowers or finished product. I will not ship you anything
[04:30.020 --> 04:32.860]  I will not mail you anything. I will not meet you anywhere for anything
[04:33.060 --> 04:38.220]  You've got to use the apps that are available to shop the dispensaries. There are a couple apps you can use
[04:38.220 --> 04:42.260]  I'm not sure what you like the best use the one you're using type in a strain name
[04:42.260 --> 04:47.100]  Look for a dispensary where you are or where you're going or in that area and see if it is available
[04:47.100 --> 04:53.020]  I know that randomly I don't endorse any specific dispensary. I just happen to know that occasionally
[04:53.020 --> 04:59.280]  Occasionally randomly a place called trench town has a couple of IRI genetic strains call before you drive
[04:59.860 --> 05:03.660]  They may not even tell you anything on the phone. You may have to check out the website or something
