[00:00.000 --> 00:07.000]  Alright, here we go.
[00:07.000 --> 00:08.440]  Welcome to the show, Podcast World.
[00:08.440 --> 00:14.440]  I'm your host, my friends call me Rasta Jeff, and this is episode 648 of the Grow From Your
[00:14.440 --> 00:15.440]  Heart Podcast.
[00:15.440 --> 00:18.480]  In this episode, I'm going to focus on grow questions.
[00:18.480 --> 00:21.680]  Before we get there, let's do a few shout outs to a few of the great folks who support
[00:21.680 --> 00:23.240]  us on Patreon.
[00:23.240 --> 00:26.880]  Let's start off with a big Grow From Your Heart Podcast thank you shout out to my friend
[00:26.880 --> 00:27.880]  13Spark13.
[00:27.880 --> 00:32.040]  Let's send a big thank you shout out to DZ from Detroit and Brendan Grose.
[00:32.040 --> 00:35.800]  Let's send a big thank you shout out to Growman Stan and Canna Reaper.
[00:35.800 --> 00:39.920]  I want to send a big thank you shout out to Nicholas Anderson and Red Eyed Optimist.
[00:39.920 --> 00:43.200]  Let's send a big shout out to a long time supporter, The Bafsta.
[00:43.200 --> 00:46.040]  Let's send a big thank you shout out to my buddy Crazy Hand Grose.
[00:46.040 --> 00:49.320]  I want to send a huge thank you shout out to Black Hippie and Lefty's Farm.
[00:49.320 --> 00:52.960]  And then let's wrap it up with a big Grow From Your Heart Podcast thank you shout out
[00:52.960 --> 00:55.680]  to my friend Kes Burton.
[00:55.680 --> 01:00.040]  Big thanks and big shout out to everybody who continues to support the show on Patreon.
[01:00.040 --> 01:03.560]  If you are not already supporting the show and you would like to learn how to do so,
[01:03.560 --> 01:09.680]  all you have to do is visit www.patreon.com forward slash grow from your heart.
[01:09.680 --> 01:12.960]  All of the information you need is right there on the screen and you know I do include a
[01:12.960 --> 01:18.220]  link in the show notes and the video description to make it nice and easy for all of my friends.
[01:18.220 --> 01:21.600]  Maybe you're working, maybe you're driving, maybe you're in the cubicle, maybe you're
[01:21.600 --> 01:23.000]  chasing the kids around.
[01:23.000 --> 01:24.000]  I don't want you to get in trouble.
[01:24.000 --> 01:25.000]  I don't want you to crash the car.
[01:25.320 --> 01:26.320]  I don't want you to get fired.
[01:26.320 --> 01:29.320]  Find that Patreon link when you have got time.
