[00:00.000 --> 00:22.520]  Alright, here we go.
[00:22.520 --> 00:24.200]  Welcome to the show podcast world.
[00:24.200 --> 00:31.160]  I'm your host my friends call me Rasta Jeff and this is episode 669 of the grow from your
[00:31.160 --> 00:32.160]  heart podcast.
[00:32.160 --> 00:35.920]  In this episode, I'm going to read a couple of viewer emails.
[00:35.920 --> 00:37.640]  Before we get to that part of the show.
[00:37.640 --> 00:42.680]  Let's do a few shout outs to a few of the great folks who support the show on Patreon.
[00:42.680 --> 00:45.240]  Let's start off with a big grow from your heart podcast.
[00:45.240 --> 00:46.240]  Thank you.
[00:46.240 --> 00:47.240]  Shout out to Moroni.
[00:47.240 --> 00:51.760]  Let's send a big thank you shout out to Alan H and Chandler W. Let's send a big fist bump
[00:51.760 --> 00:54.160]  and a thank you shout out to Cintamia.
[00:54.160 --> 00:57.500]  Let's send a thank you to a new supporter growing Tennessee.
[00:57.500 --> 01:01.920]  Let's also send another thank you to another new supporter Sam heads DGC.
[01:01.920 --> 01:05.280]  Let's send a big fist bump and a thank you shout out to a longtime supporter my friend
[01:05.280 --> 01:06.760]  Riven Waters.
[01:06.760 --> 01:11.160]  Let's send a big fist bump to another friend and a longtime supporter crazy hand grows.
[01:11.160 --> 01:14.200]  And let's wrap it all up with a big grow from your heart podcast.
[01:14.200 --> 01:15.200]  Thank you.
[01:15.200 --> 01:17.360]  Shout out to my buddy Billy poe dog.
[01:17.360 --> 01:22.320]  Big thanks and big shout out to everybody who continues to support the show on Patreon.
[01:22.320 --> 01:26.000]  If you are not already supporting the show and you would like to learn how to do so all
[01:26.000 --> 01:32.960]  you have to do is visit www.patreon.com forward slash grow from your heart.
[01:32.960 --> 01:35.640]  All of the information you need is right there on the screen.
[01:35.640 --> 01:40.720]  And you know I do include a link in the show notes to make it nice and easy for all of
[01:40.720 --> 01:42.600]  my friends.
[01:42.600 --> 01:46.160]  This is the part of the show where I do invite you to the discord server.
[01:46.160 --> 01:47.160]  That's right.
[01:47.160 --> 01:51.680]  There is an iri genetics grow from your heart podcast discord server and you are invited.
[01:51.680 --> 01:53.360]  I would love to have you there.
[01:53.360 --> 01:56.240]  There's a link in the show notes and the video description.
[01:56.240 --> 01:59.520]  And we recently added a link on the website.
[01:59.520 --> 02:00.520]  That's right.
[02:00.520 --> 02:04.680]  If you go to the iri genetics website at iri genetics calm on the top of the website, you
[02:04.680 --> 02:07.160]  will see a link that says discord.
[02:07.160 --> 02:08.400]  Simply click on that link.
[02:08.400 --> 02:09.480]  And guess what?
[02:09.480 --> 02:11.560]  You'll go right to the discord server.
[02:11.560 --> 02:12.600]  We do invite you.
[02:12.600 --> 02:14.240]  We do encourage you to join us.
[02:14.240 --> 02:19.600]  And I look forward to seeing you on the iri genetics grow from your heart podcast discord
[02:19.600 --> 02:21.000]  server.
[02:21.000 --> 02:24.080]  I do want to send a big thank you shout out to my buddy Mobius grows.
[02:24.080 --> 02:25.080]  What's up bro?
[02:25.080 --> 02:30.120]  Big shout out and big thank you for the great tester update report video.
[02:30.120 --> 02:31.120]  That's right.
[02:31.120 --> 02:33.040]  My buddy Mobius is testing some seeds for me.
[02:33.040 --> 02:34.440]  He's got some new seeds.
[02:34.440 --> 02:35.920]  He's running a test grow.
[02:35.920 --> 02:39.320]  And today I received a great email with a detailed video.
[02:40.160 --> 02:42.280]  He walks around the grow and he says, this is one phenotype.
[02:42.280 --> 02:43.280]  This is another.
[02:43.280 --> 02:45.200]  These are some traits each phenotype has.
[02:45.200 --> 02:46.320]  These are commonalities.
[02:46.320 --> 02:47.600]  These are differences.
[02:47.600 --> 02:48.600]  This is what I'm feeding.
[02:48.600 --> 02:49.600]  This is what I've done.
[02:49.600 --> 02:50.600]  This is what the room is like.
[02:50.600 --> 02:55.140]  It was like I was hanging out with my own plants and his grow, hanging out with my babies
[02:55.140 --> 02:58.080]  and his grow, hanging out with his babies and his grow.
[02:58.080 --> 02:59.680]  It was a great experience.
[02:59.680 --> 03:01.200]  That is great work from a tester.
[03:01.200 --> 03:02.200]  I do appreciate that.
[03:02.200 --> 03:03.360]  I love that sort of stuff.
[03:03.360 --> 03:06.680]  So if you're testing for me, please do send videos.
[03:06.680 --> 03:09.040]  It was like a FaceTime video with my kids or something.
[03:09.040 --> 03:10.040]  It's like, here's the babies.
[03:10.040 --> 03:14.040]  And I got to see the kids at play, playing in the playground with each other, looking
[03:14.040 --> 03:15.840]  beautiful, put a smile on my face.
[03:15.840 --> 03:17.640]  So Mobius, good work, bro.
[03:17.640 --> 03:18.640]  Big fist bump.
[03:18.640 --> 03:21.600]  I wish more testers would be like you.
[03:21.600 --> 03:23.160]  Let's segue right into this part.
[03:23.160 --> 03:25.720]  I will need more testers very soon.
[03:25.720 --> 03:29.680]  So if you've been sending me a tester applications, don't worry.
[03:29.680 --> 03:30.800]  Those are saved in a folder.
[03:30.800 --> 03:32.560]  I did not delete those, throw those away.
[03:32.560 --> 03:35.280]  They're all in a folder on the desktop.
[03:35.280 --> 03:39.080]  So whenever I need some testers, I just go right to the email, open up that folder, and
[03:39.080 --> 03:42.760]  I can find all the applicants in there, go through, find some good candidates that I
[03:42.760 --> 03:44.360]  think may be a tester.
[03:44.360 --> 03:49.960]  If you have not already applied to be a tester, there's a full episode about being a tester.
[03:49.960 --> 03:55.320]  Make sure you listen to that episode, then apply following the instructions within that
[03:55.320 --> 03:57.040]  episode.
[03:57.040 --> 04:00.240]  I did talk recently about Mephisto Genetics.
[04:00.240 --> 04:02.120]  I do need to make an update.
[04:02.280 --> 04:07.480]  Daz, the guy that I knew that I had a friendship with from Mephisto Genetics, has now started
[04:07.480 --> 04:09.760]  what is known as Night Owl Genetics.
[04:09.760 --> 04:15.480]  Make sure you check out Night Owl Genetics for your auto-flowering seeds needs.
[04:15.480 --> 04:17.680]  I do support Daz, great guy.
[04:17.680 --> 04:20.080]  So make sure you check them out if you're into the auto-flowers.
[04:20.080 --> 04:26.800]  All right, I do have a question here in front of me that I do want to address.
[04:26.800 --> 04:29.080]  This comes from a previous episode.
[04:29.080 --> 04:33.360]  In a previous episode, I read a question about a commercial grow whose plants were
[04:33.360 --> 04:34.360]  getting too tall.
[04:34.360 --> 04:39.600]  They weren't finishing on time, and people wanted to send me a lot of suggestions, a
[04:39.600 --> 04:42.120]  lot of ideas on what to do with this grow.
[04:42.120 --> 04:45.640]  We did receive a lot of great input, a lot of great ideas.
[04:45.640 --> 04:50.720]  However, there were a lot of small adjustments and small details that weren't going to make
[04:50.720 --> 04:57.480]  a big enough impact overall in this commercial grow to make it worth the time, energy, money,
[04:57.480 --> 04:59.800]  and effort to make those changes in this grow.
[04:59.800 --> 05:01.700]  This is a commercial environment.
[05:01.700 --> 05:06.120]  Think about if we're going to make a small adjustment in your grow, think about the time,
[05:06.120 --> 05:10.000]  energy, and cost it takes to make it in your grow, and then think if we're going to do
[05:10.000 --> 05:15.880]  that in a commercial environment, it costs 100 times the cost to do that.
[05:15.880 --> 05:19.440]  Because if you're doing it to one light, we're doing it to 100.
[05:19.440 --> 05:21.600]  We've got to repeat the process 100 times.
[05:21.600 --> 05:23.840]  We have to buy the equipment 100 times.
[05:23.840 --> 05:29.680]  We have to take the manpower or womanpower to install or adjust or adapt that new equipment.
[05:29.680 --> 05:30.840]  We have to test the equipment.
[05:30.840 --> 05:32.400]  We have to learn the equipment.
[05:32.400 --> 05:36.040]  It takes a lot of time to have people come in there, a lot of money, a lot of energy.
[05:36.040 --> 05:40.800]  And then in the long run, if you've got your personal grow with two, four, one, however
[05:40.800 --> 05:43.240]  many small lights you've got going, I'm not downplaying your grow.
[05:43.240 --> 05:45.760]  I'm saying your personal grow is a small grow.
[05:45.760 --> 05:46.760]  That's your grow.
[05:46.760 --> 05:50.120]  In a commercial environment, we're doing things on an exponential scale compared to what you've
[05:50.120 --> 05:52.520]  got going at home in most cases.
[05:52.640 --> 05:57.720]  In a commercial environment, we're getting very little return on our investment after
[05:57.720 --> 06:03.280]  staffing, after payroll, after the rent on the building, the electricity on the building,
[06:03.280 --> 06:09.520]  licensing, taxes, packaging, transportation fees, workman's comp lawyers, the lawyer,
[06:09.520 --> 06:13.200]  the accountant, all of that stuff eats into all of our profit.
[06:13.200 --> 06:18.280]  And hopefully, it's just you, your trimming partner, and hopefully the lawyer is all that
[06:18.280 --> 06:19.280]  you've got to pay.
[06:19.280 --> 06:21.160]  Hopefully, you've got that lawyer on retainer to take care of that.
[06:21.160 --> 06:24.360]  If you're growing, everybody growing should have a lawyer no matter what you're doing.
[06:24.360 --> 06:25.720]  I should have a lawyer anyway.
[06:25.720 --> 06:31.320]  But my point is that in a home grow, your return on investment is much greater, and
[06:31.320 --> 06:34.880]  our return on investment in a commercial grow is much smaller because we have much more
[06:34.880 --> 06:37.320]  expenses, many more expenses.
[06:37.320 --> 06:42.200]  So making small adjustments like that are much more costly than it would be in a small
[06:42.200 --> 06:43.200]  environment.
[06:43.200 --> 06:45.920]  We've got to repeat it 100 times if we have 100 lights.
[06:45.920 --> 06:51.440]  There were some great recommendations, things like changing the light spectrum and changing
[06:51.440 --> 06:57.000]  the temperature in the night, things like that that would help, but not to the degree
[06:57.000 --> 06:59.660]  which we need help in this commercial environment.
[06:59.660 --> 07:04.760]  Those plants were obviously being flowered, being veg for two or three weeks too long.
[07:04.760 --> 07:05.760]  They're getting too big.
[07:05.760 --> 07:07.680]  They just needed to be done sooner.
[07:07.680 --> 07:09.320]  We couldn't, it was a commercial environment.
[07:09.320 --> 07:11.200]  People said, raise the fans, raise the lights.
[07:11.200 --> 07:12.480]  It's a commercial grow, bro.
[07:12.480 --> 07:16.600]  We probably got three foot tall tables, 12 foot lights, 18 foot ceilings.
[07:16.600 --> 07:17.920]  We've maxed out with what we can do.
[07:17.920 --> 07:20.040]  We can't just raise the lights.
[07:20.040 --> 07:24.080]  We can't go around and put blue lights up everywhere.
[07:24.080 --> 07:25.080]  Then where's the profit?
[07:25.080 --> 07:27.160]  If you've got a commercial grow, then where did the profit go?
[07:27.160 --> 07:28.160]  There are 100 lights.
[07:28.160 --> 07:30.800]  You've got to replace half of them with blue bulbs.
[07:30.800 --> 07:32.080]  That's 50 bulbs you've got to buy.
[07:32.080 --> 07:33.440]  They're $100 each.
[07:33.440 --> 07:34.440]  You do the math on there.
[07:34.440 --> 07:35.440]  That's $5000.
[07:35.440 --> 07:36.560]  I know that's not a real number.
[07:36.560 --> 07:37.960]  I'm hoping you're paying attention.
[07:37.960 --> 07:42.080]  All right, so there were a lot of great ideas, but most of them are not feasible.
[07:42.680 --> 07:44.680]  The main solution to that is better scheduling.
[07:44.680 --> 07:46.200]  The plants were too big.
[07:46.200 --> 07:47.200]  We know they're too big.
[07:47.200 --> 07:48.720]  They're repeatedly too big.
[07:48.720 --> 07:49.720]  They're growing into the lights.
[07:49.720 --> 07:51.040]  They're growing into the fans.
[07:51.040 --> 07:54.360]  The easy, logical solution is flower earlier.
[07:54.360 --> 07:55.400]  Have smaller plants.
[07:55.400 --> 07:56.440]  Don't grow them so damn big.
[07:56.440 --> 07:57.440]  They're more manageable.
[07:57.440 --> 07:58.680]  They're healthy.
[07:58.680 --> 08:01.400]  Less time on the road is less time for a crash.
[08:01.400 --> 08:06.760]  Also, if those plants are only in the room for a total of like four weeks of veg and
[08:06.760 --> 08:11.120]  fucking nine weeks of flower, that's two or three weeks less opportunity for powdery mildew,
[08:11.160 --> 08:16.160]  spider mites, thrips, fungus gnats, overwatering, pH lockout, power failures, other weird shit
[08:16.160 --> 08:21.160]  to go on because in a commercial environment, all things that can go wrong will until you
[08:21.160 --> 08:24.280]  get the facility dialed in and everything is perfect.
[08:24.280 --> 08:28.000]  Things will go and then things will continue to go wrong because pumps will go out, power
[08:28.000 --> 08:30.840]  will fail, air conditioners will fail.
[08:30.840 --> 08:32.240]  Weird shit's gonna happen all the time.
[08:32.240 --> 08:33.440]  You've got to adjust and adapt.
[08:33.440 --> 08:35.360]  I've talked about that enough.
[08:35.360 --> 08:38.600]  So that's a good setup for this one message that I did get.
[08:38.600 --> 08:40.320]  I've been talking quite a bit.
[08:40.320 --> 08:44.440]  This one says, Rasta Jeff, question on what you said on not being able to shorten the
[08:44.440 --> 08:45.440]  flowering phase.
[08:45.440 --> 08:49.000]  Yes, on that episode I did say that we can't shorten the flowering phase.
[08:49.000 --> 08:52.760]  The plants have to flower for their nine or 10 weeks until they're finished and that we
[08:52.760 --> 08:57.280]  should shorten the veg phase because then you just start with smaller plants.
[08:57.280 --> 08:59.320]  You don't grow them as big and they don't finish as big.
[08:59.320 --> 09:00.760]  It makes sense to me.
[09:00.760 --> 09:02.080]  But this one was a great question.
[09:02.080 --> 09:08.360]  It says, isn't that what new millennium winter frost claims to do on the Dude Grow Show?
[09:08.400 --> 09:12.240]  I think Jaren, the new millennium guy, said you can get different strains to finish at
[09:12.240 --> 09:13.800]  the same time.
[09:13.800 --> 09:18.920]  Yes, the new millennium product, the winter frost product from new millennium will cause
[09:18.920 --> 09:22.600]  the plants to go into their finishing stage a little more quickly.
[09:22.600 --> 09:23.640]  They will start ripening.
[09:23.640 --> 09:27.640]  They will go into senescence a little bit sooner when you feed them that product.
[09:27.640 --> 09:28.880]  They will be triggered.
[09:28.880 --> 09:30.840]  There's something in there that tells them, hey, it's the end.
[09:30.840 --> 09:34.200]  It's time to go to the end phase.
[09:34.880 --> 09:40.120]  Would you rather have a room that's proper or would you rather have to feed a product
[09:40.120 --> 09:42.960]  that is going to trigger the finishing?
[09:42.960 --> 09:46.920]  You could put a bandaid on it and spend all kinds of money on this product or you could
[09:46.920 --> 09:49.600]  fix the schedule and do it right.
[09:49.600 --> 09:53.400]  Also, this product isn't going to cut two or three weeks off.
[09:53.400 --> 09:57.800]  This may cut five, maybe seven days, maybe 10 at the most, but it's not going to cut
[09:57.800 --> 10:00.200]  that many days off your full cycle.
[10:00.200 --> 10:04.600]  The grow we were talking about, it sounded like they needed two, maybe three full weeks
[10:04.600 --> 10:06.440]  cut off of their process.
[10:06.440 --> 10:11.440]  That's a great idea to use the new millennium winter frost, but it's not going to be a drastic
[10:11.440 --> 10:12.960]  enough change.
[10:12.960 --> 10:16.320]  Speaking of drastic changes, here's another great thing we can talk about.
[10:16.320 --> 10:18.760]  Diurnal temperature swings.
[10:18.760 --> 10:22.360]  If we narrow down that swing, if we don't have more than five degrees between our day
