[00:00.250 --> 00:13.050]  Alright, here we go.
[00:13.050 --> 00:14.690]  Welcome to the show, Podcast World.
[00:14.690 --> 00:21.330]  I'm your host, my friends call me Rasta Jeff, and this is episode 677 of the Grow From Your
[00:21.330 --> 00:22.990]  Heart Podcast.
[00:22.990 --> 00:25.890]  In this episode, I'm going to go over a little checklist I've created.
[00:26.210 --> 00:30.350]  I've got a list of things that can help us keep our plants and our garden and our equipment
[00:30.350 --> 00:32.190]  in top working order.
[00:32.190 --> 00:36.030]  Before I get to that list, let's do a few shout outs to a few of those great folks who
[00:36.030 --> 00:38.570]  support the show on Patreon.
[00:38.570 --> 00:42.510]  Let's start off with a big Grow From Your Heart Podcast thank you shout out to Red Eyed
[00:42.510 --> 00:43.670]  Optimist.
[00:43.670 --> 00:46.130]  Let's send a big thank you shout out to Mr. Mean Green.
[00:46.130 --> 00:49.470]  I want to send a fist bump and a thank you shout out to Rasta Green Thumb.
[00:49.470 --> 00:51.630]  Let's send a thank you shout out to Brendan Grows.
[00:51.630 --> 00:55.310]  I want to send a big thank you shout out to a longtime supporter, my buddy Made While
[00:55.310 --> 00:56.310]  Medicated.
[00:56.310 --> 00:58.070]  Let's send a big thank you shout out to Luke.
[00:58.070 --> 01:01.710]  I want to send a fist bump and a thank you shout out to Thomas M. Let's send a big high
[01:01.710 --> 01:05.910]  five and a thank you shout out to a longtime supporter, my buddy Godfather Kush.
[01:05.910 --> 01:09.790]  Let's send a thank you shout out to another longtime supporter, Zaxxon Starker.
[01:09.790 --> 01:12.190]  Let's not forget about my buddy Captain Mojo.
[01:12.190 --> 01:16.930]  Then let's wrap it all up with a big thank you shout out to my buddy Mobius Grows.
[01:16.930 --> 01:21.730]  Big thanks and big shout out to everybody who continues to support the show on Patreon.
[01:21.730 --> 01:25.410]  If you are not already supporting the show and you would like to learn how to do so,
[01:25.410 --> 01:31.810]  all you have to do is visit www.patreon.com forward slash grow from your heart.
[01:31.810 --> 01:35.070]  All of the information you need is right there on the screen and you know I do include a
[01:35.070 --> 01:41.890]  link in the show notes and in the video description to make it nice and easy for all of my friends.
[01:41.890 --> 01:45.690]  Speaking of show notes and video descriptions, this is the part of the show where I invite
[01:45.690 --> 01:49.130]  you to join the iRegenetics Discord server.
[01:49.130 --> 01:54.090]  There are approximately 1,500 members of the iRegenetics Discord server and honestly, I
[01:54.090 --> 01:56.090]  don't know why you were missing the party.
[01:56.090 --> 01:57.090]  Join us.
[01:57.090 --> 01:58.090]  It's a good time.
[01:58.090 --> 01:59.090]  It's a party.
[01:59.090 --> 02:00.810]  There are a lot of great things going on on the Discord server.
[02:00.810 --> 02:02.450]  We are doing actions and waffles.
[02:02.450 --> 02:05.370]  Today somebody got a great pack of unreleased seeds.
[02:05.370 --> 02:08.610]  They've got a one of one pack, some seeds that have never been released.
[02:08.610 --> 02:09.970]  They've got the only pack so far.
[02:09.970 --> 02:12.990]  They got that on the Discord on a waffle there.
[02:12.990 --> 02:16.410]  The only way to get access to that was the Discord server.
[02:16.410 --> 02:17.410]  Join us on the Discord.
[02:17.410 --> 02:18.490]  I talk about it a lot.
[02:18.490 --> 02:19.490]  There are actions.
[02:19.490 --> 02:21.090]  There are waffles happening.
[02:21.090 --> 02:22.730]  There is yoga going on.
[02:22.730 --> 02:24.090]  There is grow talk happening.
[02:24.090 --> 02:28.010]  There's help and advice and just random hanging out over on the Discord.
[02:28.010 --> 02:29.010]  I do invite you.
[02:29.010 --> 02:30.010]  Join me.
[02:30.010 --> 02:32.310]  There's a link of course in the show notes and the video description.
[02:32.310 --> 02:34.970]  I do look forward to seeing you on the Discord server.
[02:34.970 --> 02:36.990]  I will be there as soon as I'm done recording.
[02:36.990 --> 02:40.770]  It takes a little while for that file from that camera and that camera to load up into
[02:40.770 --> 02:41.770]  the computer.
[02:41.770 --> 02:45.230]  Once that's done loading, I go take dabs in the Discord server with the crew.
[02:45.230 --> 02:47.750]  So that's my way of winding down and hanging out.
[02:47.750 --> 02:48.750]  Join me.
[02:48.750 --> 02:49.750]  I might be there when you pop in.
[02:49.750 --> 02:50.750]  All right.
[02:50.750 --> 02:53.330]  That's enough rambling about the Discord server.
[02:53.330 --> 02:54.930]  What else do we want to talk about?
[02:54.930 --> 02:56.910]  Let's get right into the main topic of this show.
[02:56.910 --> 02:57.910]  We've been talking enough.
[02:57.910 --> 02:59.390]  Let's get right to the main part.
[02:59.390 --> 03:01.310]  This show will come out right before the first.
[03:01.310 --> 03:04.910]  I think it actually comes out on the 31st if there are that many days this month.
[03:04.910 --> 03:06.070]  I didn't keep good count.
[03:06.070 --> 03:08.690]  We should be right about the first as this episode comes out.
