[00:01.790 --> 00:18.200]  Alright, here we go.
[00:18.200 --> 00:19.880]  Welcome to the show, Podcast World.
[00:19.880 --> 00:26.420]  I'm your host, my friends call me Rasta Jeff, and this is episode 679 of the Grow From Your
[00:26.420 --> 00:28.000]  Heart Podcast.
[00:28.000 --> 00:31.500]  In this episode, I'm going to focus on a couple of Patreon questions.
[00:31.500 --> 00:34.760]  Before we get to that part of the show, I'd like to do a few shout-outs to a few of those
[00:34.760 --> 00:38.920]  great folks who continue to support the show on Patreon.
[00:39.000 --> 00:42.380]  Let's kick it off with a big Grow From Your Heart Podcast, thank you, shout-out to Mr.
[00:42.380 --> 00:43.380]  Mean Green.
[00:43.380 --> 00:46.700]  Let's send a big thank you shout-out to a longtime supporter of Brian Pyo.
[00:46.700 --> 00:50.700]  Let's send a fist bump and a thank you shout-out to another long-time supporter, my buddy Godfather
[00:50.700 --> 00:51.700]  Kush.
[00:51.700 --> 00:54.240]  Let's send a big fist bump and a thank you shout-out to Eldersgarden.
[00:54.240 --> 00:57.380]  Let's send a big thank you shout-out to Stone TroutBum.
[00:57.380 --> 01:00.260]  I want to send a fist bump and a thank you shout-out to Gnomeybymyguacamole.
[01:00.260 --> 01:03.960]  Let's send a big fist bump and a thank you shout-out to Roll This Nug.
[01:03.960 --> 01:06.740]  Also, I want to send a thank you shout-out to Rollme1Kenobe.
[01:06.740 --> 01:10.340]  Let's send a big thank you shout out to my buddy NorthNorthTurps.
[01:10.340 --> 01:11.340]  What's up bro?
[01:11.340 --> 01:12.340]  Hope you're doing well.
[01:12.340 --> 01:14.500]  Let's send a big thank you shout out to Noah N.
[01:14.500 --> 01:17.220]  I want to send a thank you shout out to Root305.
[01:17.220 --> 01:19.820]  Let's send a big fist bump to BigSexyDank.
[01:19.820 --> 01:23.700]  Then let's wrap that all up with a big Grow From Your Heart podcast thank you shout out
[01:23.700 --> 01:26.220]  to my friend Growing Tennessee.
[01:26.220 --> 01:31.020]  Big thanks and big shout out to everybody who continues to support the show on Patreon.
[01:31.020 --> 01:34.680]  If you are not already supporting the show and you would like to learn how to do so,
[01:34.680 --> 01:41.040]  all you have to do is visit www.patreon.com forward slash growfromyourheart.
[01:41.040 --> 01:44.360]  All of the information you need is right there on the screen and you know I do include a
