[00:00.060 --> 00:19.240]  Alright, here we go.
[00:19.240 --> 00:20.920]  Welcome to the show, Podcast World.
[00:20.920 --> 00:27.960]  I'm your host, my friends call me Rasta Jeff, and this is episode 692 of the Grow From Your
[00:27.960 --> 00:29.640]  Heart Podcast.
[00:29.640 --> 00:33.320]  In this episode, we're going to talk about my new strain called The Machine.
[00:33.320 --> 00:36.800]  Before we get to that part of the show, let's do a few shout outs to a few of the great
[00:36.800 --> 00:41.080]  folks who continue to support the show on Patreon.
[00:41.080 --> 00:45.360]  Let's kick it off with a big Grow From Your Heart Podcast thank you shout out to Jessica
[00:45.360 --> 00:50.040]  K. Let's send a thank you shout out and a fist bump to Frugal Rock and Freak Fish.
[00:50.040 --> 00:54.200]  Let's send a fist bump and a thank you shout out to Brian P. and Double D. I want to send
[00:54.200 --> 00:56.900]  a big thank you shout out to the Dad Haze.
[00:56.900 --> 01:00.240]  Let's send a fist bump and a thank you shout out to the New Old Guy.
[01:00.240 --> 01:03.160]  Let's send a thank you shout out to Blaze McConnell.
[01:03.160 --> 01:05.760]  Let's send a fist bump and a thank you shout out to Rasufa.
[01:05.760 --> 01:08.880]  I want to send a special thank you to my buddy Captain Mojo.
[01:08.880 --> 01:12.280]  Let's send a big thank you shout out to Sacred Tree Organic Farms.
[01:12.280 --> 01:16.200]  Then let's wrap it all up with a big Grow From Your Heart Podcast thank you shout out
[01:16.200 --> 01:18.440]  to my buddy Trike Man.
[01:18.440 --> 01:23.440]  Big thanks and big shout out to everybody who continues to support the show on Patreon.
[01:23.440 --> 01:27.220]  If you are not already supporting the show and you would like to learn how to do so,
[01:27.220 --> 01:33.840]  all you have to do is visit www.patreon.com forward slash grow from your heart.
[01:33.840 --> 01:36.640]  All of the information you need will be right there on the screen.
[01:36.640 --> 01:41.080]  And of course I do include a link in the show notes and in the video description to
[01:41.080 --> 01:44.120]  make it nice and easy for all of my friends.
[01:44.120 --> 01:48.600]  This is the part of the show where I remind you about the Black Friday sale on the iRegenetics
[01:48.600 --> 01:49.600]  merch store.
[01:49.600 --> 01:50.600]  That's right.
[01:50.600 --> 01:53.840]  If you're looking for fresh t-shirts, maybe you need a grinder, a tray, maybe a coffee
[01:53.840 --> 01:55.760]  mug, maybe a mood mat.
[01:55.760 --> 01:59.380]  Those things are now available on the iRegenetics merch store.
[01:59.380 --> 02:03.060]  All you have to do is go to the iRegenetics website, click on the merch tab that will
[02:03.060 --> 02:04.600]  take you right to the store.
[02:04.600 --> 02:08.560]  When you are checking out, use coupon code GFYH25.
[02:08.560 --> 02:11.900]  That will save you 25% off everything in the store.
[02:11.900 --> 02:15.880]  That sale does start on the 25th and that will end November 30th.
[02:15.880 --> 02:20.360]  Once again, the coupon code is GFYH25.
[02:20.360 --> 02:23.320]  All right, at the top of the show, I did say that we were going to talk about my new strain
[02:23.320 --> 02:24.320]  called The Machine.
[02:24.320 --> 02:28.240]  I do have a great email here from our friend Marco Esquandolos.
[02:28.240 --> 02:30.680]  Big shout out to my buddy Marco Esquandolos.
[02:30.680 --> 02:32.240]  Rye, rye, Rocco.
[02:32.240 --> 02:37.640]  The question goes, hey Rasta Jeff, I'm sure you get a lot of requests for podcasts dedicated
[02:37.640 --> 02:42.920]  to your seed varieties, but I thought I would ask a few specific questions to help spur
[02:42.920 --> 02:44.320]  your thoughts.
[02:44.320 --> 02:48.960]  This was a perfectly timed email because I am going to release The Machine and the Saka
[02:48.960 --> 02:51.240]  Souffle both on Black Friday.
[02:51.240 --> 02:53.840]  Those will be part of the Black Friday sale.
[02:53.840 --> 02:56.760]  He does ask about Saka Souffle and The Machine.
[02:56.760 --> 03:00.560]  This episode is going to be focused on The Machine, so I'm going to skip right to that
[03:00.560 --> 03:01.560]  question.
[03:01.600 --> 03:05.480]  The Machine, what is chemdelechem and which breeder?
[03:05.480 --> 03:06.480]  That's a very good question.
[03:06.480 --> 03:11.720]  There is more to this, but I kind of wanted to focus on those two strains for the next
[03:11.720 --> 03:12.800]  two episodes.
[03:12.800 --> 03:14.240]  This episode will be The Machine.
