[00:17.920 --> 00:19.720]  Hi-de-lee-ho, Podcast World.
[00:19.720 --> 00:20.720]  I'm your host.
[00:20.720 --> 00:22.720]  My friends call me Rasta Jeff.
[00:22.720 --> 00:27.640]  This is Episode 708 of the Grow From Your Heart Podcast.
[00:27.640 --> 00:30.520]  In this episode, we're going to talk about foliar feeding.
[00:30.520 --> 00:33.960]  Before we get to that part of the show, let's do a few shout-outs to a few of the great
[00:33.960 --> 00:38.320]  folks who continue to support the show on Patreon.
[00:38.320 --> 00:43.200]  Let's kick it off with a big Grow From Your Heart Podcast thank you shout-out to B. Bala.
[00:43.200 --> 00:46.920]  Let's send a big thank you shout-out to Doc Groves and Caribou Heart TV.
[00:46.920 --> 00:50.640]  Let's send a fist bump and a thank you shout-out to Kano Organic Illinois.
[00:50.640 --> 00:53.480]  Let's send a big thank you shout-out to my buddy, Glenn Gironi.
[00:53.480 --> 00:56.720]  Let's send a thank you shout-out to Jimmy Limmer and Grow Man Stan.
[00:56.720 --> 00:59.840]  I want to send a big fist bump to my friend, Stoner Dave.
[00:59.840 --> 01:03.120]  Let's send a thank you shout-out to Sam Heads and the new old guy.
[01:03.120 --> 01:04.800]  Let's send a thank you to Quazi.
[01:04.800 --> 01:08.640]  Then let's wrap it all up with the big Grow From Your Heart Podcast thank you shout-out
[01:08.640 --> 01:10.600]  to Jessica Kay.
[01:10.600 --> 01:15.600]  Big thanks and big shout-out to everybody who continues to support the show on Patreon.
[01:15.600 --> 01:19.360]  If you are not already supporting the show and you would like to learn how to do so,
[01:19.360 --> 01:25.760]  all you have to do is visit www.patreon.com forward slash grow from your heart.
[01:25.760 --> 01:28.560]  All of the information you need will be right there on the screen.
[01:28.560 --> 01:33.080]  And you know I do include that link in the show notes and in the video description to
[01:33.080 --> 01:36.040]  make it nice and easy for all of my friends.
[01:36.040 --> 01:40.400]  All right, I don't have anything to ramble about here at the start of the show.
[01:40.400 --> 01:44.620]  Let's jump right into a discussion about foliar feeding our plants.
[01:44.620 --> 01:45.940]  What is foliar feeding?
[01:45.940 --> 01:48.020]  That's a good place to start.
[01:48.020 --> 01:53.620]  Foliar feeding is spraying our plants with a nutrient solution to provide nutrients to
[01:53.620 --> 01:54.620]  the plants.
[01:54.620 --> 01:55.620]  That's right.
[01:55.620 --> 01:57.180]  Sometimes we can't water the plants.
[01:57.180 --> 02:00.040]  Sometimes it's not necessary to water the plant.
[02:00.040 --> 02:01.900]  Sometimes there are no roots to water.
[02:01.900 --> 02:06.500]  So we foliar feed that plant to give it nutrients, to give it life, to give it sustenance, to
[02:06.500 --> 02:11.360]  keep it green, vigorous, lush, and healthy throughout its life.
[02:11.360 --> 02:14.800]  Here are some things we would foliar feed our plants.
[02:14.800 --> 02:19.400]  Some very commonly fed things are nitrogen and calcium.
[02:19.400 --> 02:21.960]  I tried to combine that into one word.
[02:21.960 --> 02:23.520]  That has not been invented yet.
[02:23.520 --> 02:25.960]  It is still nitrogen and calcium.
[02:25.960 --> 02:29.460]  Also many micronutrients are good for foliar feeding.
[02:29.460 --> 02:30.840]  We can foliar feed a lot of things.
[02:30.840 --> 02:34.800]  The most important part about foliar feeding, I shouldn't say the most, one of the most
[02:34.800 --> 02:38.360]  important, a big important part is to have a strategy, have a goal.
[02:38.360 --> 02:40.240]  Why are you foliar feeding?
[02:40.240 --> 02:41.720]  What is the plant deficient in?
[02:41.720 --> 02:44.000]  What are you trying to boost up a little bit?
[02:44.000 --> 02:49.160]  Have a timing, a strategy, a rhyme, and a reason for it, or it can go terribly wrong.
[02:49.160 --> 02:50.360]  But it can be a great booster.
[02:50.360 --> 02:51.800]  It can be a great corrector.
[02:51.800 --> 02:55.680]  It can be a very useful tool in our arsenal as a grower.
[02:55.680 --> 02:57.720]  So let's talk about foliar feeding.
[02:57.720 --> 03:00.240]  I just mentioned why would we foliar feed some plants?
[03:00.240 --> 03:05.400]  I've got a very good example of why I foliar fed some plants just recently.
[03:05.400 --> 03:08.880]  I recently bought a new batch of soil.
[03:08.880 --> 03:09.880]  Supplies are limited.
[03:10.040 --> 03:11.560]  We're in this weird pandemic still.
[03:11.560 --> 03:14.920]  Things are not arriving at the stores like we would hope and expect them to.
[03:14.920 --> 03:19.240]  For a small grow project, I bought a new batch of soil I've never used.
[03:19.240 --> 03:21.240]  And honestly, it does not drain well.
[03:21.240 --> 03:22.240]  It needs more aeration.
[03:22.240 --> 03:23.800]  It needs more fluff to it.
[03:23.800 --> 03:26.560]  I should have mixed that in before I got the plants in there.
[03:26.560 --> 03:27.800]  However, I did not realize it.
[03:27.800 --> 03:29.160]  I thought it would work.
[03:29.160 --> 03:33.280]  When I watered those plants, that soilless mix really crushed down on those plants.
[03:33.280 --> 03:34.560]  The roots are kind of suffocated.
[03:34.560 --> 03:35.960]  They're not happy with me.
[03:35.960 --> 03:37.960]  They're not growing as well as they could be.
[03:37.960 --> 03:41.640]  And most importantly, they're not drying at the rate that I would hope that size of
[03:41.640 --> 03:44.720]  a pot with that much water would dry.
[03:44.720 --> 03:46.800]  Now those plants still need nutrients.
[03:46.800 --> 03:51.240]  I want to feed them, but I can't give them nutrients in the root zone because that is
[03:51.240 --> 03:53.000]  already soaked, already saturated.
[03:53.000 --> 03:54.480]  I want that to dry out.
[03:54.480 --> 03:58.360]  That's going to get probably two or three watering cycles before it actually does get
[03:58.360 --> 03:59.600]  watered again.
[03:59.600 --> 04:03.440]  So at this time, to provide nutrients for those freshly transplanted plants that are
[04:03.440 --> 04:07.080]  stubborn, that are kind of not wanting to grow, they're getting foliar fed.
[04:07.080 --> 04:08.760]  They're getting their nitrogen, their calcium.
[04:08.760 --> 04:12.680]  A couple other base nutrients are happening through a foliar feeding.
[04:12.680 --> 04:17.000]  So that's one reason why I am feeding the plants with the foliar feed.
[04:17.000 --> 04:21.400]  I'm going to let them dry, keep hitting them with that foliar feed until they are ready
[04:21.400 --> 04:22.760]  for a nutrient feed.
[04:22.760 --> 04:23.760]  I won't overdo it.
[04:23.760 --> 04:25.000]  I will pay close attention.
[04:25.000 --> 04:28.960]  We'll talk about dosing them, the nutrient amount here in just a moment.
[04:28.960 --> 04:33.240]  I'm paying attention to my notes to make sure I didn't get off track because I already got
[04:33.240 --> 04:34.240]  off track.
[04:34.240 --> 04:35.240]  There we go.
[04:35.240 --> 04:36.620]  So foliar feed clones.
[04:36.660 --> 04:38.660]  We often foliar feed our clones.
[04:38.660 --> 04:40.500]  When I cut clones, they don't have roots.
[04:40.500 --> 04:43.020]  When you cut clones, they start off with no roots.
[04:43.020 --> 04:44.020]  How do we feed them?
[04:44.020 --> 04:48.020]  We feed them through that humidity dome, through the humidity in the room.
[04:48.020 --> 04:51.740]  Also I'll take off that dome and hit them straight with a sprayer and foliar feed them
[04:51.740 --> 04:56.140]  with a light nutrient solution that is technically foliar feeding those plants.
[04:56.140 --> 04:59.540]  So the clones always take a good foliar.
[04:59.540 --> 05:04.420]  Another reason to foliar feed our plants is to provide a specific nutrient to a specific
[05:04.420 --> 05:06.340]  plant in a room.
[05:07.060 --> 05:09.740]  Maybe you've got a hydroponic setup or an ebb and flow setup to where all of the plants
[05:09.740 --> 05:11.700]  are getting fed the same thing.
[05:11.700 --> 05:13.420]  Maybe one plant in there is stubborn.
[05:13.420 --> 05:14.820]  Maybe it wants a little bit more.
[05:14.820 --> 05:15.980]  Maybe it's hungry.
[05:15.980 --> 05:17.380]  Maybe it needs extra nitrogen.
[05:17.380 --> 05:18.820]  Maybe it needs extra phosphorus.
[05:18.820 --> 05:20.540]  Maybe it needs extra cow mag.
[05:20.540 --> 05:24.900]  What we can do is we can mix up those nutrients in a foliar solution and apply it to that
[05:24.900 --> 05:30.420]  one plant directly through a foliar application instead of trying to boost up all of the feed
[05:30.420 --> 05:34.180]  in the entire hydroponic system or aquaponic system or whatever.
[05:34.180 --> 05:38.220]  We can feed that one stubborn plant, that Congo plant in the corner that wants more
[05:38.220 --> 05:41.340]  food than everybody, that golden goat plant that eats extra.
[05:41.340 --> 05:45.620]  We can feed it without overfeeding the rest of our plants.
[05:45.620 --> 05:49.140]  Now let's talk about the actual act of foliar feeding our plants.
[05:49.140 --> 05:51.100]  We know a little bit about what to feed.
[05:51.100 --> 05:54.980]  I told you definitely have a reason why you are foliar feeding.
[05:54.980 --> 05:57.140]  You can use the foliar feed to correct.
[05:57.140 --> 05:58.140]  You can use it to boost.
[05:58.140 --> 06:01.500]  You can use it as a regular feed, but have a strategy and a reason.
[06:01.660 --> 06:02.820]  When you do it, write it down.
[06:02.820 --> 06:04.740]  I will mention that again later.
[06:04.740 --> 06:06.440]  Let's talk about actually foliar feeding.
[06:06.440 --> 06:07.560]  We know why.
[06:07.560 --> 06:09.520]  We know what to feed it.
[06:09.520 --> 06:12.600]  Let's talk about doing the actual task.
[06:12.600 --> 06:15.140]  Usually you're going to, I would recommend spraying.
[06:15.140 --> 06:18.900]  Most of our sprays are going to happen in veg or early flower.
[06:18.900 --> 06:24.380]  I recommend not spraying chunky buds unless you've got a very good reason.
[06:24.380 --> 06:26.220]  Chunky buds do not need to get sprayed.
[06:26.220 --> 06:30.300]  If you've got bugs, if you've got problems, if you're trying to boost it up, find a better
[06:30.300 --> 06:33.380]  solution if you were getting big, chunky nuggets.
[06:33.380 --> 06:39.420]  Anytime past like week three, day 21 is usually the last time I will spray unless it's highly
[06:39.420 --> 06:40.580]  necessary.
[06:40.580 --> 06:44.060]  I will hit the plants at day 21 of flower.
[06:44.060 --> 06:45.820]  They're starting to set those good bud sets.
[06:45.820 --> 06:50.180]  Give them one good final foliar feed, one good final pesticide rinse, and hope that
[06:50.180 --> 06:53.740]  that lasts you for the next six or seven weeks to get you to harvest.
[06:53.740 --> 06:55.300]  So don't spray chunky buds.
[06:55.300 --> 07:00.660]  If you've got to spray buds that are developing, remember those buds do have trichomes on the
[07:00.660 --> 07:04.380]  outside that act like a water repellent as a UV protectant.
[07:04.380 --> 07:07.000]  I think the UV, anyway, let's get back on track.
[07:07.000 --> 07:09.820]  The trichomes will protect from a little bit of water.
[07:09.820 --> 07:14.940]  The plants are going to be okay with a mist, but we don't want to saturate the buds.
[07:14.940 --> 07:16.020]  They're spongy.
[07:16.020 --> 07:17.500]  Think about all the, they're spongy.
[07:17.500 --> 07:19.820]  If you squeeze them and let them go, there's a lot of moisture in there.
[07:19.820 --> 07:21.680]  They can hold a lot of water.
[07:21.680 --> 07:23.620]  Don't create a problem for your chunky buds.
[07:23.620 --> 07:25.140]  Do not spray them.
[07:25.140 --> 07:30.820]  The next thing I've got on my notes is avoid horticultural and botanical oils, especially
[07:30.820 --> 07:34.980]  if you are going to make concentrates out of your products.
[07:34.980 --> 07:37.980]  All of those oils will end up in your concentrate.
[07:37.980 --> 07:42.540]  If they don't evaporate, dissipate, or get washed off in some other manner, they're going
[07:42.540 --> 07:45.820]  to end up in your flowers, in your concentrates.
[07:45.820 --> 07:50.120]  Have you ever gone to the dispensary or even bought herb from a friend or a regular person
[07:50.120 --> 07:53.660]  that you know somewhere, and they just sold you some herb and you smoke it, and it's got
[07:53.660 --> 07:58.420]  like a minty flavor or sort of an aftershave sort of flavor or something?
[07:58.420 --> 08:02.300]  That is probably from some of the funky oils that they applied to the plant to prevent
[08:02.300 --> 08:05.620]  powdery mildew or other molds or pest problems.
[08:05.620 --> 08:08.580]  So don't spray your plants with oils.
[08:08.580 --> 08:11.260]  I especially do not like neem oil.
[08:11.260 --> 08:15.040]  I don't like peppermint, rosemary, none of that hippie oil.
[08:15.040 --> 08:18.820]  If you're going to use that for your hippie magic, do that, but not on the plants, please.
[08:18.820 --> 08:21.000]  It's going to make the plants taste like shit.
[08:22.000 --> 08:26.600]  I've been in the room or been involved in concentrate making of all different types.
[08:26.600 --> 08:30.880]  When you're making BHO concentrates, you can see some of the pesticides and oils float
[08:30.880 --> 08:32.680]  to the top.
[08:32.680 --> 08:37.160]  There's your concentrate, your crystals at the bottom, the liquid in the middle, the
[08:37.160 --> 08:41.840]  terps at the top, and then that funky layer of frothy shit, that's the shit you should
[08:41.840 --> 08:42.920]  not have sprayed on there.
[08:42.920 --> 08:47.680]  That's your pesticides, your contaminants, possibly a surfactant.
[08:47.680 --> 08:49.200]  That's a lot of shit that could have been in there.
[08:49.200 --> 08:51.960]  So if you're making concentrates, don't spray it.
[08:51.960 --> 08:55.000]  And also don't spray your flowers with funky shit.
