[00:00.320 --> 00:18.970]  Yeah, here we go.
[00:18.970 --> 00:20.650]  Welcome to the show, Podcast World.
[00:20.650 --> 00:21.650]  I'm your host.
[00:21.650 --> 00:23.410]  My friends call me Rasta Jeff.
[00:23.410 --> 00:27.490]  This is episode 711 of the Grow From Your Heart podcast.
[00:27.490 --> 00:30.250]  In this episode, I'm going to talk about munchies.
[00:30.250 --> 00:33.650]  Before we get to that part of the show, let's do a few shout outs to a few of the great
[00:33.650 --> 00:38.030]  folks who continue to support the show on Patreon.
[00:38.030 --> 00:40.570]  Let's kick it off with a big Grow From Your Heart podcast.
[00:40.570 --> 00:41.570]  Thank you.
[00:41.570 --> 00:44.530]  Shout out to a longtime supporter, a good friend, and a great tester.
[00:44.530 --> 00:46.250]  My buddy, Mobius Grows.
[00:46.250 --> 00:48.090]  Let's send a big thank you shout out to Luke.
[00:48.090 --> 00:51.170]  I want to send a big thank you shout out to Curbside Gardens.
[00:51.170 --> 00:54.730]  Let's send a big fist bump and a thank you shout out to another great friend, Girls Grow
[00:54.730 --> 00:55.730]  2.
[00:55.730 --> 00:59.890]  Let's send a thank you shout out to 716 Grows and Single T. Let's send a fist bump and a
[00:59.890 --> 01:02.950]  thank you shout out to my buddy from Discord, Danny Potts.
[01:02.950 --> 01:05.990]  Let's send a thank you shout out to Pac Northwest Dan and Levity Love Day.
[01:05.990 --> 01:09.110]  I want to send a big thank you shout out to Popperoni.
[01:09.110 --> 01:12.110]  Then let's wrap it all up with a big Grow From Your Heart podcast.
[01:12.110 --> 01:13.110]  Thank you.
[01:13.110 --> 01:18.070]  Shout out to Ivan M. Big thanks and big shout out to everybody who continues to support
[01:18.070 --> 01:19.770]  the show on Patreon.
[01:19.770 --> 01:23.450]  If you are not already supporting the show and you would like to learn how to do so,
[01:23.450 --> 01:29.790]  all you have to do is visit www.patreon.com forward slash Grow From Your Heart.
[01:29.790 --> 01:33.090]  All of the information you need will be right there on the screen and you know I do include
[01:33.090 --> 01:38.150]  a link in the show notes and in the video description to make that nice and easy for
[01:38.150 --> 01:39.750]  all of my friends.
[01:39.750 --> 01:42.190]  All right, let's not waste too much time.
[01:42.190 --> 01:45.350]  The last couple of episodes were quite intensive episodes.
[01:45.350 --> 01:49.990]  709 was all about the evolution of dabs and dabbing and concentrates.
[01:49.990 --> 01:53.670]  Then of course we had Pedro and Roz and Ryan on for episode 710.
[01:53.670 --> 01:54.830]  We learned a lot.
[01:54.830 --> 01:56.190]  This episode we're going to relax.
[01:56.190 --> 01:57.670]  We're going to cool down a little bit.
[01:57.670 --> 01:58.970]  We're going to have a good time.
[01:58.970 --> 02:02.690]  We're going to talk about something we all enjoy, something we all indulge in, something
[02:02.690 --> 02:07.010]  that may be a little bit of a personal weakness, maybe a point where we spoil ourselves and
[02:07.010 --> 02:08.010]  treat ourselves.
[02:08.010 --> 02:10.090]  Today we're going to talk about munchies.
[02:10.090 --> 02:12.690]  What's better than having some munchies after you smoke?
[02:12.690 --> 02:16.210]  Honestly, this may be a weird side note and this may derail the whole show here, but I
[02:16.210 --> 02:18.690]  like to get super baked and not eat.
[02:18.690 --> 02:20.330]  I like to fight those munchies.
[02:20.330 --> 02:24.370]  Sometimes I feel like those munchies, you get super baked, you take a few fat dabs and
[02:24.370 --> 02:27.690]  then you just start eating cookies and the next thing you know, not even stoned anymore.
[02:27.690 --> 02:30.490]  You got to eat more cookies or you eat a bunch, you take a bunch of dabs and you go
[02:30.490 --> 02:33.650]  to out to dinner and then halfway through dinner, you're like, oh, I just ruined my
[02:33.650 --> 02:34.650]  whole buzz.
[02:34.650 --> 02:35.650]  Don't get me wrong.
[02:35.650 --> 02:40.210]  I love to go to dinner, go to Thai food, order two entrees, super blazed and eat them both.
[02:40.210 --> 02:41.210]  I digress.
[02:41.210 --> 02:43.690]  I'm just saying sometimes I like to fight off those munchies.
[02:43.690 --> 02:45.250]  I don't always go right for it.
[02:45.250 --> 02:47.610]  I like to fight that hunger, enjoy the buzz.
[02:47.610 --> 02:52.410]  However, when I do let those munchies take over, sometimes they win.
[02:52.410 --> 02:55.130]  If I let those munchies kick in, I will eat everything.
[02:55.130 --> 02:56.650]  So let's talk about munchies.
[02:56.650 --> 02:57.650]  Let's talk about this.
[02:57.650 --> 02:59.730]  What do you like to eat once you are stoned?
[02:59.730 --> 03:03.770]  Once you've had, however you like to smoke, you took a few bong rips, smoked a fat joint,
[03:03.770 --> 03:06.770]  maybe you took too many dabs, maybe you ate some edibles, which is something else we're
[03:06.770 --> 03:08.690]  going to talk about here in the episode.
