[00:16.890 --> 00:17.730]  Is that working?
[00:17.730 --> 00:18.610]  This is working.
[00:18.610 --> 00:20.210]  That's working.
[00:20.210 --> 00:21.610]  I think it's time for a podcast.
[00:21.610 --> 00:22.430]  Here we go.
[00:22.430 --> 00:23.730]  Welcome to the show, Podcast World.
[00:23.730 --> 00:24.570]  I'm your host.
[00:24.570 --> 00:26.050]  My friends call me Rasta Jeff.
[00:26.050 --> 00:30.970]  This is episode 712 of the Grow From Your Heart podcast.
[00:30.970 --> 00:32.610]  In this episode, I'm going to talk a little bit
[00:32.610 --> 00:35.650]  about male plants before I get to that part of the show.
[00:35.650 --> 00:38.290]  Let's do a few shout outs to a few of those great folks
[00:38.290 --> 00:41.810]  who continue to support the show on Patreon.
[00:41.810 --> 00:43.050]  Let's kick it off with a big
[00:43.050 --> 00:45.350]  Grow From Your Heart podcast thank you shout out
[00:45.350 --> 00:47.230]  to my friend Fiskles Organics.
[00:47.230 --> 00:48.390]  Let's send a big thank you shout out
[00:48.390 --> 00:50.350]  to Uncle Adam, the Uber driver.
[00:50.350 --> 00:51.410]  I want to send a thank you shout out
[00:51.410 --> 00:54.590]  to Frogman420 and Spherical Glassworks.
[00:54.590 --> 00:55.670]  Let's send a big thank you shout out
[00:55.670 --> 00:57.990]  to Blackhawksfan and Choke Norris.
[00:57.990 --> 00:59.590]  Let's send a fist bump and a thank you shout out
[00:59.590 --> 01:01.390]  to Groove2112.
[01:01.390 --> 01:04.990]  I want to send a big thank you to Brohand78 and CaptainMojo.
[01:04.990 --> 01:06.550]  Let's send a fist bump and a thank you shout out
[01:06.550 --> 01:08.670]  to Rutrow and Rasufa.
[01:08.670 --> 01:11.790]  Let's send a big thank you shout out to Canoreaper413.
[01:11.790 --> 01:12.870]  Then let's wrap it all up
[01:12.870 --> 01:15.830]  with a big Grow From Your Heart podcast thank you shout out
[01:15.830 --> 01:17.770]  to Rasta Green Thumb.
[01:17.770 --> 01:20.030]  Big thanks and big shout out to everybody
[01:20.030 --> 01:22.550]  who continues to support the show on Patreon.
[01:22.550 --> 01:24.430]  If you are not already supporting the show
[01:24.430 --> 01:26.150]  and you would like to learn how to do so,
[01:26.150 --> 01:30.830]  all you have to do is visit www.patreon.com
[01:30.830 --> 01:32.630]  forward slash grow from your heart.
[01:32.630 --> 01:33.910]  All of the information you need
[01:33.910 --> 01:35.430]  will be right there on the screen.
[01:35.430 --> 01:37.870]  And you know I do include that link in the show notes
[01:37.870 --> 01:40.670]  and in the video description to make it nice
[01:40.670 --> 01:43.670]  and easy for all of my friends.
[01:43.670 --> 01:45.190]  All right, I feel like I got all the business
[01:45.190 --> 01:46.170]  out of the way.
[01:46.170 --> 01:48.030]  Where do we go from there?
[01:48.030 --> 01:49.930]  Let's jump right here into this part.
[01:49.930 --> 01:51.510]  Recently on social media,
[01:51.510 --> 01:53.310]  I saw something that kind of bothered me.
[01:53.310 --> 01:54.750]  A member of the IRI Army,
[01:54.750 --> 01:56.770]  a friend made a mistake in the grow room.
[01:56.770 --> 01:58.630]  They actually had an equipment failure
[01:58.630 --> 02:01.150]  and a lot of people, they jumped on that person
[02:01.150 --> 02:03.550]  and they gave them a bunch of negative feedback,
[02:03.550 --> 02:05.110]  a bunch of negative criticism.
[02:05.110 --> 02:06.610]  The feedback was kind of 50-50.
[02:06.610 --> 02:08.510]  Some people said you can do it.
[02:08.510 --> 02:09.790]  Just try again, grow harder.
[02:09.790 --> 02:13.390]  But a lot of people were very not super kind about that.
[02:13.390 --> 02:15.550]  You guys, people are going to make mistakes.
[02:15.550 --> 02:16.630]  This person took it to heart
[02:16.630 --> 02:18.110]  when you guys talk trash to them,
[02:18.110 --> 02:19.550]  kind of messed up their day.
[02:19.550 --> 02:21.330]  People are going to make mistakes.
[02:21.330 --> 02:23.150]  You're going to make mistakes in your grow.
[02:23.150 --> 02:25.530]  Don't be afraid to make some mistakes.
[02:25.530 --> 02:26.430]  Things are gonna happen.
[02:26.430 --> 02:28.030]  Equipment is going to fail.
[02:28.030 --> 02:29.270]  You're gonna mess up schedules.
[02:29.270 --> 02:30.990]  You're gonna mismeasure some stuff.
[02:30.990 --> 02:31.990]  Plants are gonna die.
[02:31.990 --> 02:32.810]  But guess what?
[02:32.810 --> 02:34.090]  Life goes on.
[02:34.090 --> 02:35.870]  The key is to grow again
[02:35.870 --> 02:38.270]  so that you've got some good weed to smoke next time
[02:38.270 --> 02:39.870]  when shit goes wrong.
[02:39.870 --> 02:41.110]  So don't be discouraged.
[02:41.110 --> 02:42.590]  Don't give up if you make mistakes.
[02:42.590 --> 02:44.150]  I've done a full episode
[02:44.150 --> 02:46.350]  about making major mistakes in grows.
[02:46.350 --> 02:47.830]  I've destroyed entire crops.
[02:47.830 --> 02:50.230]  I was halfway through a flowering crop one year,
[02:51.350 --> 02:53.310]  maybe last year, maybe the year before.
[02:53.310 --> 02:54.350]  I was trying new lights.
[02:54.350 --> 02:55.930]  I was halfway through a flowering crop.
[02:55.930 --> 02:57.230]  It was fully seeded.
[02:57.230 --> 02:58.530]  It would have been a great market run.
[02:58.530 --> 03:00.470]  You guys would have really enjoyed those seeds.
[03:00.470 --> 03:02.910]  I was not satisfied with the quality of those plants.
[03:02.910 --> 03:04.150]  I cut them down.
[03:04.150 --> 03:04.990]  I made mistakes.
[03:04.990 --> 03:08.230]  I cut my losses, cleaned up, regrouped, started over.
[03:09.070 --> 03:10.710]  It hurt my little ego.
[03:10.710 --> 03:11.550]  It hurt my feelings.
[03:11.550 --> 03:13.590]  It hurt my budget, definitely.
[03:13.590 --> 03:14.750]  But I learned a lot from it.
[03:14.750 --> 03:17.350]  I learned not to use that lighting in the winter.
[03:17.350 --> 03:20.110]  I learned not to switch lighting in the middle of a grow.
[03:20.110 --> 03:22.250]  I learned how to use those lights eventually.
[03:22.250 --> 03:23.630]  It was a great learning experience.
[03:23.630 --> 03:25.470]  So you guys, when you do make mistakes,
[03:25.470 --> 03:26.390]  I'm not gonna say if,
[03:26.390 --> 03:28.390]  I'm going to say when you do make a mistake
[03:28.390 --> 03:29.590]  because it's gonna happen.
[03:29.590 --> 03:31.150]  If you're not a robot, if you're not a machine,
[03:31.150 --> 03:33.450]  and still then, those things make fucking mistakes.
[03:33.450 --> 03:35.250]  If you make mistakes, if you make errors,
[03:35.250 --> 03:37.630]  if your plants die, it's not the end of the world.
[03:38.070 --> 03:39.110]  It is just the end of those plants.
[03:39.110 --> 03:41.110]  Life goes on, shit happens.
[03:41.110 --> 03:42.350]  Grow more weed.
[03:42.350 --> 03:43.230]  Let's do it again.
[03:43.230 --> 03:44.610]  All right, big shout out to my friend
[03:44.610 --> 03:46.390]  that made some mistakes.
[03:46.390 --> 03:47.790]  They actually ended up with some fresh seeds.
[03:47.790 --> 03:48.790]  They were well taken care of.
[03:48.790 --> 03:50.110]  They're gonna give it another run.
[03:50.110 --> 03:52.330]  They have been re-encouraged and revitalized.
[03:52.330 --> 03:54.610]  You guys, don't let mistakes scare you away.
[03:54.610 --> 03:56.910]  There's a full episode of the Grow From Your Heart podcast
[03:56.910 --> 03:58.070]  about mistakes.
[03:58.070 --> 04:01.350]  I talk about the things that I have done to destroy plants,
[04:01.350 --> 04:02.510]  ruin full grows.
[04:02.510 --> 04:03.950]  I encourage you to check that out.
[04:03.950 --> 04:04.790]  I'm not perfect.
[04:04.790 --> 04:06.030]  Nobody's perfect.
[04:06.030 --> 04:07.270]  Killing plants and ruining shit
[04:07.270 --> 04:09.150]  is how I got good at growing.
[04:09.150 --> 04:10.310]  You don't get better at anything
[04:10.310 --> 04:11.930]  by getting it right the first time.
[04:11.930 --> 04:13.070]  You have to make a mistake.
[04:13.070 --> 04:14.710]  Then, take notes of your mistakes,
[04:14.710 --> 04:17.270]  and now you know exactly what not to do.
[04:17.270 --> 04:20.570]  And of course, sometimes equipment is just going to fail.
[04:20.570 --> 04:21.790]  You can't help that.
[04:21.790 --> 04:22.830]  All right, where do we go from there?
[04:22.830 --> 04:24.310]  I do have more notes.
[04:25.710 --> 04:28.150]  Also, yes, thank you for the great feedback, you guys.
[04:28.150 --> 04:30.370]  I got some amazing, awesome feedback
[04:30.370 --> 04:32.890]  from the past two or three episodes.
[04:32.890 --> 04:35.470]  From episode 709, when I talked about
[04:35.910 --> 04:37.150]  the evolution of dabbing,
[04:37.150 --> 04:39.350]  I got quite a few comments, responses,
[04:39.350 --> 04:41.130]  emails, and feedback from that.
[04:41.130 --> 04:44.550]  Then, of course, episode 710, oh my goodness.
[04:44.550 --> 04:46.070]  Big shout out to Pedro once again.
[04:46.070 --> 04:47.990]  Big shout out to Roz and Ryan.
[04:47.990 --> 04:49.850]  And big thanks to the audience out there.
[04:49.850 --> 04:52.750]  Everybody for watching, the feedback,
[04:52.750 --> 04:54.350]  the corrections, the comments, the concerns,
[04:54.350 --> 04:55.710]  all of that stuff.
[04:55.710 --> 04:57.750]  The comments are what I was going to say.
[04:57.750 --> 04:58.750]  Big thanks for all that.
[04:58.750 --> 05:01.510]  That episode got a lot of responses.
[05:01.510 --> 05:03.710]  The YouTube comments are, they're flooded.
[05:03.710 --> 05:04.730]  There's a bunch of comments there.
[05:04.770 --> 05:05.930]  The emails are coming in.
[05:05.930 --> 05:07.370]  The questions are being asked.
[05:07.370 --> 05:08.650]  You guys are watching the show.
[05:08.650 --> 05:10.490]  Thank you, I do appreciate that.
[05:10.490 --> 05:12.850]  Then, episode 711, I had a lot of fun
[05:12.850 --> 05:14.570]  doing the munchies episode.
[05:14.570 --> 05:16.690]  I talked for like 40 minutes about munchies.
[05:16.690 --> 05:18.410]  I did not mean to go on that long.
[05:18.410 --> 05:19.610]  It was a super easy show.
[05:19.610 --> 05:20.450]  I got rambly.
[05:20.450 --> 05:21.910]  You guys seemed to enjoy it.
[05:21.910 --> 05:23.790]  Thank you for the, first of all,
[05:23.790 --> 05:25.890]  for the feedback to make that episode.
[05:25.890 --> 05:28.330]  That was a very audience-generated episode.
[05:28.330 --> 05:31.170]  So thank you for giving me the info to make that show.
[05:31.170 --> 05:33.090]  And then thank you once again for the feedback
[05:33.090 --> 05:35.090]  coming from that episode.
[05:35.090 --> 05:37.530]  Also, I'm still getting feedback from that.
[05:37.530 --> 05:39.050]  People are listening to it,
[05:39.050 --> 05:40.370]  and now they're messaging me saying,
[05:40.370 --> 05:42.110]  this is what I like to eat.
[05:42.110 --> 05:44.530]  Mangoes have been real popular, lots of fruit,
[05:44.530 --> 05:47.810]  and still that box has been popular.
[05:47.810 --> 05:49.270]  So you guys keep doing it.
[05:49.270 --> 05:50.850]  Keep smoking, keep eating.
[05:50.850 --> 05:52.090]  Keep sending me great feedback.
[05:52.090 --> 05:53.290]  I do appreciate it.
[05:53.290 --> 05:54.130]  It has been great.
[05:54.130 --> 05:56.850]  All those comments, all the feedback,
[05:56.850 --> 05:59.250]  even the concerns, the constructive criticism,
[05:59.250 --> 06:01.330]  all that stuff, it does kind of recharge me.
[06:01.330 --> 06:02.150]  It refuels me.
[06:02.190 --> 06:03.830]  It gives me a little bit of energy.
[06:03.830 --> 06:04.670]  It keeps me going.
[06:04.670 --> 06:06.230]  It refreshes me.
[06:06.230 --> 06:07.750]  It's just like a good job.
[06:07.750 --> 06:09.550]  Anytime you tell somebody they did a good job,
[06:09.550 --> 06:10.690]  it encourages them.
[06:10.690 --> 06:12.590]  That means a lot coming from you guys.
[06:12.590 --> 06:13.710]  I know that I'm helping somebody,
[06:13.710 --> 06:15.850]  and it makes me feel like I'm not just talking to myself
[06:15.850 --> 06:17.910]  into this camera with this expensive mic,
[06:17.910 --> 06:19.350]  because that would be a sign of mental illness
[06:19.350 --> 06:20.550]  if I was just doing this for me.
[06:20.550 --> 06:22.230]  Anyway, I'm getting rambly.
