[00:02.430 --> 00:26.060]  Alright, here we go.
[00:26.060 --> 00:27.540]  Welcome to the show, Ganja Farmers.
[00:27.540 --> 00:28.540]  I'm your host.
[00:28.540 --> 00:30.380]  My friends call me Rasta Jeff.
[00:30.380 --> 00:35.660]  This is episode 714 of the Grow From Your Heart podcast.
[00:35.660 --> 00:39.980]  In this episode, I'm going to talk about growing feminized seeds and working with feminized
[00:39.980 --> 00:41.060]  plants.
[00:41.060 --> 00:44.580]  Before I get to that part of the show, let's do a few shout outs to a few of those great
[00:44.580 --> 00:48.940]  folks who continue to support the show on Patreon.
[00:48.940 --> 00:51.420]  Let's kick it off with the big Grow From Your Heart podcast.
[00:51.420 --> 00:52.420]  Thank you.
[00:52.420 --> 00:53.500]  Shout out to Danny Dave.
[00:53.500 --> 00:55.780]  Let's send a big thank you shout out to our buddy Bob.
[00:55.780 --> 00:58.520]  Let's send a thank you to Alabama Man and JG.
[00:58.520 --> 01:02.020]  Let's send a big salute and a fist bump and a thank you shout out to the captain and commander
[01:02.020 --> 01:05.260]  of the Irie Army, my friend Lemur Priest.
[01:05.260 --> 01:08.900]  Let's send a big thank you shout out to Billy Podunk holding it down in Alaska.
[01:08.900 --> 01:12.780]  Let's send a big thank you shout out to Brian P and EZ 057.
[01:12.780 --> 01:15.380]  Let's send a big thank you shout out to my buddy OG Purple Thumb.
[01:15.380 --> 01:18.980]  I want to send a special thank you shout out to my buddy Guy Yudi Grows.
[01:18.980 --> 01:22.940]  Let's send a thank you to Blackhawks fan and Matt H. Then let's wrap it all up with a big
[01:22.940 --> 01:24.700]  Grow From Your Heart podcast.
[01:24.700 --> 01:25.700]  Thank you.
[01:25.700 --> 01:27.300]  Shout out to TreeumUp.
[01:27.300 --> 01:32.260]  Big thanks and big shout out to everybody who continues to support the show on Patreon.
[01:32.260 --> 01:35.980]  If you are not already supporting the show and you would like to learn how to do so,
[01:35.980 --> 01:42.140]  all you have to do is visit www.patreon.com forward slash grow from your heart.
[01:42.140 --> 01:44.860]  All of the information you need will be right there on the screen.
[01:44.860 --> 01:49.180]  And you know, I do include a link in the show notes and in the video description to make
[01:49.180 --> 01:52.620]  everything nice and easy for all of my friends.
[01:52.620 --> 01:55.500]  I do want to make one quick update, maybe an announcement.
[01:55.500 --> 02:00.260]  A lot of times when you sign up for Patreon, you type in a name and that is now your Patreon
[02:00.260 --> 02:01.420]  account name.
[02:01.420 --> 02:05.300]  Some people put their regular name, some people put their full name, some people make up a
[02:05.300 --> 02:08.140]  cool name and put Guy Yudy Gros in there.
[02:08.140 --> 02:10.080]  Some people have Lemur Priest in there.
[02:10.080 --> 02:13.260]  Some people, however, are just putting their real full government name in there.
[02:13.260 --> 02:17.700]  I don't know if you want me to say your real legal name on the show.
[02:17.700 --> 02:20.340]  I understand that that could get you in some trouble.
[02:20.340 --> 02:24.020]  Maybe your coworkers, your boss, your friends, maybe your wife finds out that you're contributing
[02:24.020 --> 02:25.980]  to the Patreon and she doesn't want that.
[02:25.980 --> 02:27.580]  I don't want you to get in any trouble.
[02:27.580 --> 02:32.300]  So if I'm saying the wrong name or if I haven't said your name and you're concerned, simply
[02:32.620 --> 02:37.460]  me a message on Patreon and let me know what your name is under on the account and let
[02:37.460 --> 02:40.900]  me know what the corrected name I should say on the show is.
[02:40.900 --> 02:43.020]  I do have an update from one person here.
[02:43.020 --> 02:47.100]  I've been possibly saying the wrong name, but they do want me to give a shout out to
[02:47.100 --> 02:49.380]  Oh Cannabis 613.
[02:49.380 --> 02:51.820]  So big shout out to Oh Cannabis 613.
[02:51.820 --> 02:52.820]  You're getting a shout out.
[02:52.820 --> 02:57.820]  I'm not sure from this message, I'm not sure if that was the message was from Oh Cannabis
[02:57.820 --> 03:01.580]  or if their friend paid for this shout out.
[03:02.580 --> 03:06.500]  But either way, if I'm not saying the correct name, because I've called a couple of people
[03:06.500 --> 03:11.380]  the wrong name for several episodes, just update me, correct me, send me an email.
[03:11.380 --> 03:13.700]  This is a cannabis podcast.
[03:13.700 --> 03:18.220]  That means I do consume cannabis before, after, and possibly during this show.
[03:18.220 --> 03:21.980]  If I have forgotten, if I have failed to make the adjustments and corrections, simply send
[03:21.980 --> 03:22.980]  me another email.
[03:22.980 --> 03:23.980]  Send me a nudge.
[03:23.980 --> 03:24.980]  We'll get it corrected.
[03:24.980 --> 03:26.380]  I'll say the right thing on the show.
[03:26.380 --> 03:27.380]  All right.
[03:27.380 --> 03:29.620]  So once again, big shout out to our buddy Oh Cannabis 613.
[03:30.620 --> 03:32.980]  Not sure if that came from you or your friend.
[03:32.980 --> 03:33.980]  Either way, big love.
[03:33.980 --> 03:36.420]  Thanks for the support to both of you or you.
[03:36.420 --> 03:37.740]  I'm confused.
