[00:00.000 --> 00:49.090]  Alright, here we go.
[00:49.090 --> 00:50.530]  Welcome to the podcast, everybody.
[00:50.530 --> 00:51.530]  I'm your host.
[00:51.530 --> 00:52.930]  Please call me Rasta Jeff.
[00:52.930 --> 00:58.470]  This is episode 715 of the Grow From Your Heart podcast.
[00:58.470 --> 01:01.310]  In this episode, I'm going to answer a few grow questions.
[01:01.310 --> 01:04.890]  Before I get to that part of the show, let's do a few shout outs to a few of those great
[01:04.890 --> 01:09.690]  folks who continue to support the show on Patreon.
[01:09.690 --> 01:12.170]  Let's kick it off with the big Grow From Your Heart podcast.
[01:12.170 --> 01:13.170]  Thank you.
[01:13.170 --> 01:14.810]  Shout out to DZ from Detroit.
[01:14.810 --> 01:18.750]  Let's send a big thank you shout out to the BAFSTA and Canoreaper413.
[01:18.750 --> 01:21.830]  Let's send a big thank you shout out to Fruggle Rock and Brendan Grose.
[01:21.830 --> 01:24.930]  I want to send a big thank you to Prospect, a new old guy.
[01:24.930 --> 01:28.270]  Let's send a big fist bump to Darian Smith and Jackie Daytona.
[01:28.270 --> 01:32.150]  Let's send a thank you shout out to Guido7 and 13Spark13.
[01:32.150 --> 01:34.470]  Let's send a big fist bump to Dank Grose.
[01:34.470 --> 01:38.310]  Then let's wrap it all up with a big Grow From Your Heart podcast thank you shout out
[01:38.310 --> 01:40.550]  to my friend Jesse Grose.
[01:40.550 --> 01:45.550]  Big thanks and big shout out to everybody who continues to support the show on Patreon.
[01:45.550 --> 01:49.310]  If you are not already supporting the show and you would like to learn how to do so,
[01:49.310 --> 01:55.350]  all you have to do is visit www.patreon.com forward slash grow from your heart.
[01:55.350 --> 01:58.830]  All of the information you need will be right there on the screen and you know I do include
[01:58.830 --> 02:04.070]  a link in the show notes and in the video description to make it nice and easy for all
[02:04.070 --> 02:05.990]  of my friends.
[02:05.990 --> 02:09.790]  I do apologize if you hear my voice getting raspy there already at the start of the show.
[02:09.790 --> 02:13.750]  I did take a few fat dabs today and they are working.
[02:13.750 --> 02:15.110]  I'm going through one of those phases.
[02:15.110 --> 02:17.030]  I talk about this occasionally on the show.
[02:17.030 --> 02:19.110]  I'm curious how your life is, how you stand.
[02:19.110 --> 02:20.310]  I talk a lot.
[02:20.310 --> 02:21.310]  Let's communicate a little bit.
[02:21.310 --> 02:23.870]  Tell me on Twitter at GFYH podcast.
[02:23.870 --> 02:24.950]  Send me an email.
[02:24.950 --> 02:29.350]  Do you go through phases where you can smoke a lot and you don't get blazed or some days
[02:29.350 --> 02:32.710]  you can smoke very little and you get blazed all the way?
[02:32.710 --> 02:35.590]  The past two days I could just smoke.
[02:35.590 --> 02:37.750]  I was like a fog machine.
[02:37.750 --> 02:42.590]  My job and my duty was to see how many grams of concentrates I could put through my rig
[02:42.590 --> 02:45.190]  and through my lungs and I wasn't getting blazed.
[02:45.190 --> 02:46.190]  I don't know why.
[02:46.190 --> 02:48.670]  I was just getting work done and I couldn't fucking stop.
[02:48.670 --> 02:50.230]  I was just smoking and smoking.
[02:50.230 --> 02:51.590]  My brain was like, no, do more work.
[02:51.590 --> 02:52.590]  Keep going.
[02:52.590 --> 02:53.590]  You're not high yet.
[02:53.590 --> 02:56.190]  So I just take more dabs and do more work and I just didn't feel like I got blazed for
[02:56.190 --> 02:57.310]  like two straight days.
[02:57.310 --> 03:02.030]  But today I've been smoking the same concentrates that I smoked for the past two days and today
[03:02.030 --> 03:05.470]  that first dab of today, that shit wrecked me.
[03:05.470 --> 03:08.830]  That kicked my ass and every dab after that has been beautiful as well.
[03:08.830 --> 03:11.590]  So do you go through phases?
[03:11.590 --> 03:15.230]  Like I said, sometimes I can smoke all the dabs and I don't get high, but then there's
[03:15.230 --> 03:19.430]  some days when I can open the jar and look at the dabs and I'm like, I'm so high, I need
[03:19.430 --> 03:20.430]  munchies.
[03:20.430 --> 03:21.430]  Do you do that?
[03:21.430 --> 03:22.430]  Does your body do that?
[03:22.430 --> 03:25.430]  I think mine is attributed to a lot of his hydration.
[03:25.430 --> 03:29.830]  I think if I'm dehydrated, I'll get super blazed super quickly and I cough more.
[03:29.830 --> 03:30.950]  My lungs burn.
[03:30.950 --> 03:31.950]  A lot of it is diet.
[03:31.950 --> 03:32.950]  Have I eaten enough?
