[00:05.950 --> 00:25.920]  Welcome back, Podcast World.
[00:25.920 --> 00:26.920]  I'm your host.
[00:26.920 --> 00:28.320]  My friends call me Rasta Jeff.
[00:28.320 --> 00:33.840]  This is episode 723 of the Grow From Your Heart Podcast.
[00:33.840 --> 00:38.360]  In this episode, I'm going to do an update on my recent silver thiosulfate episode.
[00:38.360 --> 00:41.960]  Before I get to that part of the show, let's do a few shout outs to a few of those great
[00:41.960 --> 00:46.320]  folks who continue to support the show on Patreon.
[00:46.320 --> 00:50.240]  Let's kick it off with a big Grow From Your Heart Podcast thank you shout out to our friend
[00:50.240 --> 00:51.240]  Daniel.
[00:51.240 --> 00:54.720]  Let's send a big thank you shout out to ADHD Grower and Jay Dutch.
[00:54.720 --> 00:58.800]  Let's send a big thank you shout out to Justa Smokin and Know Me By My Guacamole.
[00:58.800 --> 01:02.440]  Let's send a fist bump and a thank you shout out to Shoe Trader 101.
[01:02.440 --> 01:05.820]  Let's send a big thank you shout out to Polo Paul and Grow Man Stan.
[01:05.820 --> 01:09.120]  Let's send a fist bump and a thank you shout out to Kojax and Shacoba.
[01:09.120 --> 01:13.040]  Then let's wrap it all up with a big Grow From Your Heart Podcast thank you shout out
[01:13.040 --> 01:14.880]  to Grow Bandit.
[01:14.880 --> 01:19.720]  Big thanks and big shout out to everybody who continues to support the show on Patreon.
[01:19.720 --> 01:23.800]  If you are not already supporting the show and you would like to learn how to do so,
[01:23.800 --> 01:30.040]  all you have to do is visit www.patreon.com forward slash grow from your heart.
[01:30.040 --> 01:32.840]  All of the information you need will be right there on the screen.
[01:32.840 --> 01:37.380]  And you know I do include a link in the show notes and in the video description to make
[01:37.380 --> 01:41.440]  it nice and easy for all of my friends to support the show.
[01:41.440 --> 01:46.140]  This of course is the part of the show when I invite you to the Groovy Gravy Secret Stash
[01:46.140 --> 01:50.400]  Seed Event in Denver, Colorado on Saturday, March 26th.
[01:50.400 --> 01:54.960]  That's right, Irie Genetics and many other great seed vendors and breeders will be at
[01:54.960 --> 02:00.880]  the Groovy Gravy Secret Stash Seed Exchange Event at an undisclosed location near downtown
[02:00.880 --> 02:04.740]  Denver in Denver, Colorado Saturday, March 26th.
[02:04.740 --> 02:09.280]  Make sure you check out itsgroovygravy on Instagram at itsgroovygravy is the one throwing
[02:09.280 --> 02:10.280]  the party.
[02:10.280 --> 02:11.520]  Make sure you follow on Instagram.
[02:11.520 --> 02:13.280]  All of the information you need will be right there.
[02:13.280 --> 02:15.360]  There is a link in their bio.
[02:15.360 --> 02:18.860]  So check out itsgroovygravy on Instagram.
[02:18.860 --> 02:19.860]  Check the link in their bio.
[02:19.860 --> 02:21.320]  That will get you tickets.
[02:21.320 --> 02:24.100]  When you check out, make sure to use coupon code RastaJeff.
[02:24.100 --> 02:27.520]  That will save you 10% off your tickets to the event.
[02:27.520 --> 02:28.760]  I look forward to seeing you there.
[02:28.760 --> 02:29.760]  Pop by the booth.
[02:29.760 --> 02:30.760]  Say hi.
[02:30.760 --> 02:31.760]  Can't wait to see you.
[02:31.760 --> 02:36.680]  I should have packs of Blue Raspberry Truffle, Strawberry Starburst, Sun Kiss, Saka Souffle,
[02:36.680 --> 02:38.100]  The Machine.
[02:38.100 --> 02:39.820]  There will be some new stuff.
[02:39.860 --> 02:40.860]  We have the new stuff.
[02:40.860 --> 02:43.780]  There will be some of the Moon Tower will be available.
[02:43.780 --> 02:44.780]  Moon Tower.
[02:44.780 --> 02:45.780]  What is that?
[02:45.780 --> 02:46.780]  What?
[02:46.780 --> 02:47.780]  We recently talked about the Moon Tower.
[02:47.780 --> 02:51.140]  That is the Bubba Kush female pollinated by the Arise.
[02:51.140 --> 02:52.140]  We call it the Moon Tower.
[02:52.140 --> 02:55.300]  The name's inspired by, of course, the movie Dazed and Confused.
[02:55.300 --> 02:56.860]  All right, all right, all right.
[02:56.860 --> 02:58.260]  Party at the Moon Tower.
[02:58.260 --> 02:59.260]  That's enough about that.
[02:59.260 --> 03:00.260]  Join me.
[03:00.260 --> 03:03.960]  The groovy gravy, Secrets Stash Seed Event in Denver.
[03:03.960 --> 03:04.960]  Look forward to seeing you there.
[03:04.960 --> 03:09.140]  Once again, if you need more info, send me an email or make sure you do follow itsgroovygravy
[03:09.140 --> 03:10.140]  on the gram.
[03:10.140 --> 03:12.780]  All right, where do we go from there?
[03:12.780 --> 03:16.860]  I was recently on, I've talked about this on a previous episode, I was recently on the
[03:16.860 --> 03:18.460]  Iry Army Podcast.
[03:18.460 --> 03:22.780]  I want to give a big shout out to all of my friends who support the Iry Army Podcast.
[03:22.780 --> 03:25.220]  Big up to Billy for the co-hosting skills there.
[03:25.220 --> 03:28.460]  Big up to Graybeard for the co-hosting and tech skills there.
[03:28.460 --> 03:29.460]  Very good questions.
[03:29.460 --> 03:31.300]  Very well done show.
[03:31.300 --> 03:32.300]  Very interactive show.
[03:32.300 --> 03:34.980]  We did 30 minutes of kind of structured material.
[03:34.980 --> 03:37.100]  They asked me pre-written questions.
[03:37.100 --> 03:40.660]  Then after that, they opened it up to the chat audience and they got to ask a bunch
[03:40.660 --> 03:41.660]  of questions.
[03:41.660 --> 03:42.660]  That was a good time.
[03:42.660 --> 03:43.660]  I think it was a well done show.
[03:43.660 --> 03:45.660]  I got to showcase my brand.
[03:45.660 --> 03:49.660]  I got to talk a lot about my history and who I am and got to answer all the questions that
[03:49.660 --> 03:52.780]  some of my friends and supporters have wanted to know.
[03:52.780 --> 03:53.780]  That was a great time.
[03:53.780 --> 03:57.640]  So make sure you check out the Iry Army Podcast if you're not already subscribed.
[03:57.640 --> 03:59.340]  Go to YouTube, give them a subscribe.
[03:59.340 --> 04:02.300]  Also, if you're not subscribed to my show, please do click subscribe.
[04:02.300 --> 04:03.940]  Now is a good time.
[04:03.940 --> 04:06.340]  Once again, big shout out to my friends at the Iry Army.
[04:07.220 --> 04:09.700]  Not just thanks for the podcast, but thanks for the hang.
[04:09.700 --> 04:11.060]  That was a good time.
[04:11.060 --> 04:15.740]  Then after we wrapped up the show, we hung out on the server and we chatted for a solid
[04:15.740 --> 04:17.800]  hour and that was a good time.
[04:17.800 --> 04:19.660]  Those guys are my friends, my family.
[04:19.660 --> 04:20.660]  That's my crew.
[04:20.660 --> 04:21.660]  So thank you.
[04:21.660 --> 04:22.660]  Big salute.
[04:22.660 --> 04:26.860]  Rasta Army, Iry Army, thank you for being, I was going to say part of the team.
[04:26.860 --> 04:27.900]  You guys are the team.
[04:27.900 --> 04:33.220]  I may be the team captain, but without all you maniacs, all you Iry Army members out
[04:33.220 --> 04:36.280]  there, I'm just a one man army and I do need the support of the crew, the team.
[04:37.220 --> 04:38.220]  So thank you.
[04:38.220 --> 04:39.360]  Each and every one of you do mean a lot to me.
[04:39.360 --> 04:44.240]  The Iry Army, we take more dabs before 9am than most people do all day.
[04:44.240 --> 04:47.600]  All right, let's keep moving with this podcast because I do have a lot of stuff I want to
[04:47.600 --> 04:48.600]  cover.
[04:48.600 --> 04:49.600]  I have a lot of notes here.
[04:49.600 --> 04:52.240]  I'm trying to get the notes lined up so I can read them and not get distracted.
[04:52.240 --> 04:53.240]  All right.
[04:53.240 --> 04:56.760]  I want to do an update on a recent silver thiosulfate episode.
[04:56.760 --> 05:02.240]  If you haven't been following along recently, I did a show about making our own silver thiosulfate.
[05:02.240 --> 05:06.480]  That is a solution which we would use to reverse a plant to make feminized seeds.
[05:06.480 --> 05:10.000]  I don't want to do a full recap because I've already done the full episode.
[05:10.000 --> 05:11.280]  Scroll back a couple episodes.
[05:11.280 --> 05:12.480]  It is available.
[05:12.480 --> 05:13.520]  Watch that one.
[05:13.520 --> 05:14.520]  This is the followup.
[05:14.520 --> 05:18.120]  Apparently I missed a few things, which that's not uncommon for me.
