[00:05.950 --> 00:25.760]  Welcome back, Podcast World.
[00:25.760 --> 00:28.120]  I'm your host, my friends call me Rasta Jeff.
[00:28.120 --> 00:33.120]  This is episode 725 of the Grow From Your Heart Podcast.
[00:33.120 --> 00:36.160]  In this episode, I'm going to answer a couple of grow questions.
[00:36.160 --> 00:39.840]  Before I get to that part of the show, let's do a few shout outs to a few of those great
[00:39.840 --> 00:44.320]  folks who continue to support the show on Patreon.
[00:44.320 --> 00:48.280]  Let's kick it off with a big Grow From Your Heart Podcast thank you shout out to Jimmy
[00:48.280 --> 00:49.280]  Limmer.
[00:49.280 --> 00:52.240]  I want to send a big thank you shout out to Stoner Dave and Sam Heads.
[00:52.240 --> 00:56.000]  Let's send a fist bump and a thank you shout out to James Brown and New Old Guy.
[00:56.000 --> 00:59.300]  Let's send a thank you shout out to G7 and Green Country Grower.
[00:59.300 --> 01:02.000]  Let's send a thank you shout out to Magic Mike and Quazi.
[01:02.000 --> 01:05.840]  Let's send a fist bump to Spherical Glassworks and Uncle Adam, the Uber driver.
[01:05.840 --> 01:09.840]  Then let's wrap it all up with a big Grow From Your Heart Podcast thank you shout out
[01:09.840 --> 01:11.600]  to Kes Burton.
[01:11.600 --> 01:16.520]  Big thanks and big shout out to everybody who continues to support the show on Patreon.
[01:16.520 --> 01:20.160]  If you are not already supporting the show and you would like to learn how to do so,
[01:20.160 --> 01:26.280]  all you have to do is visit www.patreon.com forward slash grow from your heart.
[01:26.280 --> 01:28.680]  All of the information you need will be right there on the screen.
[01:28.680 --> 01:33.080]  And of course, I do include a link in the show notes and in the video description to
[01:33.080 --> 01:37.560]  make it super easy for all of my friends to support the show.
[01:37.560 --> 01:41.400]  Of course, this is the part of the podcast where I invite you to join me for the Groovy
[01:41.400 --> 01:46.720]  Gravy Secret Stash Seed Event in Denver, Colorado on March 26th.
[01:46.720 --> 01:50.960]  That's right in Denver, Colorado on March 26th at an undisclosed location.
[01:50.960 --> 01:52.760]  We are doing a seed event.
[01:52.760 --> 01:57.720]  It will feature food trucks, glass blowing, and seed vendors and seed breeders.
[01:57.720 --> 01:59.760]  I do invite you to join the party.
[01:59.760 --> 02:02.760]  Check out itsgroovygravy on Instagram for all of the info.
[02:02.760 --> 02:04.400]  There is a link in their bio.
[02:04.400 --> 02:09.840]  Once again, check out itsgroovygravy on Instagram and use coupon code RASTAJEFF when you get
[02:09.840 --> 02:10.840]  your tickets.
[02:10.840 --> 02:12.400]  All right, where do we go from there?
[02:12.400 --> 02:14.480]  Let's talk about this voice.
[02:14.480 --> 02:16.840]  It sounds like I've got a head cold or something, but I do not.
[02:16.840 --> 02:20.680]  I was doing some work and I got a bunch of just a bunch of junk in my nose, a bunch of
[02:20.680 --> 02:24.800]  dust, a bunch of dirt, been cleaning up some stuff and it made me sound like total shit.
[02:24.800 --> 02:27.960]  If that's coming through on the microphone and your headphones and your equipment, I
[02:27.960 --> 02:29.200]  do apologize.
[02:29.200 --> 02:30.920]  It won't sound like this in the next episode.
[02:30.920 --> 02:33.680]  I've been trying to blow this junk out of my nose, out of my head.
[02:33.720 --> 02:35.480]  I'm just going to sound like shit for a few minutes.
[02:35.480 --> 02:36.960]  That's how life is going to be.
[02:36.960 --> 02:37.960]  We'll accept it.
[02:37.960 --> 02:39.480]  We'll have a great podcast together.
[02:39.480 --> 02:41.080]  You may not even notice it as much as I do.
[02:41.080 --> 02:44.440]  I didn't notice until I put on these headphones how strong it was, but I do notice there's
[02:44.440 --> 02:47.600]  some crap in the nose from all the dirty work I was doing today.
[02:47.600 --> 02:48.840]  Nobody cares about that.
[02:48.840 --> 02:49.840]  What else did I do today?
[02:49.840 --> 02:51.680]  I went to the weed doctor.
[02:51.680 --> 02:52.680]  That's right.
[02:52.680 --> 02:54.120]  I live here in Southern Colorado.
[02:54.120 --> 02:56.240]  In Colorado, we do have the, what is it?
[02:56.240 --> 02:58.560]  The right, the privilege of medical cannabis.
[02:58.560 --> 03:00.020]  We are offered medical marijuana here.
[03:00.020 --> 03:02.680]  We do have recreational cannabis here.
[03:02.680 --> 03:06.200]  So many people may say, why do you have your medical marijuana recommendation, your medical
[03:06.200 --> 03:07.640]  marijuana card from a doctor?
[03:07.640 --> 03:08.640]  That's a really good question.
[03:08.640 --> 03:10.280]  There are a couple of reasons for that.
[03:10.280 --> 03:12.200]  First off is it's another layer of safety.
[03:12.200 --> 03:14.200]  It's just, I do grow.
[03:14.200 --> 03:18.280]  We can grow legally here, but also having that medical card gives you another layer
[03:18.280 --> 03:19.920]  of protection for growing.
[03:19.920 --> 03:23.200]  Also it increases your purchasing power at dispensaries.
[03:23.200 --> 03:27.720]  You're limited certain amounts of milligrams at recreational dispensaries.
[03:27.720 --> 03:33.120]  At a medical cannabis dispensary, the edible dosage is much higher that is available.
[03:33.120 --> 03:34.960]  So you can get different products at different places.
[03:34.960 --> 03:35.960]  You can buy more.
[03:35.960 --> 03:39.080]  I can buy more at a medical shop than I can at a rec shop.
[03:39.080 --> 03:42.000]  There are a few advantages of it, advantages to it.
[03:42.000 --> 03:43.800]  Mostly I do it to keep my garden safe.
[03:43.800 --> 03:44.880]  It does allow me.
[03:44.880 --> 03:48.760]  So one of the things I was going to talk about, we are allowed recreational and medical cannabis.
[03:48.760 --> 03:50.920]  We can have six plants here recreationally.
[03:50.920 --> 03:54.280]  You're allowed to grow six cannabis plants in your residence.
[03:54.280 --> 03:57.480]  If you're an adult and you've, if you want to grow it, that's, or you're legal right
[03:58.240 --> 03:59.240]  here.
[03:59.240 --> 04:00.240]  You can have six plants.
[04:00.240 --> 04:03.360]  Plus if you have your medical marijuana recommendation, you are allowed six more.
[04:03.360 --> 04:06.120]  So I do have the medical marijuana card for the six extra plants.
[04:06.120 --> 04:07.120]  That does help me out.
[04:07.120 --> 04:11.520]  It gives me a total of 12, not a lot of plants to play with, but twice as many as six.
[04:11.520 --> 04:12.520]  I'm grateful for that.
[04:12.520 --> 04:13.520]  It helps me out.
[04:13.520 --> 04:17.000]  It lets me do what I need to do, supply my medicine, my product that I do need.
[04:17.000 --> 04:21.840]  So I did go to the weed doctor today because every year we do have to renew our medical
[04:21.840 --> 04:23.920]  marijuana cards here in Colorado.
[04:23.920 --> 04:25.720]  We do have the recreational cannabis.
[04:25.720 --> 04:27.640]  Anyone who's going to be 21 and up is allowed to have cannabis.
[04:27.640 --> 04:29.320]  They can shop in the store.
[04:29.320 --> 04:32.960]  If you've got a medical cannabis card, you can be 18.
[04:32.960 --> 04:34.360]  Most of the patients are 21 and up.
[04:34.360 --> 04:39.040]  It does require a special paperwork, more doctor visits, extra steps if you're a 18.
[04:39.040 --> 04:41.880]  But if you're a 21, then you can get that medical cannabis card.
[04:41.880 --> 04:45.400]  Then you can go to the medical dispensaries and you can have the extra plants.
[04:45.400 --> 04:48.360]  I go get the medical marijuana card once every year.
[04:48.360 --> 04:50.880]  You have to have a qualifying condition.
[04:50.880 --> 04:53.160]  Mine is that I was in a car wreck in 2003.
[04:53.160 --> 04:54.160]  My knees hit the dash.
[04:54.160 --> 04:55.160]  I was in a car wreck.
[04:55.160 --> 04:56.160]  I make a lot of terrible noises.
[04:56.160 --> 04:57.960]  My shoulder came out of the socket from the seatbelt.
[04:57.960 --> 05:01.560]  You guys don't care about medical stuff, but that is how, that's my, they call it your
[05:01.560 --> 05:04.360]  claim to fame for your medical marijuana recommendation.
[05:04.360 --> 05:06.920]  So today I had to go to the weed doctor is what I'm getting at.
[05:06.920 --> 05:09.640]  And when I used to go to the weed doctor, you would schedule an appointment.
[05:09.640 --> 05:14.160]  And if you're not watching the video, I did air quotes on the word appointment because
[05:14.160 --> 05:17.880]  back in the day when you would make an appointment to the weed doctor, you'd schedule for, it
[05:17.880 --> 05:22.000]  seemed like everybody scheduled for 10 or 11 AM.
[05:22.000 --> 05:25.680]  Sometimes you wouldn't get to see that weed doctor until five, six, maybe 7 PM.
[05:25.680 --> 05:27.800]  And you'd have to just hang out all day.
[05:27.800 --> 05:28.800]  Wait your turn.
[05:28.800 --> 05:29.960]  Wait for your name to be called.
[05:29.960 --> 05:33.080]  People would sneak off and go smoke bowls in the car or sometimes just wherever we could
[05:33.080 --> 05:35.080]  find a spot to go smoke.
[05:35.080 --> 05:38.800]  But the weed doctors were rare and they would just see a lot of patients in one day they'd
[05:38.800 --> 05:39.800]  show up.
[05:39.800 --> 05:43.520]  So this is totally illegal now and you'll understand why once I talk about it, the weed
[05:43.520 --> 05:47.520]  doctor used to come to the dispensary and set up shop in the dispensary.
[05:47.520 --> 05:50.840]  So we'd just have the weed doctor all day sign and weed cards.
[05:50.840 --> 05:52.120]  He would charge you so much.
[05:52.120 --> 05:55.300]  The dispensary would make a cut off of every card that he sold.
[05:55.300 --> 05:59.840]  So if he sold 250 weed cards today at a hundred dollars each is what I think they used to
[05:59.840 --> 06:00.840]  be.
[06:00.840 --> 06:01.840]  We would make 10 bucks.
[06:01.840 --> 06:05.920]  So we just make 10, 10% of his whole day right there just for letting them be at our dispensary.
[06:05.920 --> 06:09.560]  Then as soon as he signs that paperwork and gives you the stamp from the, what's it called?
[06:09.560 --> 06:10.560]  A notary.
[06:10.560 --> 06:12.720]  Now you're allowed to shop at the dispensary.
[06:12.720 --> 06:13.720]  You're already there.
[06:13.720 --> 06:14.720]  Why not?
[06:14.720 --> 06:15.720]  Let's spend some more money at the dispensary.
[06:15.720 --> 06:20.880]  So they quickly, once they made some rules, they quickly banned doctors being on site,
[06:20.880 --> 06:22.640]  being present at the actual dispensary.
[06:22.640 --> 06:24.320]  They had to do it at an offsite location.
[06:24.320 --> 06:25.680]  They couldn't be attached to the store.
[06:25.680 --> 06:28.960]  It was making a little bit too easy.
[06:28.960 --> 06:32.760]  But you have to go sit there all day and then you'd have to bring a file of paperwork with
[06:32.760 --> 06:37.160]  you and explain what was wrong and why you thought cannabis would help you out.
[06:37.160 --> 06:40.800]  And back in the day, the list of qualifying conditions was a little bit vague.
[06:40.800 --> 06:41.960]  It is still a little bit vague.
[06:41.960 --> 06:45.040]  I think we kind of, they kind of did that on purpose.
[06:45.040 --> 06:46.840]  I like the fact that chronic pain is on there.
[06:46.840 --> 06:48.360]  How can you prove that I don't hurt?
[06:48.360 --> 06:52.320]  If I say this hurts, can you look at my hand right now and tell me if it does or does not
[06:52.320 --> 06:53.320]  hurt?
