[00:05.950 --> 00:25.250]  What?
[00:25.250 --> 00:26.970]  Welcome to the show, Podcast World.
[00:26.970 --> 00:27.970]  I'm your host.
[00:27.970 --> 00:29.370]  My friends call me Rasta Jeff.
[00:29.370 --> 00:34.890]  This is episode 726 of the Grow From Your Heart Podcast.
[00:34.890 --> 00:38.970]  In this episode, I'm going to talk about storing our seeds before I get to that part of the
[00:38.970 --> 00:39.970]  show.
[00:39.970 --> 00:44.290]  Let's do a few shout outs to a few of those great folks who continue to support the show
[00:44.290 --> 00:45.890]  on Patreon.
[00:45.890 --> 00:49.890]  Let's kick it off with the big Grow From Your Heart Podcast thank you shout out to my friend
[00:49.890 --> 00:51.530]  Brohan78.
[00:51.530 --> 00:54.290]  Let's send a fist bump and a thank you shout out to my buddy Lefty.
[00:54.290 --> 00:57.250]  I want to send a big thank you shout out to my buddy The Canicrat.
[00:57.250 --> 01:00.330]  Let's send a thank you shout out to Turt Burglar and Blackhawksfan.
[01:00.330 --> 01:03.370]  Let's send a thank you shout out to Levity Loveday and Choke Norris.
[01:03.370 --> 01:06.730]  Let's send a big thank you shout out to Pac Northwest Dan and Gramps Memo.
[01:06.730 --> 01:10.410]  I want to send a big thank you shout out to Single T and Curbside Gardens.
[01:10.410 --> 01:14.530]  Then let's wrap it all up with a big Grow From Your Heart Podcast thank you shout out
[01:14.530 --> 01:16.930]  to my friend Samurai Garden.
[01:16.930 --> 01:21.910]  Big thanks and big shout out to everybody who continues to support the show on Patreon.
[01:21.910 --> 01:25.970]  If you are not already supporting the show and you want to learn how to do so, all you
[01:25.970 --> 01:32.130]  have to do is visit www.patreon.com forward slash grow from your heart.
[01:32.130 --> 01:34.770]  All of the information you need will be right there on the screen.
[01:34.770 --> 01:39.170]  And you know I do include a link in the show notes and in the video description to make
[01:39.170 --> 01:42.250]  it nice and easy for all of my friends.
[01:42.970 --> 01:45.170]  Alright let's jump right into this episode.
[01:45.170 --> 01:48.050]  I want to talk about storing our seeds.
[01:48.050 --> 01:52.330]  In a few previous episodes I've taught you how to make silver thiosulfate solution.
[01:52.330 --> 01:56.930]  I taught you when to pollinate, how to pollinate, how to pollinate, how to apply the pollen,
[01:56.930 --> 01:58.290]  how to store the pollen.
[01:58.290 --> 02:00.410]  We've gotten all the way up to making seeds.
[02:00.410 --> 02:01.810]  We have harvested seeds.
[02:01.810 --> 02:04.170]  Now let's talk about what do we do with those seeds.
[02:04.170 --> 02:07.010]  The first answer is going to be grow them.
[02:07.010 --> 02:10.730]  As a seed breeder my favorite thing to do with new seeds is to grow them.
[02:10.730 --> 02:14.730]  As a seed breeder who made new seeds and sent them out to my friends I want you to
[02:14.730 --> 02:15.730]  grow them.
[02:15.730 --> 02:20.370]  The worst thing for a seed breeder to see is seeds in a box, in a vault, in a drawer
[02:20.370 --> 02:22.850]  not getting grown, not getting any attention.
[02:22.850 --> 02:24.970]  We want those in the dirt.
