[00:05.950 --> 00:25.900]  Hi, Leho Podcast World.
[00:25.900 --> 00:28.580]  I'm your host, my friends call me Rasta Jeff.
[00:28.580 --> 00:33.540]  This is episode 728 of the Grow From Your Heart Podcast.
[00:33.540 --> 00:36.740]  In this episode, I'm going to focus on more listener emails.
[00:36.740 --> 00:40.260]  Before I get to that part of the show, let's do a few shout outs to a few of those great
[00:40.260 --> 00:44.560]  folks who continue to support the show on Patreon.
[00:44.560 --> 00:48.560]  Let's kick it off with a big Grow From Your Heart Podcast thank you shout out to our friend
[00:48.560 --> 00:49.560]  Oric.
[00:49.560 --> 00:52.760]  Let's send a big thank you shout out to LotsOfTricombs and Bbala.
[00:52.760 --> 00:56.640]  Let's send a fist bump and a thank you shout out to DocGrows and CaribouHeartTV.
[00:56.640 --> 01:00.920]  I want to send a big thank you shout out to a longtime supporter, my buddy, Glenn Gironi.
[01:00.920 --> 01:04.320]  Let's send a fist bump and a thank you shout out to Frogman420.
[01:04.320 --> 01:08.160]  Let's send a big high five and a fist bump to Double D and Spa City Gardener.
[01:08.160 --> 01:11.280]  I want to send a thank you shout out to Froggle Rock and David W.
[01:11.280 --> 01:15.480]  Then let's wrap it all up with a big Grow From Your Heart Podcast thank you shout out
[01:15.480 --> 01:17.440]  to TheDadHays.
[01:17.440 --> 01:22.160]  Big thanks and big shout out to everybody who continues to support the show on Patreon.
[01:22.160 --> 01:25.840]  If you are not already supporting the show and you would like to learn how to do so,
[01:25.840 --> 01:31.880]  all you have to do is visit www.patreon.com forward slash growfromyourheart.
[01:31.880 --> 01:34.320]  All of the information you need will be right there on the screen.
[01:34.320 --> 01:38.640]  And you know I do include a link in the show notes and in the video description to make
[01:38.640 --> 01:43.320]  it super easy for all of my friends who want to support the show.
[01:43.320 --> 01:48.000]  Pay attention to Patreon because in the month of April I will do a big discount code for
[01:48.000 --> 01:49.360]  the merchandise store.
[01:49.360 --> 01:51.840]  That's right, you will get one of those updated coupon codes.
[01:51.840 --> 01:56.160]  I'm going to try to blow out the merch store, clean out a bunch of stuff so that I can upgrade,
[01:56.160 --> 01:58.320]  update, and replace a lot of things.
[01:58.320 --> 02:03.440]  So if you are a patron, pay attention for the month of April, you will get a great coupon
[02:03.440 --> 02:04.840]  code.
[02:04.840 --> 02:08.360]  I want to do a big shout out to everybody who showed up for the Groovy Gravy Secret
[02:08.360 --> 02:09.840]  Stash event.
[02:09.840 --> 02:11.080]  I'm sure it was a great event.
[02:11.080 --> 02:12.960]  Of course I am recording ahead of time.
[02:12.960 --> 02:16.200]  So in anticipation, I'm sure it was a great event.
[02:16.200 --> 02:18.080]  Thanks to everybody that showed up.
[02:18.080 --> 02:24.200]  Look forward in the future for a full review of the Groovy Gravy Secret Stash event.
[02:24.200 --> 02:27.640]  I am recording ahead of time, but that will happen before this comes out.
