[00:00.000 --> 00:17.290]  Alright, here we go.
[00:17.290 --> 00:18.890]  Welcome to the show, Podcast World.
[00:18.890 --> 00:21.450]  I'm your host, my friends call me Ross DeJeff.
[00:21.450 --> 00:26.170]  This is episode 747 of the Grow From Your Heart podcast.
[00:26.170 --> 00:29.250]  In this episode, I'm going to read a couple of listener emails.
[00:29.250 --> 00:32.370]  Before we get to that part of the show, let's do a few shout outs to a few of the kind of
[00:32.570 --> 00:36.850]  folks who continue to support the show on Patreon.
[00:36.850 --> 00:40.530]  Let's kick it all off with the big Grow From Your Heart podcast thank you shout out to
[00:40.530 --> 00:42.650]  my friend Thor's Trike Factory.
[00:42.650 --> 00:46.130]  Let's send a big fist bump and a thank you shout out to my dude Mobius Grows.
[00:46.130 --> 00:48.210]  Let's send a big thank you shout out to Dio.
[00:48.210 --> 00:51.450]  Let's send a big fist bump and a thank you shout out to a fellow breeder, my friend Ross
[00:51.450 --> 00:53.250]  DeGreen Thumb Genetics.
[00:53.250 --> 00:56.210]  Let's send a big thank you shout out to SC Dung Slinger.
[00:56.210 --> 00:58.210]  Let's send a thank you shout out to Captain Mojo.
[00:58.210 --> 01:00.630]  I want to send a big fist bump to my friend Luke.
[01:00.630 --> 01:02.350]  Let's send a special thank you shout out to Rasufa.
[01:02.350 --> 01:04.470]  I want to send a big thank you to Trojan.
[01:04.470 --> 01:07.870]  I want to send a big thank you shout out to my buddy Sam Heads.
[01:07.870 --> 01:11.470]  Then let's wrap it all up with the Grow From Your Heart podcast thank you shout out to
[01:11.470 --> 01:13.210]  Orville Turner.
[01:13.210 --> 01:17.990]  Big thanks and big shout out to everybody who continues to support the show on Patreon.
[01:17.990 --> 01:21.590]  If you are not already supporting the show and you would like to learn how to do so,
[01:21.590 --> 01:27.950]  all you have to do is visit www.patreon.com forward slash growfromyourheart.
[01:27.950 --> 01:30.710]  All of the information you need will be right there on the screen.
[01:30.710 --> 01:35.470]  You know I do include a link in the show notes and in the video description to make it super
[01:35.470 --> 01:39.030]  easy for all of my friends to support the show.
[01:39.030 --> 01:44.390]  Speaking of support, I want to thank everybody for the words of support, encouragement, the
[01:44.390 --> 01:49.950]  thank you, the constructive criticism, the positive feedback on the episode that I did
[01:49.950 --> 01:51.350]  about never giving up.
[01:51.350 --> 01:54.650]  I recently did a podcast episode where somebody sent me a message.
[01:54.650 --> 01:56.190]  They said they were frustrated with their grow.
[01:56.190 --> 01:57.750]  They were thinking about giving up.
[01:57.750 --> 02:02.350]  I gave some advice that my main advice was focused on the grow room but most of that
[02:02.350 --> 02:04.910]  advice was also applicable to life.
[02:04.910 --> 02:09.630]  You could apply most of what I said to most situations in life to expand your knowledge,
[02:09.630 --> 02:12.830]  get better, move forward and conquer obstacles.
[02:12.830 --> 02:16.190]  I got a lot of great feedback on that podcast episode.
[02:16.190 --> 02:20.130]  I got a lot of great emails, a lot of YouTube comments, a lot of good constructive criticism
[02:20.130 --> 02:21.530]  and positive feedback.
[02:21.530 --> 02:23.990]  There are a lot of great people listening to this podcast.
[02:23.990 --> 02:28.190]  I wanted to take a moment and say thank you for all of the encouragement, the words of
[02:28.190 --> 02:29.190]  support.
[02:29.190 --> 02:33.390]  That really meant a lot to me to read so many positive words and so much great feedback
[02:33.390 --> 02:37.390]  on just a great episode that honestly I didn't know it was going to have such a big impact.
[02:37.390 --> 02:41.590]  Sometimes I put out these shows, I think the episode about cutting clones and selecting
[02:41.590 --> 02:45.790]  males and female plants and identifying sex and things, I think those are super important.
[02:45.790 --> 02:48.950]  The thing sometimes when I'm just rambling and saying things that I was just touching
[02:48.950 --> 02:52.310]  on a subject here, that's when people really seem to respond the most.
[02:52.310 --> 02:53.310]  Thank you.
[02:53.630 --> 02:54.630]  I'm so glad we get such a great feedback.
[02:54.630 --> 02:55.830]  I am rambling now.
[02:55.830 --> 02:57.190]  Let's talk about growing cannabis.
[02:57.190 --> 02:58.830]  This is a grow podcast.
[02:58.830 --> 03:00.230]  Thank you once again you guys.
[03:00.230 --> 03:01.470]  I do appreciate it.
[03:01.470 --> 03:04.590]  Again, I do apologize for the throat clearing dabs.
[03:04.590 --> 03:05.950]  We won't ramble on about that.
[03:05.950 --> 03:09.830]  I did mention previously that I did load up a greenhouse with some plants.
[03:09.830 --> 03:12.430]  I'm happy to say the plants are alive.
[03:12.430 --> 03:14.910]  It hasn't been very long since I put the plants in the greenhouse.
[03:14.910 --> 03:17.750]  Since I'm recording this episode, there is not much to report.
[03:17.750 --> 03:18.750]  They look happy.
[03:18.750 --> 03:19.750]  They're rooting.
[03:19.750 --> 03:20.830]  The roots are spreading into the dirt.
[03:20.830 --> 03:21.870]  They're bigger.
[03:21.870 --> 03:22.870]  Not a lot to report.
[03:23.430 --> 03:24.430]  They're alive.
[03:24.430 --> 03:28.070]  I'm not sure if you caught it, but I did say that the male plant I put out in the greenhouse
[03:28.070 --> 03:30.310]  was a Jack the Ripper male.
[03:30.310 --> 03:32.630]  There are two Jack the Ripper male plants.
[03:32.630 --> 03:33.830]  It's a clone of the same plant.
[03:33.830 --> 03:37.790]  I put two of them in different places in the growth strategically to work with the air
[03:37.790 --> 03:40.190]  flow to get maximum pollination.
[03:40.190 --> 03:44.430]  If you're wondering the plants that are in the greenhouse, the male is the Jack the Ripper.
[03:44.430 --> 03:48.510]  Over time, I will of course reveal some of the females out there, let you guys know what
[03:48.510 --> 03:50.070]  I'm working with.
[03:50.070 --> 03:53.430]  It's a Jack the Ripper male out there in the greenhouse.
[03:53.430 --> 03:54.430]  Where do we go from there?
[03:54.430 --> 03:57.250]  I've got the note that says everybody looks happy.
[03:57.250 --> 03:58.790]  All the plants look super happy.
[03:58.790 --> 04:00.870]  That's really all I've got to report on those plants.
[04:00.870 --> 04:05.070]  I did recently in a podcast, I may have appeared on another show.
[04:05.070 --> 04:10.830]  I may have been on Caribou Heart TV where I mentioned that I'm now breeding with a new
[04:10.830 --> 04:12.030]  male plant.
[04:12.030 --> 04:15.750]  A lot of people were a little bit confused, a little bit excited.
[04:15.750 --> 04:17.710]  There's a lot of confusion because I haven't talked too much about it.
[04:17.710 --> 04:19.470]  I do keep some things kind of secret.
[04:19.470 --> 04:20.470]  Some things under wraps.
[04:20.470 --> 04:21.830]  We talk about a lot of stuff.
[04:21.830 --> 04:24.830]  You have to have some secrets, that's how you win.
[04:24.830 --> 04:27.430]  But I didn't talk about this plant a lot.
[04:27.430 --> 04:29.030]  And then I did start talking about it.
[04:29.030 --> 04:30.150]  People were confused.
[04:30.150 --> 04:32.630]  Let me talk about the plant I was mentioning.
[04:32.630 --> 04:33.750]  I've got a male plant.
[04:33.750 --> 04:39.550]  I'm working with a male plant that is a BC Lemon Skunk male.
[04:39.550 --> 04:41.070]  It is a BC Lemon Skunk.
[04:41.070 --> 04:44.190]  BC is the seed company, BC Seed Company.
[04:44.190 --> 04:46.390]  It's from Vancouver, British Columbia.
[04:46.390 --> 04:49.150]  It's a British Columbia Lemon Skunk.
[04:49.830 --> 04:51.030]  The BC is not a back cross.
[04:51.030 --> 04:55.430]  A lot of people were asking, I saw on a message board, I saw on some forums, is that a back
[04:55.430 --> 04:56.430]  cross?
[04:56.430 --> 04:57.750]  Is BC for back cross?
[04:57.750 --> 04:59.670]  That could be what back cross is.
[04:59.670 --> 05:02.670]  But in this instance, it is a BC.
[05:02.670 --> 05:03.670]  That's why it's first.
[05:03.670 --> 05:04.990]  If it was back cross, it would have been at the end.
[05:04.990 --> 05:07.510]  I would have used a BX, which drives Pete crazy.
[05:07.510 --> 05:08.510]  Shout out to my buddy F1P.
[05:08.510 --> 05:09.510]  I hope you're well.
[05:09.510 --> 05:10.790]  I hope somebody tags you in this.
[05:10.790 --> 05:12.470]  I would have used BX.
[05:12.470 --> 05:14.510]  You're right, BC does work good for back cross.
[05:14.510 --> 05:15.950]  However, it would have been at the end.
[05:15.950 --> 05:17.990]  This is BC Lemon Skunk.
[05:17.990 --> 05:19.950]  That stands for British Columbia.
[05:19.950 --> 05:23.310]  It's a lemon skunk that came from Vancouver, British Columbia.
[05:23.310 --> 05:25.630]  That is a monster male plant.
[05:25.630 --> 05:26.630]  It makes amazing plants.
[05:26.630 --> 05:27.910]  We'll talk more about that in the future.
[05:27.910 --> 05:30.710]  I wanted to clear that up, that it is not a back cross.
[05:30.710 --> 05:36.070]  It is a BC Seed Company, a BC Lemon Skunk, a male, what we're working with.
[05:36.070 --> 05:40.230]  Now, one more detail I do want to throw out there involving the same topic.
[05:40.230 --> 05:46.910]  This is not the same lemon skunk that is used in the Lemon Jeffrey or the Lemon Sunrise
[05:47.030 --> 05:49.270]  or the Jack Tripper.
