[00:11.070 --> 00:12.890]  Alright, here we go.
[00:12.890 --> 00:14.150]  Welcome to the show, Podcast World.
[00:14.150 --> 00:15.150]  I'm your host.
[00:15.150 --> 00:16.550]  My friends call me Ross DeJeff.
[00:16.550 --> 00:21.470]  This is episode 756 of the Grow From Your Heart podcast.
[00:21.470 --> 00:24.070]  I'm coming to you on a super hot Colorado day.
[00:24.070 --> 00:26.630]  I've got a great episode lined up for you.
[00:26.630 --> 00:30.590]  Before we get to the main topic of today's show, I should do an update from a previous
[00:30.590 --> 00:31.590]  episode.
[00:31.590 --> 00:34.990]  In the last episode, I talked a lot about pests and pest management.
[00:34.990 --> 00:38.850]  Today I was actually at the grow store grabbing some supplies, and I thought that I should
[00:38.850 --> 00:43.750]  warn you that one of the most common places for you to get bugs is that grow store.
[00:43.750 --> 00:47.210]  Anything that comes from that grow store may possibly be carrying spider mites.
[00:47.210 --> 00:48.210]  It could have thrips.
[00:48.210 --> 00:49.210]  It could have aphids.
[00:49.210 --> 00:50.650]  It could have bad shit on it.
[00:50.650 --> 00:55.450]  Also, anytime you go to the dispensary, keep in mind a lot of growers and smokers and consumers
[00:55.450 --> 00:57.570]  are there, you're risking spider mites.
[00:57.570 --> 01:01.930]  Also, anytime you go to your friend's place that does grow, you are risking spider mites.
[01:01.930 --> 01:05.430]  If you're in a friend's car that grows, if your friend that grows comes to your place,
[01:05.430 --> 01:08.210]  you are also risking a spider mite infestation.
[01:08.210 --> 01:12.850]  As I was at the grow store today, I realized I failed to mention those things.
[01:12.850 --> 01:16.110]  Thought that I would throw that in there, remind you there are a lot of other options
[01:16.110 --> 01:20.530]  for getting bugs, not just the only places, not only the places I mentioned, but also
[01:20.530 --> 01:22.770]  the grow store, the dispensary.
[01:22.770 --> 01:26.130]  If you take your date to the botanical garden, if you go out to the park, if you go on a
[01:26.130 --> 01:29.650]  hike, those are all potential places for spider mites.
[01:29.650 --> 01:30.650]  All right.
[01:30.650 --> 01:34.130]  I feel like I left that out, wanted to catch up, get that in here at the start of the show.
[01:34.130 --> 01:37.250]  Before we get much further, let's do a few shout outs to a few of those great folks who
[01:37.250 --> 01:39.530]  do support the show on Patreon.
[01:39.530 --> 01:42.010]  Let's kick it off with the big Grow From Your Heart podcast.
[01:42.010 --> 01:43.010]  Thank you.
[01:43.010 --> 01:44.730]  Shout out to my friend Blackhawksfan.
[01:44.730 --> 01:46.910]  Let's send a big thank you shout out to Danny Potts.
[01:46.910 --> 01:49.250]  Let's send a thank you shout out to Girls Grow Too.
[01:49.250 --> 01:51.530]  Let's send a big thank you to Green Country Grower.
[01:51.530 --> 01:55.230]  I want to send a fist bump and a thank you shout out to Canna Organic Illinois.
[01:55.230 --> 01:57.890]  Let's send a big thank you shout out to my buddy Lefty's Farm.
[01:57.890 --> 02:00.190]  I want to send a thank you shout out to Gramps Memo.
[02:00.190 --> 02:02.690]  Let's send a big thank you to Pack Northwest Dan.
[02:02.690 --> 02:06.810]  Let's send a thank you shout out to Single T. I want to send a big fist bump to Rutrow.
[02:06.810 --> 02:10.570]  And let's wrap it all up with a big Grow From Your Heart podcast thank you shout out
[02:10.570 --> 02:13.030]  to NorthEast420.
[02:13.030 --> 02:17.790]  Big thanks and big shout out to everybody who continues to support the show on Patreon.
[02:17.790 --> 02:21.330]  If you are not already supporting the show and you would like to learn how to do so,
[02:21.330 --> 02:27.570]  all you have to do is visit www.patreon.com forward slash grow from your heart.
[02:27.570 --> 02:30.350]  All of the information you need will be right there on the screen.
[02:30.350 --> 02:34.870]  And you know, I do include a link in the show notes and in the video description to make
[02:34.870 --> 02:40.230]  it nice and easy for all of my friends to support the podcast.
[02:40.230 --> 02:44.910]  This episode will come out on July 3rd, 2022.
[02:44.910 --> 02:50.150]  That means that we are in the middle of a 4th of July sale on the iRedirect website.
[02:50.150 --> 02:51.150]  That's right.
[02:51.150 --> 02:56.750]  If you go to iRegenetics.com, iRegenetics.com, there's a tab that says iRedirect.
[02:56.750 --> 02:58.390]  Click on the iRedirect tab.
[02:58.390 --> 03:02.430]  There is a sale going on where you can get some great beans at some great prices.
[03:02.430 --> 03:05.410]  Go now, check the live inventory, see what is there.
[03:05.410 --> 03:07.390]  Get what you can because things will sell out.
[03:07.390 --> 03:09.410]  That sale did start on Friday at midnight.
[03:09.410 --> 03:11.890]  That will go until the end of the 4th of July.
[03:11.890 --> 03:15.030]  So basically the 4th of July at 1159 PM.
[03:15.030 --> 03:16.030]  That's when it ends on the 5th.
[03:16.030 --> 03:17.410]  It is all over.
[03:17.410 --> 03:19.350]  Things go back to regular price.
[03:19.350 --> 03:22.010]  Most of the good shit will be sold out by then.
[03:22.010 --> 03:23.290]  That's enough advertising.
[03:23.290 --> 03:25.670]  Let's get into this podcast here.
[03:25.670 --> 03:28.950]  I do have a great question that came from the YouTube channel.
[03:28.950 --> 03:32.270]  I usually don't answer questions from YouTube, but somebody sent me this and they said this
[03:32.270 --> 03:33.590]  would be great for the show.
[03:33.590 --> 03:34.590]  I agree.
[03:34.590 --> 03:40.870]  It says, can you touch on stabilizing feminized reversals on a future episode?
[03:40.870 --> 03:45.110]  So I think what you're asking is if I can basically talk about making and stabilizing
[03:45.110 --> 03:46.510]  feminized seeds.
[03:46.510 --> 03:50.230]  So let's talk about making fem seeds, then we'll kind of jump into the stabilization
[03:50.230 --> 03:51.790]  part of the question.
[03:51.790 --> 03:54.510]  What does he mean by feminized reversals?
[03:54.510 --> 04:00.150]  Feminized reversals is making fem seeds, using a reversed plant to make feminized seeds.
[04:00.150 --> 04:02.710]  I'll tell you how I do that.
[04:02.710 --> 04:06.510]  I very carefully, and we'll touch more on this in the part of the episode here, I very
[04:06.510 --> 04:11.950]  carefully select a female plant that I will choose to make a pollen donor.
[04:11.950 --> 04:12.950]  That's right.
[04:12.950 --> 04:15.470]  I said that a female plant will be treated with a solution.
[04:15.470 --> 04:18.470]  I make my own silver thiosulfate solution.
[04:18.470 --> 04:22.990]  Then I treat that female plant at a certain dilution at certain intervals on a very tight
[04:22.990 --> 04:23.990]  schedule.
[04:23.990 --> 04:26.130]  It will get sprayed with that silver thiosulfate.
[04:26.130 --> 04:29.230]  That female plant will then create pollen sacks.
[04:29.310 --> 04:33.550]  That pollen will only contain female chromosomes because the plant that I have selected is
[04:33.550 --> 04:35.070]  purely female.
[04:35.070 --> 04:36.830]  So we'll pass female chromosomes.
[04:36.830 --> 04:41.710]  I then take that female pollen and put that on another female plant.
[04:41.710 --> 04:45.790]  Now all of the seeds that come from that female plant that received the pollen will be female
[04:45.790 --> 04:50.470]  seeds because I have not introduced any male chromosomes into the equation.
[04:50.470 --> 04:52.850]  So that is making feminized seeds.
[04:52.850 --> 04:54.190]  They said feminized reversals.
[04:54.190 --> 04:56.950]  It comes from a reversal to make the feminized seeds.
[04:56.950 --> 05:02.470]  So now they want to talk about the word they chose here is stabilizing feminized seeds.
[05:02.470 --> 05:06.910]  That's where this gets fun because the word stabilization gets kind of tossed around in
