[00:00.000 --> 00:18.740]  Welcome back, Podcast World.
[00:18.740 --> 00:21.420]  I'm your host, my friends call me Rasta Jeff.
[00:21.420 --> 00:27.060]  This is episode 764 of the Grow From Your Heart Podcast.
[00:27.060 --> 00:30.340]  In this episode, I'm going to read a couple of Patreon messages.
[00:30.340 --> 00:33.660]  Before we get to that part of the show, let's do a few shout outs to a few of the great
[00:33.660 --> 00:37.840]  folks who continue to support the show on Patreon.
[00:37.840 --> 00:41.900]  Let's kick it off with a big Grow From Your Heart Podcast thank you shout out to my buddy
[00:41.900 --> 00:46.580]  Lefty, let's send a big thank you shout out to Gramps Mimmel and Brohan78, I want to send
[00:46.580 --> 00:49.760]  a big fist bump and a thank you shout out to Indica Chris.
[00:49.760 --> 00:52.180]  Let's send a thank you shout out to Luke and Trollin.
[00:52.180 --> 00:55.480]  Let's send a big fist bump and a thank you shout out to my buddy Rasufa.
[00:55.480 --> 00:58.040]  Let's send a thank you shout out to Spherical Glassworks.
[00:58.040 --> 01:00.600]  I want to send a big thank you to my buddy Jeff O.
[01:00.600 --> 01:03.240]  Let's send a thank you shout out to Green County Grower.
[01:03.240 --> 01:05.760]  I want to send a big thank you to Commander Cochran.
[01:05.760 --> 01:09.800]  Then let's wrap it all up with a big Grow From Your Heart Podcast thank you shout out
[01:09.860 --> 01:12.300]  to Curbside Gardens.
[01:12.300 --> 01:17.480]  Big thanks and big shout out to everybody who continues to support the show on Patreon.
[01:17.480 --> 01:21.220]  If you are not already supporting the show and you would like to learn how to do so,
[01:21.220 --> 01:27.920]  all you have to do is visit www.patreon.com forward slash grow from your heart.
[01:27.920 --> 01:30.720]  All of the information you need will be right there on the screen.
[01:30.720 --> 01:34.960]  And you know there is a link in the show notes and in the video description to make it super
[01:34.960 --> 01:38.840]  easy for all of my friends to support the podcast.
[01:38.840 --> 01:41.680]  Ladies and gentlemen, I'm not sure if you can still hear it in my voice.
[01:41.680 --> 01:43.240]  I can still feel it in my body.
[01:43.240 --> 01:47.880]  I'm still kind of recovering from the virus, the plague that I had for a little bit.
[01:47.880 --> 01:51.600]  So if this show feels a little bit low energy, a little bit slow, I do apologize.
[01:51.600 --> 01:53.960]  I'm up here doing my best.
[01:53.960 --> 01:55.680]  The virus kicked my ass dude.
[01:55.680 --> 02:00.120]  I feel like I've still got low energy and high temperature is how I felt.
[02:00.120 --> 02:01.760]  I'm still doing what I got to do.
[02:01.760 --> 02:05.520]  I'm trying to get my day going, get the world going, get the podcast going, the business
[02:05.520 --> 02:07.240]  going, taking care of the garden.
[02:07.240 --> 02:11.400]  Back in action, but I do take a little bit more breaks and it takes me longer to do things.
[02:11.400 --> 02:13.560]  Anyway, that is my COVID update.
[02:13.560 --> 02:18.800]  Also one thing I've noticed, my attention span is really, uh, it's, it is messed up.
[02:18.800 --> 02:19.800]  Something's fucked up.
[02:19.800 --> 02:21.920]  The vid messed up my attention span.
[02:21.920 --> 02:24.280]  So I apologize if I feel a little bit out of focus.
[02:24.280 --> 02:25.680]  I fucking am dude.
[02:25.680 --> 02:30.120]  I am also something I'm going to notice and mention after COVID.
[02:30.120 --> 02:31.120]  Dabs are wrecking me.
[02:31.120 --> 02:32.120]  Oh my goodness.
[02:32.120 --> 02:34.440]  I don't know if you guys take a little dab or a medium dab or a big dab.
[02:34.440 --> 02:37.440]  I feel so, so incredibly dabalicious.
[02:37.440 --> 02:38.440]  I'm getting lit from the dab.
[02:38.440 --> 02:40.040]  All right, I'm just rambling now.
[02:40.040 --> 02:43.280]  Let's get into the main part of this podcast here.
[02:43.280 --> 02:47.120]  I did say that I had some Patreon messages here in front of me.
[02:47.120 --> 02:50.040]  This one comes from our friend S.C.
[02:50.040 --> 02:53.360]  Dung Slinger and it goes a little bit like this.
[02:53.360 --> 02:59.280]  It says, hey buddy, could you send the Patreons an advanced text when you add drops to iRedirect?
[02:59.280 --> 03:03.280]  I listen to all of the podcasts and IG, but I don't do discord.
[03:03.280 --> 03:08.240]  When I found out about iRedirect and all that stuff, I would have enter, uh, let's see it.
[03:08.240 --> 03:11.040]  It's your, your autocorrect blasted you out here.
[03:11.040 --> 03:14.520]  Uh, it was already gone by the time you saw it was available.
[03:14.520 --> 03:16.440]  I'm not sure what autocorrect turned your sentence into.
[03:16.440 --> 03:19.280]  It doesn't make sense to me, but we'll not deal with that here on the show.
[03:19.280 --> 03:20.880]  Uh, it says, I know you have stuff.
[03:20.880 --> 03:25.080]  I know you don't have a staff like the dude grow show, but they send the Patreons a text
[03:25.080 --> 03:28.640]  every time they post anything to the DGC Patreons.
[03:28.880 --> 03:34.960]  Um, so what our friend here is talking about is I have added iRedirect.com to my lineup,
[03:34.960 --> 03:39.320]  iRegenetics.com in the middle of the webpage, there is a tab that says direct, or you can
[03:39.320 --> 03:42.200]  simply click or simply type in iRedirect.
[03:42.200 --> 03:43.280]  It will get you right there.
[03:43.400 --> 03:45.320]  That is where you can get iRegenetics.
[03:45.480 --> 03:48.720]  Uh, you can get the regular seeds, the feminized seeds, a lot of new stuff.
[03:48.960 --> 03:50.920]  A lot of older stuff is available there.
[03:51.560 --> 03:56.640]  So what my friend is asking for is for when I post new items on iRedirect is that I let
[03:56.640 --> 04:01.120]  the Patreon members know that there is new stuff up there so that they can get a jump
[04:01.120 --> 04:01.400]  on it.
[04:01.400 --> 04:02.480]  That is a great request.
[04:02.720 --> 04:03.800]  That's a great question.
[04:04.000 --> 04:06.640]  Yes, I will do my best to start doing that.
[04:06.640 --> 04:08.000]  Like you said, I don't have a staff.
[04:08.000 --> 04:11.160]  It's just me doing 99% of this work.
[04:11.160 --> 04:15.160]  I get some help here and there with some things I feel comfortable with, but honestly, I like
[04:15.160 --> 04:16.600]  to do most of it by myself.
[04:16.600 --> 04:18.200]  It lets me know it's getting done correctly.
[04:18.400 --> 04:19.920]  If there's a mistake, I blame it on me.
[04:19.920 --> 04:20.920]  I fix it quickly.
[04:21.160 --> 04:24.360]  Uh, things will happen, but I do most of it by myself.
[04:24.600 --> 04:30.840]  Also, I don't, uh, I don't advertise on the Patreon and the discord and as much as I could.
[04:30.840 --> 04:34.840]  I don't advertise online as much as I could because that's not really what I'm there for.
[04:34.840 --> 04:36.000]  People know that I exist.
[04:36.000 --> 04:37.640]  People know the company is established.
[04:37.640 --> 04:38.800]  The seeds are available.
[04:39.120 --> 04:42.880]  I'm on discord and Patreon to kind of hang out with the crew, to hang out with the people,
[04:42.880 --> 04:46.840]  part of the, uh, to be a part of the community, not there just to advertise.
[04:47.160 --> 04:48.640]  I do throw my advertising out.
[04:48.640 --> 04:50.280]  What kind of business would I be if I didn't?
[04:50.280 --> 04:53.080]  That's a big part of social media, a big part of why I'm there.
[04:53.080 --> 04:55.800]  But I try not to bombard you with like, Hey, buy seeds.
[04:55.800 --> 04:56.520]  Hey, buy seeds.
[04:56.520 --> 05:01.120]  You know, they're there, but I do appreciate the request that I let you know the seeds are there.
[05:01.120 --> 05:01.440]  Yes.
[05:01.440 --> 05:07.720]  I will let you know when I put new beans on the I read direct.com website.
[05:07.720 --> 05:12.640]  Also, uh, the patrons are going to get exclusives and discounts.
[05:12.640 --> 05:16.840]  I know that for a long time, you guys were asking for deals on seeds through Patreon.
[05:16.840 --> 05:20.160]  I can't do it directly through Patreon because Patreon doesn't agree with that.
[05:20.480 --> 05:25.320]  What I can do is I can give you coupon codes where you can go to my website or the beans are available.
[05:25.320 --> 05:27.080]  I can do the coupon codes.
[05:27.080 --> 05:28.120]  I can help you out there.
[05:28.280 --> 05:35.000]  So in the future, there will be exclude exclusives, and there will also be discount codes for the patron members.
[05:35.000 --> 05:42.000]  Also sign up for the mail chimp, because if you go to my website, there's a part on the bottom of the website that says sign up for the newsletter.
[05:42.280 --> 05:45.800]  If you sign up for that, you will also get notifications about fresh drops.
[05:45.800 --> 05:47.440]  You don't have to join the Patreon.
[05:47.880 --> 05:57.840]  The newsletter on mail chimp will help you out, but patron Patreon patrons are going to get exclusives, early drops, discounts, things like that.
[05:58.160 --> 06:03.520]  Um, I do plan on putting more stuff up on, I redirect, there's plenty of stuff up there right now.
[06:03.640 --> 06:04.760]  There's some great deals up there.
[06:04.760 --> 06:06.960]  I'm not going to talk about too much in here on the podcast.
[06:07.360 --> 06:09.040]  Um, there's some great stuff.
[06:09.040 --> 06:17.280]  I will be adding a lot of stuff right after the fish concerts in September, the start of September fish is playing four days.
[06:17.560 --> 06:22.120]  At Dick's, a soccer field in Denver, and I am going to all four nights.
[06:22.120 --> 06:24.200]  Then I will need a day or two to recover from that.
[06:24.520 --> 06:25.680]  Then we will load up.
[06:25.680 --> 06:28.920]  I redirect with brand new stuff for the month of September.
[06:28.920 --> 06:30.880]  The patrons will get a coupon code.
[06:31.120 --> 06:34.040]  There will be a mail chimp newsletter to let you know that it happened.
[06:34.360 --> 06:39.040]  A discord will get notified, but once again, the patrons will get a fat coupon code.
[06:39.200 --> 06:42.280]  It'll be tier based based on your level of contribution.
[06:42.520 --> 06:42.760]  All right.
[06:42.760 --> 06:43.720]  There is more to this.
[06:43.880 --> 06:45.800]  Uh, do I need to read this part on the show?
[06:45.800 --> 06:47.200]  No, this part is for me.
[06:47.480 --> 06:48.440]  Uh, that was personal.
[06:48.440 --> 06:48.880]  Thank you, bro.
[06:48.880 --> 06:51.720]  I did read this part, uh, where you gave me a huge compliment.
[06:51.720 --> 06:52.640]  I do appreciate that.
[06:52.640 --> 06:53.200]  Thank you.
[06:53.520 --> 07:03.360]  Uh, no matter how long I do this podcast, no matter how many people show me, love, give me respect, send me letters, the type of thing that you said, those compliments, that encouragement that always matters.
[07:03.360 --> 07:04.280]  That does go a long way.
[07:04.280 --> 07:05.320]  That feels the fire.
[07:05.440 --> 07:06.000]  So thank you.
[07:06.000 --> 07:07.240]  I do appreciate that.
[07:08.000 --> 07:08.280]  All right.
[07:08.480 --> 07:09.200]  I'm going to keep moving.
[07:09.200 --> 07:13.400]  I've got a couple of more messages here in front of me and I am already running out of air.
[07:13.400 --> 07:14.520]  I operate at a high pace.
[07:14.520 --> 07:16.560]  When I do this podcast, I go kind of quickly.
[07:16.800 --> 07:18.480]  Uh, somebody told me that it felt urgent.
[07:18.760 --> 07:23.760]  I just tried not to lose my train of thought is really what's going on, but I can't keep up my own pace.
[07:23.760 --> 07:24.840]  I don't have enough air.
[07:25.160 --> 07:26.960]  Uh, the, the vid got me, bro.
[07:26.960 --> 07:27.600]  I apologize.
[07:27.600 --> 07:28.560]  I'm not making excuses.
[07:28.560 --> 07:29.320]  I'm just letting you know.
[07:30.040 --> 07:32.560]  That's why I sound like I'm out of breath and I'm trying to get through the show.
[07:32.560 --> 07:32.800]  All right.
[07:34.240 --> 07:35.520]  Excuse me for the throat clearing.
[07:35.520 --> 07:36.640]  Not going to edit a lot of this.
[07:36.640 --> 07:40.840]  This message comes from, they don't even say their name, but I'm not going to say her name.
[07:40.840 --> 07:43.320]  Cause you didn't put your name on here.
[07:43.640 --> 07:45.480]  Uh, the message says, Hey Rasta Jeff.
[07:45.480 --> 07:46.000]  What's up, bro.
[07:46.000 --> 07:46.680]  Good to meet you.
[07:46.920 --> 07:49.200]  It says I live right near the beach.
[07:49.320 --> 07:51.760]  That sounds like a good time until we read the message.
[07:51.760 --> 07:55.480]  It says, I see that my early flowering plants were pollinated.
[07:55.480 --> 07:56.200]  That's a bummer.
[07:56.640 --> 07:59.120]  Um, maybe they were pollinated.
[07:59.120 --> 08:01.560]  I would go check it, squeeze it a little bit and see if there are seeds in there.
