[00:11.200 --> 00:20.520]  Welcome back, cannabis community.
[00:20.520 --> 00:24.020]  It's time for episode number 77 of the Grow From Your Heart podcast,
[00:24.020 --> 00:28.020]  your source for cannabis news, education, and conversation.
[00:28.020 --> 00:30.520]  That's right. If you're a new grower, if you're a professional grower,
[00:30.520 --> 00:32.520]  if you're a new smoker or a veteran dabber,
[00:32.520 --> 00:36.520]  if you're a cannabis activist or even someone who's just curious about the current state of cannabis,
[00:36.520 --> 00:39.520]  this, my friends, is the podcast for you.
[00:39.520 --> 00:40.520]  I'm your host, Rasta Jeff.
[00:40.520 --> 00:43.020]  Today, today, sorry, that was a hard word.
[00:43.020 --> 00:45.520]  Today, I am joined by our good friend, White Mike.
[00:45.520 --> 00:46.520]  How are you doing today, bro?
[00:46.520 --> 00:47.520]  I'm doing good, man. How are you?
[00:47.520 --> 00:49.520]  I'm doing good if I can get through this intro.
[00:49.520 --> 00:50.020]  Right.
[00:50.020 --> 00:51.520]  The hardest word was today.
[00:51.520 --> 00:54.520]  I've said that word a lot, so there must be something going on in my brains.
[00:54.520 --> 00:56.020]  I think there's some dab on your tongue.
[00:56.020 --> 00:58.520]  There might be, yeah, my brain might be all sticky from the dabs.
[00:58.520 --> 00:59.520]  Today is a stony Sunday.
[00:59.520 --> 01:01.520]  We are recording on June 14th.
[01:01.520 --> 01:03.020]  Happy birthday, Maya Luna.
[01:03.020 --> 01:06.020]  This episode will come out on Thursday, June 18th.
[01:06.020 --> 01:08.520]  Before we get into a lot of stuff, I want to read an iTunes comment.
[01:08.520 --> 01:11.020]  We don't get a lot of iTunes comments on the show.
[01:11.020 --> 01:13.520]  I got to say thanks to Kat and Coot from the Mystic Roots Band.
[01:13.520 --> 01:15.020]  The opening song is the Doggy Dub.
[01:15.020 --> 01:18.020]  That is from the Mystic Roots Band off the album, The Constant Struggle.
[01:18.020 --> 01:21.020]  Make sure you support the Mystic Roots Band and stay positive.
[01:21.020 --> 01:22.020]  Sound.
[01:22.020 --> 01:23.520]  Check it out. We got a new iTunes comment.
[01:23.520 --> 01:26.020]  I always love it when we get iTunes comments.
[01:26.020 --> 01:29.020]  All right. This comment is from Adrian WSK.
[01:29.020 --> 01:31.020]  And it says, this podcast rocks.
[01:31.020 --> 01:32.520]  I look forward to Mondays because of it.
[01:32.520 --> 01:35.020]  Take a fat dab and give your mom a hug for me.
[01:35.020 --> 01:37.020]  And he gives us five stars.
[01:37.020 --> 01:38.020]  Nice. Thank you.
[01:38.020 --> 01:39.020]  Awesome. That's from Adrian.
[01:39.020 --> 01:40.020]  That could be a male or a female.
[01:40.020 --> 01:44.020]  So thanks, Adrian, whichever sexual gender you are.
[01:44.020 --> 01:45.020]  We appreciate the comment.
[01:45.020 --> 01:46.520]  You guys keep the comments coming.
[01:46.520 --> 01:48.020]  We love to see the comments on iTunes.
[01:48.020 --> 01:53.020]  And in that same theme, thanks FastBerry for the tweet.
[01:53.020 --> 01:55.020]  Thanks for following directions, man. That helps.
[01:55.020 --> 01:56.520]  Did FastBerry tweet you?
[01:56.520 --> 01:57.020]  Yep.
[01:57.020 --> 01:59.020]  Nice. Good work, dude. Thanks.
[01:59.020 --> 02:01.020]  He follows myself. He follows Jesse.
[02:01.020 --> 02:04.520]  He's definitely, and Sean also, he's definitely on top of the game.
[02:04.520 --> 02:07.020]  Thanks for supporting us, dude. That is really cool.
[02:07.020 --> 02:11.520]  I think that is all of the super important business we got to take care of.
[02:11.520 --> 02:14.020]  There are no advertisements or anything on the start of the show.
[02:14.020 --> 02:17.020]  We got the shout out taken care of for the comment.
[02:17.020 --> 02:19.020]  Yes, we did.
[02:19.020 --> 02:21.020]  So in a couple of minutes, actually, I'm going to tell you what's coming up.
[02:21.020 --> 02:23.520]  Mike is going to give us his little, not little.
[02:23.520 --> 02:26.020]  I don't say little because I don't want to downplay it.
[02:26.020 --> 02:33.020]  Mike is going to give us his great presentation about getting you into being a cannabis activist or a lobbyist
[02:33.020 --> 02:37.020]  or just getting your foot into the door to help us support cannabis legalization.
[02:37.020 --> 02:44.020]  Yep. I put together a little spiel on the quick path to step it up and help and fight for legalization in your area.
[02:44.020 --> 02:46.020]  So we'll get to that in just a second.
[02:46.020 --> 02:48.020]  This story out of Santa Ana, California.
[02:48.020 --> 02:49.020]  Yeah.
[02:49.020 --> 02:50.020]  I think I'm saying that right?
