[00:00.000 --> 01:34.020]  🎵
[01:34.020 --> 01:38.020]  🎵Much to look at, you can lose a few🎵
[01:39.020 --> 01:44.020]  🎵You got a saggy titty, but tonight it'll do🎵
[01:45.020 --> 01:49.020]  🎵Learned a lesson, a long time ago🎵
[01:50.020 --> 01:55.020]  🎵Babies can't be juicy, when the bar starts to close🎵
[01:56.020 --> 02:00.020]  🎵Sittin' on the face of the line, too picky around my mouth🎵
[02:00.020 --> 02:05.020]  🎵Too risky, stickin' out, ride or ride🎵
[02:06.020 --> 02:10.020]  🎵Sittin' on the face of the line, too picky around my mouth🎵
[02:10.020 --> 02:15.020]  🎵Too risky, stickin' out, ride or ride🎵
[02:16.020 --> 02:42.580]  🎵Come on, back to my place, loosen up your belt🎵
[02:43.580 --> 02:48.580]  🎵Order a pizza, one finger, you're set🎵
[02:49.580 --> 02:53.580]  🎵My bottle ain't none, it smell like piss🎵
[02:54.580 --> 02:58.580]  🎵Laying my head back, you talk kid🎵
[03:00.580 --> 03:04.580]  🎵Sittin' on the face of the line, too picky around my mouth🎵
[03:04.580 --> 03:20.320]  🎵Too risky, stickin' out, ride or ride🎵
[03:20.320 --> 03:22.320]  🎵Come on, come on🎵
[03:43.870 --> 03:47.870]  🎵It's time to clean up, you done made a mess🎵
[03:48.870 --> 03:53.870]  🎵What you doing Wednesday, girl you got my address🎵
[03:57.100 --> 04:02.100]  🎵Ain't doing a shit, you know where to find me🎵
[04:02.100 --> 04:04.100]  🎵You know where to sit🎵
[04:06.100 --> 04:10.100]  🎵Sittin' on the face of the line, too picky around my mouth🎵
[04:10.100 --> 04:15.100]  🎵Too risky, stickin' out, ride or ride🎵
[04:16.100 --> 04:20.100]  🎵Sittin' on the face of the line, too picky around my mouth🎵
[04:20.100 --> 04:25.100]  🎵Too risky, stickin' out, ride or ride🎵
[04:27.100 --> 04:31.100]  🎵Sittin' on the face of the line, too picky around my mouth🎵
[04:31.100 --> 04:36.100]  🎵Too risky, stickin' out, just sit on fire🎵
[04:37.100 --> 04:41.100]  🎵Put your pussy on fire, I'm gonna lick away🎵
[04:42.100 --> 04:46.100]  🎵Put your pussy on fire, I love the taste🎵
[04:48.100 --> 04:52.100]  🎵Put your pussy on fire, I'm gonna lick away🎵
[04:53.100 --> 04:58.100]  🎵Put your pussy on fire, I don't need no air🎵
[04:59.100 --> 05:03.100]  🎵Just bring your pussy, honey I don't care🎵
