[SPEAKER_01]: There's things that I can't do.
[SPEAKER_01]: There's things that I can't do.
[SPEAKER_01]: I loved you a baby, but you don't care for
yourself.
[SPEAKER_01]: And if you don't love yourself,
you'll never love nobody else.
I loved
[SPEAKER_01]: you a baby,
[SPEAKER_01]: but you don't care for yourself.
[SPEAKER_01]: And if you don't love yourself,
you'll never love
nobody else.
[SPEAKER_00]: Love yourself.
[SPEAKER_00]: Love yourself.
[SPEAKER_00]: Love yourself.
[SPEAKER_00]: Love yourself.
[SPEAKER_00]: Love yourself.
[SPEAKER_00]: Love yourself.
[SPEAKER_00]: Love yourself.
[SPEAKER_00]: Love yourself.
[SPEAKER_00]: Love yourself.
[SPEAKER_00]: Love yourself.
[SPEAKER_00]: Love yourself.
[SPEAKER_00]: Love yourself.
